subject	model	n_pos	n_total	frac_pos
03	aprf	753	327191	0.002301408046064837
04	aprf	802	327276	0.002450531050245053
05	aprf	816	326702	0.002497689025472755
06	aprf	3586	326701	0.010976397378642857
07	aprf	424	326004	0.001300597538680507
08	aprf	1141	326607	0.0034934952404571855
09	aprf	888	326990	0.002715679378574268
10	aprf	1220	327194	0.0037286747311992274
11	aprf	994	325301	0.003055631553545793
12	aprf	2107	326298	0.0064572875101900715
13	aprf	1008	324496	0.0031063557023815395
14	aprf	585	327158	0.0017881268377970278
15	aprf	257	325868	0.0007886628941780107
16	aprf	180	325584	0.0005528527200353826
17	aprf	223	322834	0.0006907574790759337
18	aprf	283	326805	0.0008659598231361209
19	aprf	208	326418	0.0006372197611651319
20	aprf	172	326347	0.0005270463647589835
21	aprf	136	326598	0.0004164140625478417
22	aprf	18	327266	5.500113057879523e-05
23	aprf	36	326837	0.00011014664802332661
24	aprf	1188	320905	0.003702030195852355
pil01	aprf	1616	323569	0.004994297970448343
pil02	aprf	2480	326105	0.007604912528173441
03	vonmises	696	327191	0.00212719787524718
04	vonmises	3602	327276	0.0110060010511006
05	vonmises	2825	326702	0.008647023893333987
06	vonmises	5560	326701	0.017018619471626962
07	vonmises	364	326004	0.0011165507171691145
08	vonmises	979	326607	0.0029974862755544123
09	vonmises	3821	326990	0.01168537264136518
10	vonmises	1047	327194	0.003199936429152124
11	vonmises	1966	325301	0.006043633434880311
12	vonmises	17314	326298	0.05306192498881391
13	vonmises	14694	324496	0.045282530447216605
14	vonmises	5507	327158	0.01683284529187732
15	vonmises	593	325868	0.0018197552383173556
16	vonmises	141	325584	0.00043306796402771636
17	vonmises	376	322834	0.0011646852561997807
18	vonmises	13974	326805	0.042759443704961674
19	vonmises	241	326418	0.0007383171271192153
20	vonmises	1052	326347	0.0032235626495723878
21	vonmises	116	326598	0.0003551767004084532
22	vonmises	4	327266	1.2222473461954496e-05
23	vonmises	13	326837	3.9775178452867945e-05
24	vonmises	3108	320905	0.009685109300260201
pil01	vonmises	10869	323569	0.03359098059455634
pil02	vonmises	2353	326105	0.007215467410803269
03	aprf-weighted	311	327191	0.0009505151425314266
04	aprf-weighted	781	327276	0.0023863650252386364
05	aprf-weighted	1043	326702	0.0031925118303530436
06	aprf-weighted	3832	326701	0.01172937946317887
07	aprf-weighted	356	326004	0.0010920111409675954
08	aprf-weighted	1002	326607	0.00306790730143567
09	aprf-weighted	900	326990	0.0027523777485550017
10	aprf-weighted	1138	327194	0.003478058888610427
11	aprf-weighted	847	325301	0.0026037423801340913
12	aprf-weighted	6372	326298	0.019528161373958772
13	aprf-weighted	931	324496	0.0028690646417829494
14	aprf-weighted	628	327158	0.001919561801942792
15	aprf-weighted	192	325868	0.0005891956252224828
16	aprf-weighted	61	325584	0.00018735564401199076
17	aprf-weighted	152	322834	0.00047083020995310285
18	aprf-weighted	596	326805	0.001823717507382078
19	aprf-weighted	231	326418	0.0007076815616785839
20	aprf-weighted	346	326347	0.0010602211756198156
21	aprf-weighted	163	326598	0.0004990845014360161
22	aprf-weighted	4	327266	1.2222473461954496e-05
23	aprf-weighted	9	326837	2.7536662005831652e-05
24	aprf-weighted	997	320905	0.0031068384724451162
pil01	aprf-weighted	855	323569	0.0026424039385726074
pil02	aprf-weighted	1939	326105	0.005945937658116251
03	aprf-shift	608	327191	0.0018582418220550077
04	aprf-shift	770	327276	0.0023527542502352755
05	aprf-shift	727	326702	0.0022252695116650647
06	aprf-shift	3902	326701	0.01194364265796554
07	aprf-shift	289	326004	0.0008864921902798739
08	aprf-shift	935	326607	0.002862767791259832
09	aprf-shift	756	326990	0.0023119973087862016
10	aprf-shift	782	327194	0.002390019376883439
11	aprf-shift	743	325301	0.0022840384751353364
12	aprf-shift	2670	326298	0.008182704153871614
13	aprf-shift	1522	324496	0.004690350574429269
14	aprf-shift	462	327158	0.0014121617077986783
15	aprf-shift	247	325868	0.0007579756220310064
16	aprf-shift	75	325584	0.00023035530001474274
17	aprf-shift	243	322834	0.0007527088224908157
18	aprf-shift	319	326805	0.0009761172564679244
19	aprf-shift	1073	326418	0.0032871961717797424
20	aprf-shift	221	326347	0.0006771932942542753
21	aprf-shift	145	326598	0.0004439708755105665
22	aprf-shift	7	327266	2.1389328558420367e-05
23	aprf-shift	51	326837	0.0001560410846997127
24	aprf-shift	1015	320905	0.00316292983904894
pil01	aprf-shift	1102	323569	0.003405765076382472
pil02	aprf-shift	2355	326105	0.007221600404777602
