subject	session	mapping	run	trial_nr	gaze_dispersion	n_samples	frac_valid
01	1	inverse_cdf	1	1	28.207354939189674	1493	1.0
01	1	inverse_cdf	1	2	52.28438609097758	1502	1.0
01	1	inverse_cdf	1	3	29.101924484470317	1193	1.0
01	1	inverse_cdf	1	4	97.59801853937111	1502	0.9840213049267643
01	1	inverse_cdf	1	5	112.93426707565064	1493	0.971198928332217
01	1	inverse_cdf	1	6	46.53835718609125	1385	1.0
01	1	inverse_cdf	1	7	41.167850784784406	1468	1.0
01	1	inverse_cdf	1	8	36.21834896872111	1501	1.0
01	1	inverse_cdf	1	9	154.8702667864097	1402	0.9650499286733238
01	1	inverse_cdf	1	10	42.84383165656264	1059	1.0
01	1	inverse_cdf	1	11	51.47305946114105	1343	1.0
01	1	inverse_cdf	1	12	111.97577714608686	1501	0.9986675549633578
01	1	inverse_cdf	1	13	72.8972155730031	1384	1.0
01	1	inverse_cdf	1	14	63.73631125116104	1477	0.987136086662153
01	1	inverse_cdf	1	15	43.566920030325576	1469	1.0
01	1	inverse_cdf	1	16	27.489061710379517	1068	1.0
01	1	inverse_cdf	1	17	43.88378181901383	876	1.0
01	1	inverse_cdf	1	18	35.22359019742583	1143	1.0
01	1	inverse_cdf	1	19	34.86811576939147	1468	1.0
01	1	inverse_cdf	1	20	44.90303331221714	1501	1.0
01	1	inverse_cdf	1	21	48.01492589009238	1426	0.9838709677419355
01	1	inverse_cdf	1	22	41.626168241123274	1485	1.0
01	1	inverse_cdf	1	23	43.741340159676405	1218	1.0
01	1	inverse_cdf	2	24	66.91417633093815	1502	1.0
01	1	inverse_cdf	2	25	50.44323566692359	968	0.9566115702479339
01	1	inverse_cdf	2	26	48.78167372204459	1279	1.0
01	1	inverse_cdf	2	27	42.35449648626399	1359	1.0
01	1	inverse_cdf	2	28	50.02206409364525	1335	1.0
01	1	inverse_cdf	2	29	37.949197768440996	1093	1.0
01	1	inverse_cdf	2	30	120.87296750293066	1243	0.835076427996782
01	1	inverse_cdf	2	31	50.15023383548853	1451	1.0
01	1	inverse_cdf	2	32	47.8145004515418	1234	1.0
01	1	inverse_cdf	2	33	39.32320580086299	1187	1.0
01	1	inverse_cdf	2	34	37.925856176195744	1501	1.0
01	1	inverse_cdf	2	35	42.425505105944595	1493	1.0
01	1	inverse_cdf	2	36	65.16394258396865	1003	1.0
01	1	inverse_cdf	2	37	63.03977708579581	1501	0.9320453031312458
01	1	inverse_cdf	2	38	40.38140603919563	1060	1.0
01	1	inverse_cdf	2	39	46.463318424404584	1076	1.0
01	1	inverse_cdf	2	40	50.72051323938285	1343	1.0
01	1	inverse_cdf	2	41	51.98488174868981	1385	1.0
01	1	inverse_cdf	2	42	66.07961731589094	1093	1.0
01	1	inverse_cdf	2	43	38.919264827973066	1203	0.8969243557772236
01	1	inverse_cdf	2	44	51.26442242421347	1084	1.0
01	1	inverse_cdf	2	45	54.611175593441985	1176	1.0
01	1	inverse_cdf	2	46	56.06572189826418	1503	0.9248170326014638
01	1	inverse_cdf	3	47	50.74921717421762	1051	1.0
01	1	inverse_cdf	3	48	53.73806877496512	1477	0.94583615436696
01	1	inverse_cdf	3	49	57.10251848353531	1185	1.0
01	1	inverse_cdf	3	50	65.78996055999997	1126	0.9058614564831261
01	1	inverse_cdf	3	51	40.12825371225372	1359	1.0
01	1	inverse_cdf	3	52	49.83696168884525	1437	1.0
01	1	inverse_cdf	3	53	52.69721267820304	1151	1.0
01	1	inverse_cdf	3	54	56.954711285501354	1318	1.0
01	1	inverse_cdf	3	55	44.266741492294074	1226	1.0
01	1	inverse_cdf	3	56	47.26133181500516	1210	0.9983471074380166
01	1	inverse_cdf	3	57	45.4476209410289	1126	1.0
01	1	inverse_cdf	3	58	70.90197297130163	1045	1.0
01	1	inverse_cdf	3	59	67.26890726888557	1293	0.9559164733178654
01	1	inverse_cdf	3	60	49.37992450424707	1243	1.0
01	1	inverse_cdf	3	61	56.9904563885637	1287	1.0
01	1	inverse_cdf	3	62	39.62089372606344	1293	1.0
01	1	inverse_cdf	3	63	41.2786599336249	1068	1.0
01	1	inverse_cdf	3	64	41.59677573926219	1234	1.0
01	1	inverse_cdf	3	65	42.855562274849916	1302	1.0
01	1	inverse_cdf	3	66	60.059077291766044	1418	1.0
01	1	inverse_cdf	3	67	46.03142361404358	1117	1.0
01	1	inverse_cdf	3	68	54.79486518668154	1020	1.0
01	1	inverse_cdf	3	69	51.39185112908309	1393	1.0
01	1	inverse_cdf	4	70	42.85885539489403	1126	1.0
01	1	inverse_cdf	4	71	56.51343948787707	884	1.0
01	1	inverse_cdf	4	72	51.25241960995963	1176	0.9294217687074829
01	1	inverse_cdf	4	73	42.360023091029376	1184	1.0
01	1	inverse_cdf	4	74	50.47068693112443	1109	1.0
01	1	inverse_cdf	4	75	45.545632797528164	1093	1.0
01	1	inverse_cdf	4	76	41.518301578907284	1209	1.0
01	1	inverse_cdf	4	77	45.185662539529105	842	1.0
01	1	inverse_cdf	4	78	32.91710521107924	1076	1.0
01	1	inverse_cdf	4	79	44.36183811772102	1368	1.0
01	1	inverse_cdf	4	80	41.85044389827141	1368	1.0
01	1	inverse_cdf	4	81	54.49124219829579	1235	1.0
01	1	inverse_cdf	4	82	52.321237875272274	1351	1.0
01	1	inverse_cdf	4	83	57.10020253022045	961	1.0
01	1	inverse_cdf	4	84	33.663296393685776	1276	0.9435736677115988
01	1	inverse_cdf	4	85	46.00975475822285	1068	1.0
01	1	inverse_cdf	4	86	42.24836348961459	1385	0.9942238267148015
01	1	inverse_cdf	4	87	39.05878520132923	1143	1.0
01	1	inverse_cdf	4	88	37.067560152456515	1259	1.0
01	1	inverse_cdf	4	89	43.606081393984525	917	1.0
01	1	inverse_cdf	4	90	40.66784176557599	1220	1.0
01	1	inverse_cdf	4	91	46.418781316067594	1384	1.0
01	1	inverse_cdf	4	92	31.297399985643107	1018	1.0
01	1	inverse_cdf	5	93	34.94911004977185	1501	1.0
01	1	inverse_cdf	5	94	33.08954447660537	1259	1.0
01	1	inverse_cdf	5	95	47.5862441567455	701	1.0
01	1	inverse_cdf	5	96	57.91172730039676	1243	0.9750603378921963
01	1	inverse_cdf	5	97	43.53444194993796	1393	1.0
01	1	inverse_cdf	5	98	39.17823686293487	1368	1.0
01	1	inverse_cdf	5	99	41.570954486113024	1084	1.0
01	1	inverse_cdf	5	100	48.558712637758845	1342	1.0
01	1	inverse_cdf	5	101	33.17380747510218	1459	1.0
01	1	inverse_cdf	5	102	38.5645074991853	1502	1.0
01	1	inverse_cdf	5	103	48.93355170385091	1051	0.9029495718363464
01	1	inverse_cdf	5	104	42.528093922224336	1284	0.9353582554517134
01	1	inverse_cdf	5	105	36.95615472725097	1101	0.92188919164396
01	1	inverse_cdf	5	106	50.1758471637996	1310	1.0
01	1	inverse_cdf	5	107	40.33659417452319	1160	1.0
01	1	inverse_cdf	5	108	58.7429040621952	818	0.902200488997555
01	1	inverse_cdf	5	109	51.82328785077412	1159	1.0
01	1	inverse_cdf	5	110	45.62728910024	1243	1.0
01	1	inverse_cdf	5	111	48.51999405879853	1034	0.9748549323017408
01	1	inverse_cdf	5	112	46.53756774097325	1360	1.0
01	1	inverse_cdf	5	113	41.54627076008055	1476	1.0
01	1	inverse_cdf	5	114	41.18182748987292	1051	1.0
01	1	inverse_cdf	5	115	32.51041076760718	1110	1.0
01	1	inverse_cdf	6	116	55.204524078353245	1443	1.0
01	1	inverse_cdf	6	117	47.391018904677416	1501	1.0
01	1	inverse_cdf	6	118	37.666723886615664	1212	1.0
01	1	inverse_cdf	6	119	37.16595683607623	1243	1.0
01	1	inverse_cdf	6	120	40.70945894394459	901	0.8956714761376249
01	1	inverse_cdf	6	121	73.1192018360396	1112	0.908273381294964
01	1	inverse_cdf	6	122	49.20581936845602	1143	1.0
01	1	inverse_cdf	6	123	52.554350313632185	1376	1.0
01	1	inverse_cdf	6	124	49.301280840811536	1234	1.0
01	1	inverse_cdf	6	125	48.09998053943279	1120	1.0
01	1	inverse_cdf	6	126	50.43322854722891	1385	0.9581227436823104
01	1	inverse_cdf	6	127	29.232995754792373	1217	1.0
01	1	inverse_cdf	6	128	42.325232209393576	1237	0.9450282942603072
01	1	inverse_cdf	6	129	45.716484678503264	1234	1.0
01	1	inverse_cdf	6	130	78.08081990786123	1243	1.0
01	1	inverse_cdf	6	131	57.66906547082309	985	1.0
01	1	inverse_cdf	6	132	46.93174521056979	1378	1.0
01	1	inverse_cdf	6	133	45.60573931419604	1401	1.0
01	1	inverse_cdf	6	134	49.1859646526101	1202	1.0
01	1	inverse_cdf	6	135	35.15454387538113	1295	0.8648648648648649
01	1	inverse_cdf	6	136	58.318736111764316	1160	1.0
01	1	inverse_cdf	6	137	40.04151954999698	1401	1.0
01	1	inverse_cdf	6	138	37.67983229004724	1162	1.0
01	1	inverse_cdf	7	139	42.93520716356405	1393	1.0
01	1	inverse_cdf	7	140	48.51642217430931	1118	1.0
01	1	inverse_cdf	7	141	69.6602344342778	1226	1.0
01	1	inverse_cdf	7	142	49.746943058088256	1268	1.0
01	1	inverse_cdf	7	143	49.17380361198837	1250	1.0
01	1	inverse_cdf	7	144	48.30360814239656	1260	1.0
