subject	npcr_expected_sd_chf	v1_expected_sd_deg
1	4.164168282809983	18.321705574508915
2	4.463429824380759	8.183266716507811
3	4.949712651326727	11.065371545057062
4	2.9505129267637216	11.709688581322839
5	3.9630531269107347	8.332953152744711
6	4.080514141076371	3.4431018782694305
7	4.445774417968654	9.49665304240986
8	4.496009627946848	9.929554303631596
9	4.1641655595352844	9.03813859373782
10	4.394787298626371	11.053174674670727
11	4.543712701899812	13.921547987748268
12	3.378777568827249	8.743831221375764
13	4.143053049284007	9.500097283285616
14	4.560672405551954	14.196487091694943
15	4.59121880079721	16.059892354660573
16	4.98381532734389	16.132891771809604
17	4.668952683478716	13.394585466505399
18	3.776492308908844	18.13737142363298
19	4.302334264711739	8.574733219727452
20	4.893703361485871	13.252464979629615
21	4.540425260020144	13.834061904788284
22	4.450334696585947	11.569329695097737
23	5.011682826796561	21.380735152864496
24	4.48128452324926	6.999576814370554
25	4.963068021627312	13.266017845337437
26	4.508781931377985	15.671498946833387
27	3.663492505408982	8.023128418867403
28	4.763451930651039	15.439968850467244
29	3.9423345996619994	
30	3.7703901397853232	
