subject	session	orientation	sd_E
20	1	0.0	9.642374419245638
20	1	0.9999999403953552	9.207343449308247
20	1	1.9999998807907104	10.694024622168026
20	1	3.0	11.172607439574357
20	1	3.999999761581421	11.624972575851594
20	1	4.999999523162842	11.508248911804307
20	1	6.0	10.389819095593058
20	1	6.999999523162842	10.751514324412023
20	1	7.999999523162842	12.047302809027345
20	1	9.0	11.55391128772678
20	1	9.999999046325684	12.893531657567014
20	1	10.999999046325684	13.139183679934755
20	1	12.0	13.177529215708851
20	1	12.999999046325684	12.949068779482033
20	1	13.999999046325684	14.78354318487886
20	1	15.0	13.849208311140613
20	1	15.999999046325684	13.441825093189788
20	1	16.999998092651367	14.140280237715292
20	1	18.0	14.033162380961981
20	1	18.999998092651367	14.042450584459553
20	1	19.999998092651367	13.724057047431177
20	1	21.0	14.169373428484962
20	1	21.999998092651367	14.669938355961332
20	1	22.999998092651367	14.611309719673235
20	1	24.0	14.657138581456728
20	1	24.999998092651367	15.372764821555643
20	1	25.999998092651367	13.827985205842092
20	1	27.0	15.222370886221134
20	1	27.999998092651367	16.141116706952474
20	1	28.999998092651367	16.345667212216014
20	1	30.0	16.12172921499339
20	1	30.999996185302734	17.63003476676543
20	1	31.999998092651367	18.687115823851624
20	1	33.0	18.970141787584026
20	1	33.999996185302734	19.758507834796287
20	1	34.999996185302734	19.517892223167784
20	1	36.0	19.824526735766337
20	1	36.999996185302734	20.72036239447416
20	1	37.999996185302734	19.558081056244138
20	1	39.0	19.955599773486174
20	1	39.999996185302734	20.38156452107402
20	1	40.999996185302734	21.282637227327953
20	1	42.0	21.631919441104063
20	1	42.999996185302734	20.3172241390925
20	1	43.999996185302734	21.34745401500408
20	1	45.0	21.611538156620746
20	1	45.999996185302734	21.585247050958074
20	1	46.999996185302734	21.667878679536887
20	1	48.0	22.754604465168228
20	1	48.999996185302734	22.26149895803916
20	1	49.999996185302734	22.453502405797387
20	1	51.0	22.510882825014665
20	1	51.999996185302734	21.21291465628046
20	1	52.999996185302734	22.993299086092666
20	1	54.0	23.86088678994061
20	1	54.999996185302734	22.520617552129224
20	1	55.999996185302734	22.279943883892777
20	1	57.0	22.216194313274464
20	1	57.999996185302734	20.588642196330465
20	1	58.999996185302734	20.69467234545845
20	1	60.0	20.25801322917766
20	1	61.0	19.370295250298394
20	1	61.99999237060547	18.5431934927557
20	1	62.999996185302734	17.64063522035729
20	1	63.999996185302734	17.595953830354357
20	1	65.0	17.763730597126553
20	1	66.0	16.962006407445042
20	1	67.0	16.487916146965286
20	1	67.99999237060547	18.587685345009163
20	1	68.99999237060547	16.642444054294945
20	1	69.99999237060547	16.7318085418481
20	1	71.0	15.169896250375217
20	1	72.0	16.102290496615534
20	1	73.0	16.211971381854895
20	1	73.99999237060547	15.897325057359916
20	1	74.99999237060547	16.20447183414622
20	1	75.99999237060547	13.79171519380203
20	1	77.0	14.1398115159835
20	1	78.0	12.915843324264507
20	1	79.0	12.057688965433996
20	1	79.99999237060547	12.794938730671527
20	1	80.99999237060547	11.838666143092844
20	1	81.99999237060547	11.2140402208533
20	1	83.0	10.581539090500732
20	1	84.0	9.60573984585863
20	1	84.99999237060547	8.440154403617612
20	1	85.99999237060547	8.847093659272387
20	1	86.99999237060547	7.439768185510756
20	1	87.99999237060547	7.910407492912363
20	1	89.0	7.690786175245187
20	1	90.0	7.635522260896968
20	1	90.99999237060547	6.803779389813251
20	1	91.99999237060547	6.762126334933574
20	1	92.99999237060547	7.427422618585958
20	1	93.99999237060547	8.241792049742102
20	1	95.0	8.324227310382279
20	1	96.0	8.489769751522232
20	1	96.99999237060547	8.434608290011562
20	1	97.99999237060547	8.730622712224392
20	1	98.99999237060547	8.980181602797378
20	1	99.99999237060547	10.309655726625557
20	1	100.99999237060547	10.923536053753379
20	1	102.0	11.642721676183518
20	1	102.99999237060547	12.113407941135668
20	1	103.99999237060547	12.801949066080898
20	1	104.99999237060547	13.583740202443375
20	1	105.99999237060547	12.727424018273243
20	1	106.99999237060547	14.463693963783626
20	1	108.0	13.680673393370549
20	1	108.99999237060547	14.743892229199645
20	1	109.99999237060547	15.273993455968089
20	1	110.99999237060547	16.533625480438303
20	1	111.99999237060547	15.459151346630673
20	1	112.99999237060547	16.848594531371564
20	1	114.0	17.060996339086035
20	1	115.0	15.916558870062671
20	1	115.99999237060547	18.41421220046918
20	1	117.0	17.562812044954164
20	1	117.99999237060547	17.469364811824637
20	1	118.99999237060547	17.339714160999453
20	1	120.0	19.380953760498198
20	1	120.99999237060547	19.584578775129206
20	1	122.0	18.159398333103514
