decoder	roi	subject	n_trials	same_trial	next_trial
50 voxels	BensonV1	03	322	0.1451324588226809	-0.02258820357069158
50 voxels	BensonV1	04	328	0.17522699094545674	-0.12878287344039818
50 voxels	BensonV1	05	358	0.2436828583532963	-0.02069508404858717
50 voxels	BensonV1	06	335	0.1210039927124087	-0.09522295787977329
50 voxels	BensonV1	07	347	0.029467634019562067	-0.062230850434724906
50 voxels	BensonV1	08	339	0.18689261615092578	-0.004655598019993923
50 voxels	BensonV1	09	361	0.1230656375395509	-0.06294959018827927
50 voxels	BensonV1	10	359	0.07674171666784269	0.006285374958090531
50 voxels	BensonV1	11	357	0.27200807851154934	-0.10458898392882604
50 voxels	BensonV1	12	338	-0.025425435271879487	-0.05611691168985506
50 voxels	BensonV1	13	355	0.06841146556167219	0.05402912684729637
50 voxels	BensonV1	14	364	0.029595773154049185	-0.028264235713320644
50 voxels	BensonV1	15	356	0.06822470441891745	-0.06185730875406207
50 voxels	BensonV1	16	349	0.054394144055135256	-0.03220350891948058
50 voxels	BensonV1	17	352	0.024212497699859115	0.0008556134283586193
50 voxels	BensonV1	18	380	0.0460639200730482	0.04262068736362375
50 voxels	BensonV1	19	349	-0.11906828730401812	-0.06671844617330519
50 voxels	BensonV1	20	317	0.03770048790052427	-0.07432292600680898
50 voxels	BensonV1	21	354	0.096156249304133	-0.06061609253082399
50 voxels	BensonV1	22	326	0.018674650147707365	-0.06162459585234387
50 voxels	BensonV1	23	313	0.019543320989221215	0.01941531744694606
50 voxels	BensonV1	24	357	0.16596777048203887	0.021510761967163224
50 voxels	BensonV1	25	349	0.10530722161797922	-0.11256796114303338
50 voxels	BensonV1	26	340	0.042346594498917194	-0.12484864959026175
50 voxels	BensonV1	27	361	0.01552034864169704	-0.013371586174341744
50 voxels	BensonV1	28	320	0.06268097309242276	0.14488081666654168
50 voxels	BensonV1	29	346	0.021269506909007807	0.09988161516882307
50 voxels	BensonV1	30	331	0.18642285414356463	-0.041468873274393685
50 voxels	BensonV1	pil01	342	0.13964221384524592	0.03254584171604967
50 voxels	BensonV1	pil02	359	0.12037550778063702	-0.10736224171381388
50 voxels	NPCr	03	322	0.04401541185900706	0.020287531080279992
50 voxels	NPCr	04	328	0.1339482456484308	-0.02575259484586731
50 voxels	NPCr	05	358	0.08945565807877287	-0.0666150579753484
50 voxels	NPCr	06	335	-0.01285290299017231	0.030130351525374764
50 voxels	NPCr	07	347	0.04054354035246153	-0.1793871796955504
50 voxels	NPCr	08	339	0.15362280825215188	-0.13054015581833653
50 voxels	NPCr	09	361	0.05098955524701029	0.012295550772310598
50 voxels	NPCr	10	359	0.08096438175149906	-0.0705758919216145
50 voxels	NPCr	11	357	-0.004192568778863217	-0.004983984213767738
50 voxels	NPCr	12	338	0.01902664121635707	0.03438926308393982
50 voxels	NPCr	13	355	-0.08354879937011271	0.06337278348579223
50 voxels	NPCr	14	364	-0.03561884851628021	-0.10034104442185478
50 voxels	NPCr	15	356	0.12327165614136533	0.037665622705821473
50 voxels	NPCr	16	349	-0.018116118524326926	-0.03682505989584873
50 voxels	NPCr	17	352	0.10771513333314157	-0.037300734706022645
50 voxels	NPCr	18	380	0.023723347415774837	-0.07408960076040856
50 voxels	NPCr	19	349	0.13572314464454924	-0.010835204460822088
50 voxels	NPCr	20	317	0.06475568631141049	0.001780075284133581
50 voxels	NPCr	21	354	0.020079833366010196	-0.07212835462969638
50 voxels	NPCr	22	326	-0.02123009091370278	-0.02827891466950793
50 voxels	NPCr	23	313	0.12470462337659613	-0.11193962666963622
50 voxels	NPCr	24	357	0.0682276572840226	0.046794042715628086
50 voxels	NPCr	25	349	0.08686708582112906	0.01329807416881162
50 voxels	NPCr	26	340	0.10274447150860361	-0.04746894269377189
50 voxels	NPCr	27	361	-0.007320516424471949	-0.031886620133819994
50 voxels	NPCr	28	320	0.14224495108044635	-0.08881395045848446
50 voxels	NPCr	29	346	-0.05620587029216613	-0.00014658167536149038
50 voxels	NPCr	30	331	0.10476282530422294	-0.0196299174453385
50 voxels	NPCr	pil01	342	-0.010813290955942335	-0.027608579113480972
50 voxels	NPCr	pil02	359	-0.043564265751205616	-0.0009989866462303898
250 voxels	BensonV1	03	322	0.13439523937780115	-0.006952707368844981
250 voxels	BensonV1	04	328	0.07310923348460982	-0.05874645889201526
250 voxels	BensonV1	05	358	0.19073197028405928	0.022324941880942098
250 voxels	BensonV1	06	335	0.06387505787515858	-0.05888241354467103
250 voxels	BensonV1	07	347	0.03365846020642125	-0.02406413125655413
250 voxels	BensonV1	08	339	0.13783354027400116	-0.02240178397051104
250 voxels	BensonV1	09	361	0.18178010054766588	-0.08804897533543336
250 voxels	BensonV1	10	359	-0.008966016632268262	-0.0411372490394293
250 voxels	BensonV1	11	357	0.23132505172497322	-0.06775146035370322
250 voxels	BensonV1	12	338	-0.011559725691975014	-0.021858821480295575
250 voxels	BensonV1	13	355	0.05153775287158564	0.07304639746166476
250 voxels	BensonV1	14	364	-0.01131625908975123	-0.045991047230593544
250 voxels	BensonV1	15	356	0.11883400666756751	-0.06756555992129092
250 voxels	BensonV1	16	349	0.032057249705857674	-0.033959188035389734
250 voxels	BensonV1	17	352	0.01717877698940162	-0.011295359896415594
250 voxels	BensonV1	18	380	-0.06470569741555156	0.006523679637809389
250 voxels	BensonV1	19	349	-0.12864540829731042	-0.07673705329188465
250 voxels	BensonV1	20	317	0.0749503662639825	-0.047711605083624
250 voxels	BensonV1	21	354	0.14607374496113518	0.01654349662401375
250 voxels	BensonV1	22	326	-0.011215623213224439	-0.07956319822643512
250 voxels	BensonV1	23	313	0.0572516702107285	0.010946581343302612
250 voxels	BensonV1	24	357	0.1570885238932722	-0.015030883615824853
250 voxels	BensonV1	25	349	0.1417615313434132	-0.1439919408561253
250 voxels	BensonV1	26	340	0.020458121511880215	-0.08859330181353962
250 voxels	BensonV1	27	361	-0.002694694771165911	-0.06404754439663164
250 voxels	BensonV1	28	320	0.05227746026464685	0.09779956727469379
250 voxels	BensonV1	29	346	0.0726301633616657	-0.021227444020594042
250 voxels	BensonV1	30	331	0.13413850468626176	-0.11345114168725094
250 voxels	BensonV1	pil01	342	0.0912009664459704	0.026920078937339685
250 voxels	BensonV1	pil02	359	0.09669243191584673	-0.05302644193063245
250 voxels	NPCr	03	322	-0.031031422418912758	0.029849472536392137
250 voxels	NPCr	04	328	0.07927167389000847	-0.011496887549782982
250 voxels	NPCr	05	358	0.1245175582360767	0.016941261501598442
250 voxels	NPCr	06	335	0.031141967869748842	0.007071537852255491
250 voxels	NPCr	07	347	-0.025691612612899862	-0.17607834493945648
250 voxels	NPCr	08	339	0.19537464058690857	-0.11541962409121753
250 voxels	NPCr	09	361	0.017617153601019033	0.022541152548513407
250 voxels	NPCr	10	359	0.06438580384643591	-0.10532739389084443
250 voxels	NPCr	11	357	0.01304412525591881	0.0018143641946185304
250 voxels	NPCr	12	338	0.027697047204325705	-0.010233153552388661
250 voxels	NPCr	13	355	-0.006939150427631429	0.09231851266304382
250 voxels	NPCr	14	364	-0.04373190106108673	-0.096358824229427
250 voxels	NPCr	15	356	0.07531113213124759	0.030701214619188528
250 voxels	NPCr	16	349	0.024768968890462303	0.03358676500775162
250 voxels	NPCr	17	352	0.04032995315136088	0.037046531528435546
250 voxels	NPCr	18	380	0.009200716280123271	-0.05422120584395073
250 voxels	NPCr	19	349	0.04381188141202407	0.09736898670172321
250 voxels	NPCr	20	317	0.004346285896815063	-0.012784363103027264
250 voxels	NPCr	21	354	0.03149735429985597	-0.05760602787912633
250 voxels	NPCr	22	326	-0.052856066364435725	-0.14357882833971689
250 voxels	NPCr	23	313	0.12034378717029788	-0.05202921027151274
250 voxels	NPCr	24	357	0.028296607883057514	0.04131561164370602
250 voxels	NPCr	25	349	0.15416666835382167	0.11451674990382556
250 voxels	NPCr	26	340	0.023223070396783122	-0.03868283401118692
250 voxels	NPCr	27	361	0.012770794667737069	0.003657775412525838
250 voxels	NPCr	28	320	0.0787170844514198	-0.10356376179396541
250 voxels	NPCr	29	346	0.019494273280836534	-0.016629054419597625
250 voxels	NPCr	30	331	0.112835694375493	-0.041508193029298646
250 voxels	NPCr	pil01	342	-0.011699951333443877	-0.048444836541918716
250 voxels	NPCr	pil02	359	-0.034146804202405893	-0.012055087968712663
Basis set, 100 voxels	BensonV1	03	322	0.16261993462693622	-0.00361983828107917
Basis set, 100 voxels	BensonV1	04	328	0.1082917728779681	-0.15058548425375015
Basis set, 100 voxels	BensonV1	05	358	0.2525316822009678	0.00468198378145795
Basis set, 100 voxels	BensonV1	06	335	0.07405503058836586	-0.08556002110395505
Basis set, 100 voxels	BensonV1	07	347	0.018289162784738543	-0.025882468397118358
Basis set, 100 voxels	BensonV1	08	339	0.15814123824109527	0.006887599257463312
Basis set, 100 voxels	BensonV1	09	361	0.10523502688244697	-0.13680399236155807
Basis set, 100 voxels	BensonV1	10	359	0.03481424441490726	0.013376649545743342
Basis set, 100 voxels	BensonV1	11	357	0.23514617730404075	-0.08301535411042342
Basis set, 100 voxels	BensonV1	12	338	8.396688349866858e-05	-0.056504257491729104
Basis set, 100 voxels	BensonV1	13	355	-0.022557516886313703	0.10780096484394962
Basis set, 100 voxels	BensonV1	14	364	0.03521074070458063	0.004385200601999028
Basis set, 100 voxels	BensonV1	15	356	0.1163505243106253	-0.0867438918219538
Basis set, 100 voxels	BensonV1	16	349	0.05893985762747636	-0.03636553322730345
Basis set, 100 voxels	BensonV1	17	352	0.03187827209964963	-0.034901142442284074
Basis set, 100 voxels	BensonV1	18	380	0.011314439888119974	-0.006819673872278153
Basis set, 100 voxels	BensonV1	19	349	-0.10097672683515685	-0.05135116447220197
Basis set, 100 voxels	BensonV1	20	317	0.06491470747639072	-0.09820590829653851
Basis set, 100 voxels	BensonV1	21	354	0.13420525294645802	-0.01668460210641867
Basis set, 100 voxels	BensonV1	22	326	0.058752813048259	-0.027733752307190475
Basis set, 100 voxels	BensonV1	23	313	0.10684532698793418	0.031101212165676698
Basis set, 100 voxels	BensonV1	24	357	0.20054850623921042	0.023492767964312097
Basis set, 100 voxels	BensonV1	25	349	0.11016378825457718	-0.13817785452877607
Basis set, 100 voxels	BensonV1	26	340	0.0312604020191526	-0.11268610048863173
Basis set, 100 voxels	BensonV1	27	361	0.03843717476286125	-0.013416434653544581
Basis set, 100 voxels	BensonV1	28	320	0.029423555805972102	0.11942925385188465
Basis set, 100 voxels	BensonV1	29	346	0.012338822514074954	0.08751137245023657
Basis set, 100 voxels	BensonV1	30	331	0.16375885466141227	-0.04414395786553151
Basis set, 100 voxels	BensonV1	pil01	342	0.1455528738379385	0.045539432236806676
Basis set, 100 voxels	BensonV1	pil02	359	0.11360216640959996	-0.05770152911371176
Basis set, 100 voxels	NPCr	03	322	0.022762217618608166	0.0032279500317089708
Basis set, 100 voxels	NPCr	04	328	0.057238471975530086	0.0335926766305583
Basis set, 100 voxels	NPCr	05	358	0.059542703273449994	-0.02142392730668986
Basis set, 100 voxels	NPCr	06	335	-0.0164841927548899	-0.009778220567393484
Basis set, 100 voxels	NPCr	07	347	0.05053202558534202	-0.14541565247462565
Basis set, 100 voxels	NPCr	08	339	0.133268277680302	-0.11240988436973547
Basis set, 100 voxels	NPCr	09	361	0.0693311553433589	0.0391640276090213
Basis set, 100 voxels	NPCr	10	359	0.12123297060577964	-0.10310963687912726
Basis set, 100 voxels	NPCr	11	357	0.0051283313742156314	-0.03727928079991389
Basis set, 100 voxels	NPCr	12	338	0.12420685686991925	0.06496520391283088
Basis set, 100 voxels	NPCr	13	355	0.006884156250742175	0.05451681849675433
Basis set, 100 voxels	NPCr	14	364	0.012377806472031998	-0.08352691304440173
Basis set, 100 voxels	NPCr	15	356	0.1303620664038477	-0.03560561041727871
Basis set, 100 voxels	NPCr	16	349	-0.0036337509789767333	-0.0501514109901999
Basis set, 100 voxels	NPCr	17	352	0.0748064523664729	-0.016331885312779005
Basis set, 100 voxels	NPCr	18	380	0.03794095055427788	-0.06303440870607173
Basis set, 100 voxels	NPCr	19	349	0.07072099983935921	0.04463609416381431
