decoder	roi	subject	n_trials	same_trial	next_trial
Basis set, 100 voxels	NPCr	20	317	0.04117954218611452	-0.03487128996384185
Basis set, 100 voxels	NPCr	21	354	-0.04307931779742886	-0.06421540388913524
Basis set, 100 voxels	NPCr	22	326	0.01286156761913366	-0.04136566962011551
Basis set, 100 voxels	NPCr	23	313	0.10816175099168425	-0.10359968731749918
Basis set, 100 voxels	NPCr	24	357	0.0076082497454817094	0.02257096951555026
Basis set, 100 voxels	NPCr	25	349	0.13522420156675508	0.04915790855962676
Basis set, 100 voxels	NPCr	26	340	0.05259477669444507	-0.017807371177018527
Basis set, 100 voxels	NPCr	27	361	0.0593554628629329	-0.053133321730652765
Basis set, 100 voxels	NPCr	28	320	0.05854757694373851	-0.07963565364426155
Basis set, 100 voxels	NPCr	29	346	0.011778455844973338	0.025005175761629677
Basis set, 100 voxels	NPCr	30	331	0.14116833292688757	-0.028890503724242008
Basis set, 100 voxels	NPCr	pil01	342	0.07355332910033625	0.1365901855860742
Basis set, 100 voxels	NPCr	pil02	359	-0.1094227262617786	0.010557424541237778
