subject	quantity	roi	session	run	trial_nr	true	post_mean	post_map	post_sd	error
03	value	NPCr	1	1	1	22.5	35.950657273107645	39.112244	4.617787085063853	13.450657273107645
03	value	NPCr	1	1	2	20.0	7.780421306345185	8.071428	1.7074038515924876	-12.219578693654814
03	value	NPCr	1	1	3	18.5	35.15630637038806	33.540817	2.859771490750231	16.65630637038806
03	value	NPCr	1	1	4	11.5	28.985256785287852	27.969387	2.8252603894626347	17.485256785287852
03	value	NPCr	1	1	5	40.0	8.506182685409174	8.867347	0.6411423552525157	-31.493817314590828
03	value	NPCr	1	1	6	7.5	4.154565515571817	4.091837	1.412404981390179	-3.345434484428183
03	value	NPCr	1	1	7	28.0	32.97555017873154	39.112244	5.531589479347823	4.975550178731538
03	value	NPCr	1	1	8	39.0	22.261453019364854	22.397959	0.9112080710235325	-16.738546980635146
03	value	NPCr	1	1	9	21.5	34.697195943050275	41.5	4.575912382255581	13.197195943050275
03	value	NPCr	1	1	10	2.5	8.295473927787231	2.5	8.236005461882138	5.795473927787231
03	value	NPCr	1	1	11	16.0	18.988634461040846	18.418367	6.431507033565924	2.9886344610408457
03	value	NPCr	1	1	12	36.5	21.032859061173326	22.397959	4.847752238963174	-15.467140938826674
03	value	NPCr	1	1	13	4.0	7.114458519666413	7.2755103	0.6563586097365176	3.114458519666413
03	value	NPCr	1	1	14	3.0	38.178541281847494	36.72449	2.453998883000039	35.178541281847494
03	value	NPCr	1	1	15	23.0	18.796311828275382	22.397959	4.570495745310838	-4.203688171724618
03	value	NPCr	1	1	16	32.5	38.95381875538024	39.908165	2.160764523414327	6.45381875538024
03	value	NPCr	1	1	17	25.5	24.565259468791623	24.785715	2.959282094187479	-0.9347405312083765
03	value	NPCr	1	1	18	24.0	31.01339098419528	39.112244	12.496831532462153	7.013390984195279
03	value	NPCr	1	1	19	22.0	4.251955155432497	3.2959185	3.0464733091342886	-17.748044844567502
03	value	NPCr	1	1	20	21.0	33.39513014421587	31.94898	3.909299367717889	12.39513014421587
03	value	NPCr	1	1	21	41.5	21.414010612425066	22.397959	1.8995942298173736	-20.085989387574934
03	value	NPCr	1	1	22	5.0	9.335726080845719	9.663265	0.8983547805902424	4.335726080845719
03	value	NPCr	1	1	23	41.0	26.951746543788822	25.581633	4.556897810729636	-14.048253456211178
03	value	NPCr	1	2	24	4.0	4.799235540291293	5.6836734	1.75532170880374	0.799235540291293
