fit	model	v1	matched	rho	lo	hi	n
Fourier k=1 (motor noise)	a1	-c1	True	0.034776500698414065	-0.4625318810169347	0.44946097719547595	28
Fourier k=1 (motor noise)	a1	-s1	False	-0.12694183968825246	-0.5293109254516134	0.3469393926493973	28
Fourier k=1 (motor noise)	b1	-c1	False	-0.2690986392624507	-0.6227363260129619	0.1396913806933853	28
Fourier k=1 (motor noise)	b1	-s1	True	0.5367727771679472	0.11635459242605657	0.7955186020762269	28
Fourier k=2 (no seam)	a1	-c1	True	-0.05674079741451944	-0.5181292653875489	0.40292334071738944	26
Fourier k=2 (no seam)	a1	-s1	False	0.15179760099204076	-0.30343371519286666	0.5578833611459751	26
Fourier k=2 (no seam)	b1	-c1	False	-0.33425082324319344	-0.6886315778893165	0.1870504998006492	26
Fourier k=2 (no seam)	b1	-s1	True	0.3278378827934499	-0.15455623368789087	0.7033307784590774	26
Fourier k=2 (no seam)	a2	-c2	True	-0.12527920230478048	-0.574548131819841	0.3025044830564187	26
