subject	selection	n	standard	session-shift	fully-shifted
03	biased	131	-0.03053710237145424	-0.018546245992183685	-0.036953750997781754
03	neutral	199	-0.017232060432434082	-0.040592260658741	-0.045596104115247726
04	biased	233	-0.12887312471866608	-0.08217136561870575	-0.06995676457881927
04	neutral	241	-0.09443321824073792	-0.07985343039035797	-0.06548736244440079
05	biased	271	-0.0692414715886116	-0.05000491067767143	-0.07388833165168762
05	neutral	307	-0.04889115318655968	-0.06183876469731331	-0.07884714752435684
06	biased	255	-0.1733269989490509	-0.11102396249771118	-0.1244862750172615
06	neutral	235	-0.1303749978542328	-0.11122813820838928	-0.12074100971221924
07	biased	134	-0.0538751482963562	-0.029940996319055557	-0.041616711765527725
07	neutral	166	-0.027309376746416092	-0.047302816063165665	-0.049196191132068634
08	biased	130	-0.057961639016866684	-0.03781586512923241	-0.054061178117990494
08	neutral	180	-0.03795948624610901	-0.05550024285912514	-0.06043923646211624
09	biased	202	-0.054324377328157425	-0.039202094078063965	-0.05317981541156769
09	neutral	254	-0.03794112056493759	-0.05424497276544571	-0.06037593632936478
10	biased	186	-0.09133432060480118	-0.07400931417942047	-0.09463825821876526
10	neutral	228	-0.0690034031867981	-0.08207853138446808	-0.09205809980630875
11	biased	261	-0.04798797890543938	-0.035761475563049316	-0.03446836397051811
11	neutral	334	-0.03488370031118393	-0.05145213380455971	-0.04898306727409363
12	biased	360	-0.10639888793230057	-0.08747215569019318	-0.07841366529464722
12	neutral	380	-0.08725172281265259	-0.09301350265741348	-0.08382809162139893
13	biased	385	-0.07264482229948044	-0.06436488032341003	-0.06452728807926178
13	neutral	475	-0.06674012541770935	-0.0818767249584198	-0.07901559770107269
14	biased	250	-0.0687725841999054	-0.046371422708034515	-0.04986567422747612
14	neutral	284	-0.04352811351418495	-0.057256054133176804	-0.050368696451187134
15	biased	184	-0.09108064323663712	-0.07069192081689835	-0.0665573924779892
15	neutral	269	-0.061694320291280746	-0.07686696946620941	-0.07167748361825943
16	biased	73	-0.04432542994618416	-0.02788381092250347	-0.030442524701356888
16	neutral	106	-0.02686213329434395	-0.046647317707538605	-0.04562447965145111
17	biased	148	-0.03391992673277855	-0.019098088145256042	-0.025192687287926674
17	neutral	202	-0.02572735771536827	-0.041007399559020996	-0.045137833803892136
18	biased	336	-0.04888926073908806	-0.03513453155755997	-0.03967985138297081
18	neutral	366	-0.03498028963804245	-0.04578418284654617	-0.04819396883249283
19	biased	188	-0.08047215640544891	-0.05819591507315636	-0.05931558459997177
19	neutral	236	-0.05770811066031456	-0.07753593474626541	-0.07619968801736832
20	biased	106	-0.043448418378829956	-0.02776717208325863	-0.034109048545360565
20	neutral	161	-0.030142683535814285	-0.05224629491567612	-0.056584812700748444
21	biased	143	-0.03856045752763748	-0.019226687029004097	-0.021280549466609955
21	neutral	216	-0.018508074805140495	-0.04173615947365761	-0.039402689784765244
22	biased	17	-0.09949872642755508	-0.07798803597688675	-0.07701820135116577
22	neutral	37	-0.08103984594345093	-0.10828645527362823	-0.10721206665039062
23	biased	138	-0.053628865629434586	-0.03369009867310524	-0.03631541132926941
23	neutral	179	-0.028763890266418457	-0.0494900606572628	-0.05177276208996773
24	biased	138	-0.060816917568445206	-0.03881204500794411	-0.036677286028862
24	neutral	190	-0.035720501095056534	-0.053313057869672775	-0.051681216806173325
pil01	biased	404	-0.045306310057640076	-0.038634929805994034	-0.050995469093322754
pil01	neutral	462	-0.039851415902376175	-0.050032563507556915	-0.05683920532464981
pil02	biased	234	-0.05511590838432312	-0.031931065022945404	-0.04447295516729355
pil02	neutral	253	-0.037513911724090576	-0.049707669764757156	-0.055711254477500916
