run	trial_nr	true_value	train_condition	test_condition	matched_mean	matched_sd	cross_mean	cross_sd	test_session	subject
1	1	22.5	cdf	inverse_cdf	22.734902274470276	3.0618985427975143	27.413274320001356	6.949602867240893	1	03
1	2	20.0	cdf	inverse_cdf	19.740587047065873	15.022785414718673	11.204193086639313	4.775238200221551	1	03
1	3	18.5	cdf	inverse_cdf	26.23846819422314	15.987475424594004	37.47529500556091	6.988626090778868	1	03
1	4	11.5	cdf	inverse_cdf	33.16804524708958	15.064439452401723	38.39503099127431	8.73958036128281	1	03
1	5	40.0	cdf	inverse_cdf	13.18204095116328	9.11246458600086	9.952279619682772	5.194447151110836	1	03
1	6	7.5	cdf	inverse_cdf	15.859873712811268	16.16391830112013	21.434824332417733	15.420985705916328	1	03
1	7	28.0	cdf	inverse_cdf	31.869618881693707	8.811671270919371	30.459095308884212	13.394650868374068	1	03
1	8	39.0	cdf	inverse_cdf	22.685820169173223	0.4702285059263958	22.12538191793538	11.669080012960954	1	03
1	9	21.5	cdf	inverse_cdf	33.792977010578326	9.866443590038052	35.7919223894753	9.061050893080573	1	03
1	10	2.5	cdf	inverse_cdf	5.9229736621434	8.98611158175566	16.786568168291268	11.805191952799673	1	03
1	11	16.0	cdf	inverse_cdf	25.305854337670898	12.243712117693704	29.955491631325067	10.90968998944892	1	03
1	12	36.5	cdf	inverse_cdf	22.02528915400576	1.013189268948757	14.826417525000569	8.196221775050029	1	03
1	13	4.0	cdf	inverse_cdf	10.260199635356244	7.683598062997488	23.59814550015016	13.289074159689164	1	03
1	14	3.0	cdf	inverse_cdf	38.823549517224656	8.047329930969816	39.67915562711546	9.129810777623277	1	03
1	15	23.0	cdf	inverse_cdf	22.603965610073516	0.9822101864591694	11.454257792173912	6.013057830387451	1	03
1	16	32.5	cdf	inverse_cdf	40.255306809688726	7.789811560915341	36.00328384751565	8.77455421912669	1	03
1	17	25.5	cdf	inverse_cdf	31.31883024174424	8.497330576537815	19.915527921089577	6.454567905846648	1	03
1	18	24.0	cdf	inverse_cdf	38.53415891042445	8.959384882740897	38.00235806033229	3.8515786203822566	1	03
1	19	22.0	cdf	inverse_cdf	21.89459567884464	0.1049142185680838	5.786362166440026	5.44630055226424	1	03
1	20	21.0	cdf	inverse_cdf	35.456467595692786	7.825672785210117	33.120234315473226	8.400335721557163	1	03
1	21	41.5	cdf	inverse_cdf	21.621680408288206	1.305491389198386	18.928083523626995	8.547774173689334	1	03
1	22	5.0	cdf	inverse_cdf	10.194239115005317	2.6655694720232828	12.395790583757233	6.093596234763205	1	03
1	23	41.0	cdf	inverse_cdf	39.97894052190712	3.7732445044365432	33.95255337992808	10.950196190990882	1	03
2	24	4.0	cdf	inverse_cdf	19.093815594793355	6.317863164790923	7.325724297871829	1.9632192067897216	1	03
2	25	22.0	cdf	inverse_cdf	21.973826081589017	0.1173531807017626	13.879410176546646	0.4486601896389519	1	03
2	26	25.5	cdf	inverse_cdf	38.311833273809896	6.960834487280142	31.393632564263815	8.506391573665077	1	03
2	27	39.0	cdf	inverse_cdf	37.894635050326265	7.87239182619275	35.2225528847341	9.108459663260192	1	03
2	28	18.5	cdf	inverse_cdf	12.143894609984136	9.741241050696129	31.479260296734804	13.04890472902657	1	03
2	29	2.5	cdf	inverse_cdf	40.65513155637501	8.421345302882155	32.11522561381851	8.7724593225419	1	03
2	30	41.0	cdf	inverse_cdf	22.97466534290886	3.2674896826722963	21.18758175034721	13.689995072149593	1	03
2	31	21.0	cdf	inverse_cdf	21.602712715200006	7.107486278995417	32.552550148397074	16.616405585967023	1	03
2	32	40.0	cdf	inverse_cdf	42.08002948033369	7.190689754985747	37.836829388885256	5.069734583912011	1	03
2	33	32.5	cdf	inverse_cdf	38.40146775589924	8.51981971372517	37.88926568193989	7.871356311639295	1	03
2	34	24.0	cdf	inverse_cdf	36.233649078399715	8.267592193876576	20.411213186725444	10.439630710225368	1	03
2	35	23.0	cdf	inverse_cdf	22.747708006226556	0.6886942295224245	32.912703700276005	13.203021230667115	1	03
2	36	7.5	cdf	inverse_cdf	15.11448351384458	3.904896750742253	11.658658667637637	6.521635441791638	1	03
2	37	5.0	cdf	inverse_cdf	29.692112017288096	17.400148819011775	31.79346965809583	6.231999352979693	1	03
2	38	22.5	cdf	inverse_cdf	30.139593956421912	8.617303109214406	33.21895232437643	8.307657710301887	1	03
2	39	20.0	cdf	inverse_cdf	14.350993682225573	11.981902931120516	9.712318625095042	5.20223882688736	1	03
2	40	28.0	cdf	inverse_cdf	24.85030257459253	7.228078607599354	27.972984831864174	10.105295429439169	1	03
2	41	21.5	cdf	inverse_cdf	16.879181216099084	1.306219813623164	26.806456211980738	4.1940336241062965	1	03
2	42	11.5	cdf	inverse_cdf	10.715032089388831	2.820989210679483	25.169817441998553	16.195593988303084	1	03
2	43	36.5	cdf	inverse_cdf	30.45072277937449	12.944837557765885	23.04027370954129	8.748950254232003	1	03
2	44	41.5	cdf	inverse_cdf	41.90464856545749	5.403069976171199	30.234159473811417	6.508459295280367	1	03
2	45	3.0	cdf	inverse_cdf	35.55481822326655	7.790134134366602	24.1213630472436	7.677558049373384	1	03
2	46	16.0	cdf	inverse_cdf	18.234337478099945	2.267678458282809	24.978481311439975	6.7144809640277225	1	03
3	47	32.5	cdf	inverse_cdf	22.096496092500075	1.7710977128466776	6.828836221089459	6.680217072121804	1	03
3	48	41.0	cdf	inverse_cdf	22.11444717033115	0.3142914519818759	8.95096573714545	2.213792133045979	1	03
3	49	25.5	cdf	inverse_cdf	20.7220002493382	2.7262732766933535	10.953137865362798	9.018728444171057	1	03
3	50	21.0	cdf	inverse_cdf	26.75342863616871	11.475775546508109	17.1147499461254	5.562673141838331	1	03
3	51	28.0	cdf	inverse_cdf	17.775782650490054	12.670587259423948	26.44325913692258	9.521471796755511	1	03
3	52	3.0	cdf	inverse_cdf	29.338569104113027	9.990590642308176	18.898133022980545	6.928888595942909	1	03
3	53	4.0	cdf	inverse_cdf	11.471764501099782	11.324237509211942	13.44717492624	13.886316935746718	1	03
3	54	21.5	cdf	inverse_cdf	30.51708633996048	9.90328726130619	39.10845561385207	10.18665312840748	1	03
3	55	24.0	cdf	inverse_cdf	23.581841242821916	1.7909538743022806	36.29223679148397	12.872794218464476	1	03
3	56	11.5	cdf	inverse_cdf	28.894692692098015	8.235530032816184	40.60520127556558	10.605741849903646	1	03
3	57	41.5	cdf	inverse_cdf	40.716707145748174	10.751103145224194	34.80435522219372	7.653086438840252	1	03
3	58	5.0	cdf	inverse_cdf	6.842670995736963	7.56735929569392	10.834897748092573	2.039586513633643	1	03
3	59	22.0	cdf	inverse_cdf	21.893657801321993	0.0359485420867441	21.02330371909539	3.8588829540686382	1	03
3	60	16.0	cdf	inverse_cdf	16.230685508880367	0.3713882569263879	41.46203360006742	3.6245825878221503	1	03
3	61	20.0	cdf	inverse_cdf	26.64942554150659	8.11181139010655	37.50273692124182	6.518245114000907	1	03
3	62	39.0	cdf	inverse_cdf	27.780171710340028	7.842580757604806	30.50345210660987	13.110886581398956	1	03
3	63	40.0	cdf	inverse_cdf	36.95281729912655	12.74301325262589	32.82058799141963	9.160081101943932	1	03
3	64	22.5	cdf	inverse_cdf	22.22591574177143	0.2809754851129885	5.603452896118711	2.6565172230043808	1	03
3	65	36.5	cdf	inverse_cdf	31.516119676018302	13.885600122564234	27.78404983488721	7.927276371877992	1	03
