subject	cdf	inverse_cdf
3	0.2596376327823839	0.2698738630997398
4	0.12033359854236086	0.19698033486532063
5	0.08165253586428425	0.1719409175408141
6	0.11900019534397582	0.1552523809731633
7	0.09827797010914235	0.2663007764837575
8	0.23435575506182957	0.30833993080321065
9	0.16391460425833762	0.23580850762793956
10	0.1761291460048122	0.25506499033338176
11	0.09601856104898421	0.1883077068864992
12	0.08289015253201013	0.15347457121771144
13	0.06686078262200192	0.17299833226329359
14	0.07666216687829801	0.10578541187748751
15	0.10543182488865403	0.2311225290482469
16	0.25930508902707317	0.26296819381641495
17	0.197174308629568	0.3771262526551607
18	0.10078160460193919	0.1911524435791205
19	0.12182616530278528	0.15049716407381658
20	0.0970942250553265	0.11304439495246936
21	0.31936824431708	0.45699620062049623
22	0.3143544840416633	0.3175750402941595
23	0.2683427103918635	0.39181238709039135
24	0.12338952537150316	0.10429382124375262
25	0.2911956328554484	0.3464636470510148
26	0.2131227986319337	0.14939654547582182
27	0.0432207048801979	0.08774438596526327
28	0.1402264188426651	0.3067744062743346
