subject	quantity	roi	session	run	trial_nr	true	post_mean	post_map	post_sd	error
03	value	NPCr	1	1	1	22.5	25.3571148044601	22.397959	10.251008509495902	2.8571148044600996
03	value	NPCr	1	1	2	20.0	8.170933376869465	5.6836734	6.4754315080920914	-11.829066623130535
03	value	NPCr	1	1	3	18.5	34.25559883512008	34.336735	4.767588500641572	15.755598835120082
03	value	NPCr	1	1	4	11.5	31.261734833042567	30.357143	10.110492903608439	19.761734833042567
03	value	NPCr	1	1	5	40.0	8.004527460726765	8.071428	1.1899699085253947	-31.995472539273237
03	value	NPCr	1	1	6	7.5	13.938885803815667	7.2755103	11.891717868081935	6.438885803815667
03	value	NPCr	1	1	7	28.0	30.177051988763903	20.806122	7.167599786794895	2.1770519887639033
03	value	NPCr	1	1	8	39.0	22.231098025917504	22.397959	1.8043447887519697	-16.768901974082496
03	value	NPCr	1	1	9	21.5	34.36636012798964	36.72449	3.9900075940500117	12.866360127989637
03	value	NPCr	1	1	10	2.5	15.481690800743264	17.62245	4.4728009839519265	12.981690800743264
03	value	NPCr	1	1	11	16.0	18.941247333297216	17.62245	8.440780482213691	2.941247333297216
03	value	NPCr	1	1	12	36.5	22.394780373139806	22.397959	0.6970411941797645	-14.105219626860194
03	value	NPCr	1	1	13	4.0	7.663577267736015	7.2755103	0.821349123322113	3.6635772677360148
03	value	NPCr	1	1	14	3.0	33.73913320445217	41.5	6.230728287028358	30.739133204452173
03	value	NPCr	1	1	15	23.0	15.530774358083123	22.397959	6.245563178870796	-7.469225641916877
03	value	NPCr	1	1	16	32.5	33.378204990912934	38.316326	9.992231109344576	0.8782049909129341
03	value	NPCr	1	1	17	25.5	21.882655765044618	20.806122	5.952207557601128	-3.6173442349553824
03	value	NPCr	1	1	18	24.0	15.463126465488559	8.071428	10.648028459433863	-8.536873534511441
03	value	NPCr	1	1	19	22.0	21.412423659511433	21.602041	3.968871785041687	-0.5875763404885674
03	value	NPCr	1	1	20	21.0	36.982531094674314	41.5	7.311958346739782	15.982531094674314
03	value	NPCr	1	1	21	41.5	18.51861997930015	17.62245	3.1213660656648243	-22.98138002069985
03	value	NPCr	1	1	22	5.0	10.412453252576077	17.62245	5.128516538272769	5.412453252576077
03	value	NPCr	1	1	23	41.0	13.595903558512514	13.642858	6.873924592957205	-27.404096441487486
03	value	NPCr	1	2	24	4.0	3.1462038360449003	2.5	1.6817698572083435	-0.8537961639550997
03	value	NPCr	1	2	25	22.0	3.3992967122608677	2.5	3.4161169969021863	-18.600703287739133
03	value	NPCr	1	2	26	25.5	27.05051504327322	12.051021	10.445765733272998	1.5505150432732187
03	value	NPCr	1	2	27	39.0	15.536638216162215	12.051021	9.164541437714774	-23.463361783837783
03	value	NPCr	1	2	28	18.5	3.2239358215248477	2.5	1.9740385841317074	-15.276064178475153
03	value	NPCr	1	2	29	2.5	31.162179968498734	30.357143	5.665283852579539	28.662179968498734
03	value	NPCr	1	2	30	41.0	25.95802705629084	25.581633	3.4648669015477047	-15.041972943709158
03	value	NPCr	1	2	31	21.0	25.731042263436596	21.602041	7.770986008353393	4.731042263436596
03	value	NPCr	1	2	32	40.0	21.39910330726246	20.010204	11.891293198118971	-18.60089669273754
03	value	NPCr	1	2	33	32.5	33.1621915557014	39.112244	5.974870534714615	0.6621915557013978
03	value	NPCr	1	2	34	24.0	20.672592291357624	3.2959185	13.75751674935018	-3.327407708642376
03	value	NPCr	1	2	35	23.0	18.902408895562807	22.397959	7.622508896895904	-4.097591104437193
03	value	NPCr	1	2	36	7.5	11.508756212426531	5.6836734	7.472806065294167	4.0087562124265315
03	value	NPCr	1	2	37	5.0	33.08010229425003	35.132652	5.813961336261768	28.080102294250032
03	value	NPCr	1	2	38	22.5	33.66865941999885	34.336735	2.7361878628660965	11.168659419998853
03	value	NPCr	1	2	39	20.0	5.666262998592383	5.6836734	1.5781018842176386	-14.333737001407616
03	value	NPCr	1	2	40	28.0	19.358569909118295	13.642858	9.3443536457256	-8.641430090881705
03	value	NPCr	1	2	41	21.5	31.46193906054544	41.5	7.672160217815851	9.96193906054544
03	value	NPCr	1	2	42	11.5	8.87138533525584	8.071428	2.8254023904577776	-2.628614664744161
03	value	NPCr	1	2	43	36.5	24.359297111239655	27.969387	8.851641251437934	-12.140702888760345
03	value	NPCr	1	2	44	41.5	30.535562125179663	39.112244	11.043578637048718	-10.964437874820337
03	value	NPCr	1	2	45	3.0	21.91146960039326	20.010204	5.5733509248372926	18.91146960039326
03	value	NPCr	1	2	46	16.0	24.140243490812612	22.397959	5.5320698269336885	8.140243490812612
03	value	NPCr	1	3	47	32.5	18.881702003348487	22.397959	7.428818249486845	-13.618297996651513
03	value	NPCr	1	3	48	41.0	21.23229458975489	22.397959	6.167476659816827	-19.76770541024511
03	value	NPCr	1	3	49	25.5	25.12396303227621	16.030613	8.887545670470072	-0.37603696772378825
03	value	NPCr	1	3	50	21.0	27.96554931736346	27.969387	4.414093060650569	6.965549317363461
03	value	NPCr	1	3	51	28.0	21.85667677523565	21.602041	3.961340670850219	-6.143323224764352
03	value	NPCr	1	3	52	3.0	16.69643462310577	12.846939	6.174953224621833	13.69643462310577
03	value	NPCr	1	3	53	4.0	34.80165213690251	35.92857	5.736157227126995	30.80165213690251
