subject	roi	epoch	model	n	delta	frac
03	NPCr	Gabor	value	16230	-0.017033154144883156	0.1678373382624769
03	NPCr	Gabor	orientation	16230	-0.014872455038130283	0.17972889710412815
03	NPCr	Report	value	16230	-0.0103224957331054	0.262969808995687
03	NPCr	Report	orientation	16230	-0.008640198465619345	0.2684534812076402
03	V1	Gabor	value	1727	-0.010424165055155754	0.2912565141864505
03	V1	Gabor	orientation	1727	-0.0057337479665875435	0.35668789808917195
03	V1	Report	value	1727	0.0041280859263248875	0.5089751013317892
03	V1	Report	orientation	1727	0.005102391025324203	0.5292414591777649
04	NPCr	Gabor	value	12519	-0.0033348025754094124	0.3530633437175493
04	NPCr	Gabor	orientation	12519	-0.009118359535932541	0.3125649013499481
04	NPCr	Report	value	12519	-0.007146488660427238	0.3141624730409777
04	NPCr	Report	orientation	12519	-0.0066667675416742095	0.3420400990494448
04	V1	Gabor	value	1441	0.0012676574988290668	0.4253990284524636
04	V1	Gabor	orientation	1441	0.0007916691247373819	0.43303261623872313
04	V1	Report	value	1441	0.005617962491918482	0.4906315058986815
04	V1	Report	orientation	1441	0.0013003675681341493	0.45107564191533656
05	NPCr	Gabor	value	17818	-0.009895959869027138	0.30564597597934673
05	NPCr	Gabor	orientation	17818	-0.010399469174444675	0.2773038500392861
05	NPCr	Report	value	17818	-0.010376690852538105	0.26518127735997304
05	NPCr	Report	orientation	17818	-0.011053098053206895	0.2345381075317095
05	V1	Gabor	value	1995	-0.005959117319434881	0.3358395989974937
05	V1	Gabor	orientation	1995	2.894485305660055e-06	0.4080200501253133
05	V1	Report	value	1995	0.008333572288599692	0.5929824561403508
05	V1	Report	orientation	1995	0.0029465078526648325	0.47268170426065165
06	NPCr	Gabor	value	13270	-0.008195968344807625	0.3232102486812359
06	NPCr	Gabor	orientation	13270	-0.004666128661483526	0.392690278824416
06	NPCr	Report	value	13270	-0.008110758429046351	0.2700075357950264
06	NPCr	Report	orientation	13270	-0.007550722507896402	0.28281838733986436
06	V1	Gabor	value	1922	0.02582809329032898	0.609261186264308
06	V1	Gabor	orientation	1922	0.03194604068994522	0.631633714880333
06	V1	Report	value	1922	0.0032575946919332108	0.5468262226847035
06	V1	Report	orientation	1922	0.0034428324612648686	0.5660770031217481
07	NPCr	Gabor	value	13847	-0.01740051805973053	0.1745504441395248
07	NPCr	Gabor	orientation	13847	-0.013617892749607563	0.1929659854120026
07	NPCr	Report	value	13847	-0.01339213217500022	0.191304975807034
07	NPCr	Report	orientation	13847	-0.00994516949377117	0.2426518379432368
07	V1	Gabor	value	1901	-0.0025136717595160007	0.3840084166228301
07	V1	Gabor	orientation	1901	0.003290831111371517	0.4171488690163072
07	V1	Report	value	1901	0.004540402033931368	0.45870594423987376
07	V1	Report	orientation	1901	0.008990034951607311	0.5170962651236192
08	NPCr	Gabor	value	14620	-0.01657254993915558	0.17783857729138167
08	NPCr	Gabor	orientation	14620	-0.012566892430186272	0.23611491108071136
08	NPCr	Report	value	14620	-0.010796445429049322	0.26272229822161425
08	NPCr	Report	orientation	14620	-0.008824862248234066	0.2721614227086183
08	V1	Gabor	value	2077	-0.005962773226201534	0.35243139142994706
08	V1	Gabor	orientation	2077	-0.008125306107103825	0.2903225806451613
08	V1	Report	value	2077	0.002045690494575427	0.47664901299951856
08	V1	Report	orientation	2077	0.002919369745255197	0.4838709677419355
09	NPCr	Gabor	value	12809	-0.008641674183309078	0.3162620032789445
09	NPCr	Gabor	orientation	12809	-0.004029628820717335	0.39675228355062847
09	NPCr	Report	value	12809	-0.007265134900613239	0.32305410258412054
09	NPCr	Report	orientation	12809	-0.007067336762866662	0.3174330548832852
09	V1	Gabor	value	1765	0.005464981310069561	0.3801699716713881
09	V1	Gabor	orientation	1765	0.007968380115926266	0.426628895184136
09	V1	Report	value	1765	-0.00021666007158715198	0.48951841359773374
09	V1	Report	orientation	1765	0.001448253068424397	0.46572237960339946
10	NPCr	Gabor	value	15407	-0.01524739246815443	0.21172194457064972
10	NPCr	Gabor	orientation	15407	-0.01177719421684742	0.2593626273771662
10	NPCr	Report	value	15407	-0.002507336682516973	0.38923865775296945
10	NPCr	Report	orientation	15407	-0.0004336771752463495	0.42571558382553387
10	V1	Gabor	value	1468	-0.000687121762894094	0.4141689373297003
10	V1	Gabor	orientation	1468	0.004998090676963329	0.46662125340599453
10	V1	Report	value	1468	-0.003278241245093586	0.3821525885558583
10	V1	Report	orientation	1468	-0.0013210163446621627	0.4938692098092643
11	NPCr	Gabor	value	18612	-0.009841209277510643	0.3022781001504406
11	NPCr	Gabor	orientation	18612	-0.011205148883163929	0.2659037180313776
11	NPCr	Report	value	18612	-0.010135043623526045	0.27111540941328177
11	NPCr	Report	orientation	18612	-0.007984628558337847	0.2968514936600043
11	V1	Gabor	value	2177	-0.0025985855609178543	0.42076251722553976
11	V1	Gabor	orientation	2177	-0.0030279916245490313	0.3913642627468994
11	V1	Report	value	2177	0.011359425374400779	0.5925585668350941
11	V1	Report	orientation	2177	0.01502167165956118	0.6531924666972898
12	NPCr	Gabor	value	17427	-0.0037508856039494276	0.3906007918746772
12	NPCr	Gabor	orientation	17427	-0.00034054715069942176	0.450737361565387
12	NPCr	Report	value	17427	-0.007173782480871529	0.3130774086188099
12	NPCr	Report	orientation	17427	-0.0073243807680546825	0.3076260974350146
12	V1	Gabor	value	1842	0.0021559258457273245	0.3963083604777416
12	V1	Gabor	orientation	1842	0.00650212774053216	0.4386536373507057
12	V1	Report	value	1842	0.006793962981350168	0.5401737242128122
12	V1	Report	orientation	1842	0.006393865080529079	0.6167209554831705
13	NPCr	Gabor	value	19453	-5.9029756812378764e-05	0.4422968179715211
13	NPCr	Gabor	orientation	19453	0.008347859606146812	0.6121934920063743
13	NPCr	Report	value	19453	0.0022277219469822225	0.44296509535804246
13	NPCr	Report	orientation	19453	0.0028940914817086926	0.491646532668483
13	V1	Gabor	value	1876	-0.014769705012440681	0.2340085287846482
13	V1	Gabor	orientation	1876	-0.0003866710467264056	0.47174840085287845
13	V1	Report	value	1876	0.019245946798580882	0.6311300639658849
13	V1	Report	orientation	1876	0.01367902102532235	0.591684434968017
14	NPCr	Gabor	value	15263	-0.00828489288687706	0.327524077835288
14	NPCr	Gabor	orientation	15263	0.0024542866740375757	0.5059293716831553
14	NPCr	Report	value	15263	-0.009872133071028862	0.2528336500032759
14	NPCr	Report	orientation	15263	-0.00929314474974302	0.2473956627137522
14	V1	Gabor	value	1979	-0.011718152090907097	0.2885295603840323
14	V1	Gabor	orientation	1979	-0.008678384125232697	0.302678120262759
14	V1	Report	value	1979	0.004876689079460402	0.5866599292572006
14	V1	Report	orientation	1979	0.0022488925699685075	0.5740272865083376
15	NPCr	Gabor	value	15555	-0.011708821170032024	0.2732883317261331
15	NPCr	Gabor	orientation	15555	-0.011594301089644432	0.2504660880745741
15	NPCr	Report	value	15555	-0.00583875464683196	0.3676631308261009
15	NPCr	Report	orientation	15555	-0.005857382665808565	0.33712632594021213
15	V1	Gabor	value	2027	-0.012793597765266895	0.25160335471139617
15	V1	Gabor	orientation	2027	-0.009229399263858795	0.3004440059200789
15	V1	Report	value	2027	0.011468305981402652	0.5727676369018253
15	V1	Report	orientation	2027	0.006888162248426217	0.5298470646275284
16	NPCr	Gabor	value	9557	-0.01766188070178032	0.16187087998325833
16	NPCr	Gabor	orientation	9557	-0.013396074064075947	0.2100031390603746
16	NPCr	Report	value	9557	-0.006223818509525232	0.31129015381395836
16	NPCr	Report	orientation	9557	-0.004714097404689109	0.35377210421680444
16	V1	Gabor	value	1286	-0.00873689353466034	0.3164852255054432
16	V1	Gabor	orientation	1286	-0.009246268309652805	0.29704510108864696
16	V1	Report	value	1286	0.005462035900016398	0.5318818040435459
16	V1	Report	orientation	1286	0.007097965481613274	0.6337480559875583
17	NPCr	Gabor	value	15301	-0.016057681292295456	0.17881184236324424
