subject	roi	epoch	model	n	delta	frac
17	NPCr	Gabor	orientation	15301	-0.009035076014697552	0.2943598457617149
17	NPCr	Report	value	15301	-0.010336525798063663	0.2595908764133063
17	NPCr	Report	orientation	15301	-0.007182553703956723	0.30540487549833345
17	V1	Gabor	value	1638	-0.014234582893550396	0.2326007326007326
17	V1	Gabor	orientation	1638	-0.008114347234368324	0.31013431013431014
17	V1	Report	value	1638	-0.002328396123044486	0.43284493284493286
17	V1	Report	orientation	1638	0.002594341268788519	0.4652014652014652
18	NPCr	Gabor	value	16598	-0.004683107137680054	0.39498734787323775
18	NPCr	Gabor	orientation	16598	-0.0008773896261118352	0.44686106759850586
18	NPCr	Report	value	16598	-0.003200841460224351	0.38432341245933244
18	NPCr	Report	orientation	16598	-0.0030164203389298648	0.3706470659115556
18	V1	Gabor	value	1752	-0.002731973072513938	0.4046803652968037
18	V1	Gabor	orientation	1752	0.0021379422396421432	0.4526255707762557
18	V1	Report	value	1752	0.01357697594795346	0.6763698630136986
18	V1	Report	orientation	1752	0.01006581781805448	0.6147260273972602
19	NPCr	Gabor	value	17490	-0.01612512208521366	0.19176672384219554
19	NPCr	Gabor	orientation	17490	-0.013530956581234932	0.2158947970268725
19	NPCr	Report	value	17490	-0.012873657284429225	0.2076043453401944
19	NPCr	Report	orientation	17490	-0.010922886904712237	0.21189251000571754
19	V1	Gabor	value	2646	0.009941096417605877	0.5461073318216175
19	V1	Gabor	orientation	2646	0.0037179794162511826	0.5060468631897204
19	V1	Report	value	2646	0.0043960613191487185	0.45162509448223737
19	V1	Report	orientation	2646	0.0012920505179803926	0.382464096749811
20	NPCr	Gabor	value	10164	-0.014851845800876617	0.22323888232979142
20	NPCr	Gabor	orientation	10164	-0.010244556702673435	0.2825659189295553
20	NPCr	Report	value	10164	-0.0022629626862532165	0.4590712317985045
20	NPCr	Report	orientation	10164	0.0002500479092136268	0.5028532073986619
20	V1	Gabor	value	1899	-0.02344151772558689	0.1874670879410216
20	V1	Gabor	orientation	1899	-0.016276445239782333	0.2132701421800948
20	V1	Report	value	1899	-0.007840809457053927	0.3607161664033702
20	V1	Report	orientation	1899	-0.005920126820415488	0.37598736176935227
21	NPCr	Gabor	value	17611	-0.017611218616366386	0.18868888762705127
21	NPCr	Gabor	orientation	17611	-0.013301098719239235	0.21662597240361137
21	NPCr	Report	value	17611	-0.011046503557761848	0.2521719379932996
21	NPCr	Report	orientation	17611	-0.008297516308746916	0.27267049003463745
21	V1	Gabor	value	1514	-0.014541287906467915	0.25429326287978865
21	V1	Gabor	orientation	1514	-0.00790447648614645	0.3137384412153236
21	V1	Report	value	1514	0.01072030867684842	0.5931307793923382
21	V1	Report	orientation	1514	0.011071632321639959	0.5462351387054161
22	NPCr	Gabor	value	14858	-0.046143487095832825	0.20083456723650558
22	NPCr	Gabor	orientation	14858	-0.013050077483057976	0.22620810337865124
22	NPCr	Report	value	14858	-0.010259931066692003	0.2849643289810203
22	NPCr	Report	orientation	14858	-0.009031907859482382	0.269417149010634
22	V1	Gabor	value	1868	-0.08665232360363007	0.15471092077087795
22	V1	Gabor	orientation	1868	-0.009075420908629894	0.2756959314775161
22	V1	Report	value	1868	-0.000909651830489058	0.37633832976445397
22	V1	Report	orientation	1868	-0.0013459352042119468	0.35278372591006424
23	NPCr	Gabor	value	14808	-0.01802411675453186	0.1640329551593733
23	NPCr	Gabor	orientation	14808	-0.0140421437099576	0.20279578606158832
23	NPCr	Report	value	14808	-0.009340863602667818	0.2970016207455429
23	NPCr	Report	orientation	14808	-0.007781488585474057	0.28903295515937333
23	V1	Gabor	value	1430	-0.024551652371883392	0.06503496503496503
23	V1	Gabor	orientation	1430	-0.017990728840231895	0.10139860139860139
23	V1	Report	value	1430	-0.012816469099072332	0.25034965034965034
23	V1	Report	orientation	1430	-0.01292478461920288	0.17482517482517482
24	NPCr	Gabor	value	12438	-0.013205356895923615	0.2506029908345393
24	NPCr	Gabor	orientation	12438	-0.007345662917941809	0.3297153883260974
24	NPCr	Report	value	12438	-0.00787658112886497	0.31982633863965265
24	NPCr	Report	orientation	12438	-0.006676261339728049	0.30744492683711205
24	V1	Gabor	value	1741	0.009050974622368813	0.514646754738656
24	V1	Gabor	orientation	1741	0.015682265162467957	0.5973578403216542
24	V1	Report	value	1741	0.008044126008016876	0.5703618609994257
24	V1	Report	orientation	1741	0.003447422194214778	0.48822515795519816
25	NPCr	Gabor	value	13210	-0.015231556259095669	0.19409538228614687
25	NPCr	Gabor	orientation	13210	-0.012564497999846935	0.23353520060560182
25	NPCr	Report	value	13210	-0.007421468151167597	0.30015140045420136
25	NPCr	Report	orientation	13210	-0.00886785367483274	0.2841029523088569
25	V1	Gabor	value	1314	-0.005798689089715481	0.3424657534246575
25	V1	Gabor	orientation	1314	0.001163749024271965	0.4315068493150685
25	V1	Report	value	1314	0.0033492168290914473	0.4786910197869102
25	V1	Report	orientation	1314	0.009258317822059665	0.6575342465753424
26	NPCr	Gabor	orientation	13125	-0.015003448352217674	0.20533333333333334
26	NPCr	Report	value	13125	-0.013075543213670984	0.20822857142857143
26	NPCr	Report	orientation	13125	-0.011448189541277116	0.22895238095238096
26	V1	Gabor	orientation	1482	-0.01859724149107933	0.12280701754385964
26	V1	Report	value	1482	-0.011023110113648217	0.2253711201079622
26	V1	Report	orientation	1482	-0.00747957508193651	0.349527665317139
27	NPCr	Gabor	orientation	17185	-0.0020756879821419716	0.44108233924934537
27	NPCr	Report	value	17185	-0.0036488298901715993	0.3191736979924353
27	NPCr	Report	orientation	17185	-0.0019067548701053236	0.35094559208612164
27	V1	Gabor	orientation	2078	-0.0040893591940402985	0.3864292589027912
27	V1	Report	value	2078	0.022085724664979933	0.568334937439846
27	V1	Report	orientation	2078	0.015138833295403428	0.5620789220404235
28	NPCr	Gabor	orientation	15147	-0.011316392570734024	0.2422922030765168
28	NPCr	Report	value	15147	-0.008165832941970569	0.3071235228097973
28	NPCr	Report	orientation	15147	-0.008849847817466169	0.2695583283818578
28	V1	Gabor	orientation	2710	-0.017389759421348572	0.12435424354243542
28	V1	Report	value	2710	-0.009160240826058234	0.23394833948339483
28	V1	Report	orientation	2710	-0.007637134567856883	0.28892988929889296
29	NPCr	Gabor	orientation	17654	-0.00045677131856791675	0.466636456327178
29	NPCr	Report	value	17654	-0.010833123855373378	0.25909142403987767
29	NPCr	Report	orientation	17654	-0.00724091520048871	0.31885125184094254
29	V1	Gabor	orientation	2290	-0.002103785052895546	0.40655021834061134
29	V1	Report	value	2290	-0.0027333061129216608	0.3296943231441048
29	V1	Report	orientation	2290	-0.0035934800173485835	0.30087336244541485
30	NPCr	Report	value	14023	-0.000593310796027292	0.477857805034586
30	NPCr	Report	orientation	14023	-0.0006924692259242741	0.4717963345931684
30	V1	Report	value	1516	0.01742966246555197	0.7546174142480211
30	V1	Report	orientation	1516	0.014911433777400623	0.7282321899736148
pil01	NPCr	Gabor	value	15563	0.007989506237208843	0.5256056030328343
pil01	NPCr	Gabor	orientation	15563	0.012580095790326595	0.5874831330720298
pil01	NPCr	Report	value	15563	-0.004036155719590926	0.3413866221165585
pil01	NPCr	Report	orientation	15563	-0.0028755083384065594	0.35275975069074084
pil01	V1	Gabor	value	1766	0.009664839133620262	0.5067950169875425
pil01	V1	Gabor	orientation	1766	0.0070929802022874355	0.48584371460928655
pil01	V1	Report	value	1766	0.02957465992592828	0.7423556058890147
pil01	V1	Report	orientation	1766	0.02891314951960334	0.7616081540203851
pil02	NPCr	Gabor	value	14180	-0.011092094704508781	0.27566995768688296
pil02	NPCr	Gabor	orientation	14180	-0.010026027448475361	0.278984485190409
pil02	NPCr	Report	value	14180	-0.00810096053215743	0.27863187588152327
pil02	NPCr	Report	orientation	14180	-0.0038463262659443396	0.3354724964739069
pil02	V1	Gabor	value	1466	0.009974558837711811	0.5743519781718963
pil02	V1	Gabor	orientation	1466	0.008873040787875652	0.5463847203274216
pil02	V1	Report	value	1466	0.020823746410752002	0.669849931787176
pil02	V1	Report	orientation	1466	0.02203953452383721	0.6623465211459755
