subject	model	roi	session	run	trial_nr	true	post_mean	post_sd	error
03	weighted	NPCr	1	1	1	22.5	31.017033305172678	11.845717912468587	8.517033305172678
03	weighted	NPCr	1	1	2	20.0	8.45427134260346	1.9011423582360782	-11.54572865739654
03	weighted	NPCr	1	1	3	18.5	35.80229841940848	2.99170520371252	17.30229841940848
03	weighted	NPCr	1	1	4	11.5	34.99968987202611	2.3199598226773905	23.49968987202611
03	weighted	NPCr	1	1	5	40.0	8.173046756329734	2.434864737936509	-31.826953243670268
03	weighted	NPCr	1	1	6	7.5	7.2829698768634685	4.425124677686769	-0.21703012313653147
03	weighted	NPCr	1	1	7	28.0	30.912998160369742	8.614168632905189	2.9129981603697424
03	weighted	NPCr	1	1	8	39.0	20.975701458472603	2.407328265625615	-18.024298541527397
03	weighted	NPCr	1	1	9	21.5	32.11633517540398	3.2500447083060386	10.616335175403982
03	weighted	NPCr	1	1	10	2.5	12.604094323872529	8.5568277970001	10.104094323872529
03	weighted	NPCr	1	1	11	16.0	9.909290301713868	6.7329231598723736	-6.0907096982861315
03	weighted	NPCr	1	1	12	36.5	14.362594033621846	8.41746761530133	-22.137405966378154
03	weighted	NPCr	1	1	13	4.0	6.820681056185972	2.0242862809584095	2.820681056185972
03	weighted	NPCr	1	1	14	3.0	35.959386573623405	3.6642086869894093	32.959386573623405
03	weighted	NPCr	1	1	15	23.0	17.564115164131945	5.6945647196995015	-5.435884835868055
03	weighted	NPCr	1	1	16	32.5	36.997629591388595	1.9316238534324919	4.497629591388595
03	weighted	NPCr	1	1	17	25.5	23.989303157141897	4.060591610583169	-1.5106968428581027
03	weighted	NPCr	1	1	18	24.0	39.11183521939208	3.477573330000269	15.111835219392077
03	weighted	NPCr	1	1	19	22.0	6.525206558138262	5.556920417100911	-15.474793441861738
03	weighted	NPCr	1	1	20	21.0	32.56215935018044	2.668006967573405	11.562159350180437
03	weighted	NPCr	1	1	21	41.5	19.60790727262804	2.197336939077559	-21.89209272737196
03	weighted	NPCr	1	1	22	5.0	10.148608370465567	2.451066109494794	5.148608370465567
03	weighted	NPCr	1	1	23	41.0	27.20289513075691	7.390566500922498	-13.797104869243089
03	weighted	NPCr	1	2	24	4.0	8.51865721291799	2.7216994941356063	4.51865721291799
03	weighted	NPCr	1	2	25	22.0	7.816507628811477	3.3716435934121045	-14.183492371188523
03	weighted	NPCr	1	2	26	25.5	33.584834005320246	4.678362511800816	8.084834005320246
03	weighted	NPCr	1	2	27	39.0	30.239808154395117	2.1774526668417953	-8.760191845604883
03	weighted	NPCr	1	2	28	18.5	6.813214818224793	4.6288119168878294	-11.686785181775207
03	weighted	NPCr	1	2	29	2.5	28.076545709308384	3.993995579561218	25.576545709308384
03	weighted	NPCr	1	2	30	41.0	24.234555752423027	7.12945836243389	-16.765444247576973
03	weighted	NPCr	1	2	31	21.0	36.22517330436084	4.666448326576676	15.225173304360837
03	weighted	NPCr	1	2	32	40.0	32.832380346668806	2.3190071455413235	-7.167619653331194
03	weighted	NPCr	1	2	33	32.5	27.612157914510096	2.7446877138409684	-4.887842085489904
03	weighted	NPCr	1	2	34	24.0	6.856674774843877	8.000909500021212	-17.143325225156122
03	weighted	NPCr	1	2	35	23.0	20.388490099011477	4.423349407327397	-2.6115099009885228
03	weighted	NPCr	1	2	36	7.5	9.333504122219717	2.4434543480700417	1.8335041222197166
03	weighted	NPCr	1	2	37	5.0	32.37775572468109	3.0650760034500344	27.377755724681087
03	weighted	NPCr	1	2	38	22.5	30.530212996778676	7.9679178999673	8.030212996778676
