subject	session	value	sd_E	mean_E
20	1	5.5	6.317753052465499	10.97270711183548
20	1	8.0	4.66430401298137	10.484241415500641
20	1	10.0	4.9115186322142	12.725179772377015
20	1	11.0	5.334747263073349	14.411246366977691
20	1	11.5	5.558253927260546	15.981543522834778
20	1	12.0	4.594807674571991	15.33011286830902
20	1	12.5	4.1552425780260105	15.338989934921266
20	1	13.0	3.078653576940174	14.681033819198609
20	1	14.0	2.494612845899199	14.828766310214997
20	1	16.0	3.1019118968650994	17.151118683338165
20	1	18.5	3.087012855923142	19.663365049362184
20	1	22.0	3.8216913517282323	23.076129368782045
20	1	25.5	1.6409150287469232	25.661573971748354
20	1	28.0	2.1294711311027994	27.746352502822877
20	1	30.0	4.1498478003156345	28.67539424419403
20	1	31.0	4.377469914265376	28.944455253124236
20	1	31.5	4.950715997424466	28.982825455665587
20	1	32.0	4.994260223298264	29.196227728366853
20	1	32.5	5.303017440804961	29.17012094974518
20	1	33.0	5.718219406962553	29.225220947265626
20	1	34.0	5.170365564526491	29.780151792526244
20	1	36.0	4.84536237167573	31.68155771636963
20	1	38.5	5.319317770645254	30.302243923187255
20	2	2.5	7.559859936384044	8.069552478313446
20	2	3.0	7.303091009145615	8.664426706075668
20	2	4.0	6.5318530495781735	9.032181188344955
20	2	5.0	6.136066011981033	9.8270724234581
20	2	7.5	5.707912818222056	12.393256400108337
20	2	11.5	3.18483055456559	12.921582817792892
20	2	16.0	3.3616020796027484	17.389872994422912
20	2	18.5	3.6697192258917575	19.0729775018692
20	2	20.0	4.919240372356831	20.460179701805114
20	2	21.0	5.482092283192223	21.71911968278885
20	2	21.5	4.729204755536452	21.8927444190979
20	2	22.0	2.293998333349345	22.074440032958986
20	2	22.5	4.990569297378096	22.457407725811006
20	2	23.0	4.937174395410101	23.284409522533416
20	2	24.0	5.368750267282213	24.2679130191803
20	2	25.5	5.214324320779296	25.046673933029176
20	2	28.0	4.481013961785315	26.35523744869232
20	2	32.5	4.640107073278559	30.232218344688416
20	2	36.5	2.596494991061808	35.84702558422089
20	2	39.0	6.375638219546238	31.960946502685548
20	2	40.0	6.478384867167916	31.94581573224068
20	2	41.0	6.602317802734644	30.84847366142273
20	2	41.5	6.497083438481042	30.59178461241722
3	1	2.5	7.209412243359074	7.187279776334763
3	1	3.0	8.593271061852477	14.076175933599473
3	1	4.0	6.920298883093703	10.970601400136948
3	1	5.0	6.571363586949981	11.011761960268021
3	1	7.5	6.126299084868811	12.874809321641923
3	1	11.5	4.476263640939185	13.675619218349457
3	1	16.0	1.2386085394177107	16.218182432174682
3	1	18.5	4.1676019017260115	19.979335228919982
3	1	20.0	4.735132565934822	21.800325753211975
3	1	21.0	4.534879286193899	22.563509201526642
3	1	21.5	4.25228370306949	22.767491009235382
3	1	22.0	1.4982060768399248	22.240086493492125
3	1	22.5	2.4726673640073393	22.954585354328156
3	1	23.0	3.7457855651559835	23.78553922653198
3	1	24.0	4.054865092767764	24.57393388223648
3	1	25.5	4.961797200873097	25.884797217845918
3	1	28.0	5.3358641766146935	27.152879733085634
3	1	32.5	5.249017945527472	28.89201863193512
3	1	36.5	5.619788724777476	30.069601177215578
3	1	39.0	5.9279813200003835	31.89018162345886
3	1	40.0	6.154427219596241	33.371454324245455
3	1	41.0	5.618727738343081	36.8254698164463
3	1	41.5	6.614005941966633	31.983832041740417
3	2	5.5	4.056383234772361	7.483280210971833
3	2	8.0	5.308270199658003	12.277529839992523
3	2	10.0	5.578637888129193	14.623901115894318
3	2	11.0	5.1871461661987865	15.13040519475937
3	2	11.5	4.956157106356213	15.308728590488434
3	2	12.0	5.495612452589357	17.017025045871733
3	2	12.5	5.307899805566393	17.60590787410736
3	2	13.0	5.079943544701193	18.03365452861786
3	2	14.0	3.649970063025525	16.10152664756775
3	2	16.0	4.190540768278295	18.679221043109894
3	2	18.5	4.392851829542402	20.86722775506973
3	2	22.0	2.5902842603210505	22.4375845413208
3	2	25.5	3.0030090365639617	25.352930819511414
3	2	28.0	3.767828328768157	26.67261300802231
3	2	30.0	4.321509515762632	27.170722398757935
3	2	31.0	5.081468341063888	26.670868220329286
3	2	31.5	5.121403577443515	27.259249985218048
3	2	32.0	4.934036428599873	27.414007259368898
3	2	32.5	5.193299376160546	27.755131710529326
3	2	33.0	5.429650120423435	27.731897023677824
3	2	34.0	5.315970801515091	28.72499033164978
3	2	36.0	5.044813077554698	30.94081268310547
3	2	38.5	5.470158981269457	31.645804384231567
27	1	2.5	6.191143893015549	12.161390824317932
27	1	3.0	5.73303687147371	11.387980971336365
27	1	4.0	5.268963365141451	11.134146493434907
27	1	5.0	4.828119169026906	11.008916145324706
27	1	7.5	4.144479242719679	11.418341697216034
27	1	11.5	4.420575877252607	13.527642666339874
27	1	16.0	5.687065555437663	16.840805133342744
27	1	18.5	5.912210410126906	19.009844065666197
27	1	20.0	6.005944564911868	20.568616765499115
27	1	21.0	6.283089190258574	21.197613807678223
27	1	21.5	6.143481353387573	21.866584300518035
27	1	22.0	5.964383978908219	21.98641324329376
27	1	22.5	6.1966987745334015	22.65629869556427
27	1	23.0	6.222025835892892	22.658656196117402
27	1	24.0	6.347224193617878	23.816168085098266
27	1	25.5	4.644405781987825	25.649166761398316
27	1	28.0	3.4795396886123346	27.065310451030733
27	1	32.5	5.4888800326032054	30.039549538612366
27	1	36.5	4.539272175196415	33.10371801948548
27	1	39.0	5.009810589440443	32.69971312236786
27	1	40.0	5.67987920618039	31.47007690858841
27	1	41.0	5.458517790733624	31.074918766021728
27	1	41.5	5.522802716976272	30.810120110034944
27	2	5.5	4.908653525061078	15.21800515460968
27	2	8.0	5.0075646327280925	16.15540132522583
27	2	10.0	4.884031065035193	16.969550807476043
27	2	11.0	4.973595293761419	17.273074872970582
27	2	11.5	4.662047278932106	17.25815281867981
27	2	12.0	4.701125616742669	17.486504786491395
27	2	12.5	4.5414049616758145	17.884621683597565
27	2	13.0	4.490258700424802	18.021830614089964
27	2	14.0	4.247934234538681	18.306108987808226
27	2	16.0	3.7782768628098604	18.528375728607177
27	2	18.5	4.132717770374037	19.40484990501404
27	2	22.0	4.5010541647146125	20.83857897567749
27	2	25.5	4.7695857935063986	21.756792583465575
27	2	28.0	4.803067778879562	24.147430415153504
27	2	30.0	4.519214907671074	26.313440740585328
27	2	31.0	4.79048581951247	26.470432565689087
27	2	31.5	4.947871703859851	26.85715438747406
27	2	32.0	5.090670063646246	27.31112141227722
27	2	32.5	5.264464442558887	27.65778629589081
27	2	33.0	5.234025403279925	28.11519656276703
27	2	34.0	5.151807332319245	29.28924616241455
27	2	36.0	5.17206055484209	29.73813824748993
27	2	38.5	5.046742375314042	31.422145256996156
23	1	2.5	10.14579332564163	13.225020340919494
23	1	3.0	6.671405508631071	6.713736255168914
23	1	4.0	7.124896072489385	8.823307267427445
23	1	5.0	5.501284306101614	8.042350397348404
23	1	7.5	5.8233812453234615	12.367047021627426
23	1	11.5	4.352690970418432	13.966248722553253
23	1	16.0	4.730822754973324	18.334335362434388
23	1	18.5	4.896698327567118	20.609284472942353
23	1	20.0	4.953942509048843	21.280793088674546
23	1	21.0	5.128833033764779	22.191686114311217
23	1	21.5	3.6636136834269	22.561033457756043
23	1	22.0	4.156428389644042	22.76413889694214
23	1	22.5	5.1084342011196755	23.62355677652359
23	1	23.0	5.257248637461249	24.037969662189482
23	1	24.0	3.900689898583277	24.604582925319672
23	1	25.5	0.9834125964951796	25.493871024131774
23	1	28.0	3.3702229627851543	27.749354589939117
23	1	32.5	5.17095641265727	30.201106269359588
