value	mean_E	var_E	mean_error	mean_abs_error	n_sims	subject	session	condition	sd_E	variant
33.0	32.12196411705017	11.145850549532415	-0.8780358829498291	1.6962188129425049	1000	03	2	cdf	3.338540182404941	unsmoothed
34.0	33.25401181793213	7.974712160877441	-0.7459881820678711	1.3628903579711915	1000	03	2	cdf	2.823953285887966	unsmoothed
36.0	35.242404247283936	4.817979372302211	-0.7575957527160645	0.8381317176818848	1000	03	2	cdf	2.1949896064223653	unsmoothed
38.5	36.54083204364777	11.363176147092258	-1.959167956352234	1.959167956352234	1000	03	2	cdf	3.370931050480306	unsmoothed
5.5	5.668725074291229	0.2249405229204337	0.1687250742912292	0.1687250742912292	1000	04	1	cdf	0.47427895053484476	unsmoothed
8.0	8.267146758556366	1.6117649837423254	0.267146758556366	0.4037302842140198	1000	04	1	cdf	1.269553064563402	unsmoothed
10.0	10.545651442050934	2.11657579562581	0.5456514420509339	0.7504918665885926	1000	04	1	cdf	1.4548456260462175	unsmoothed
11.0	11.143425223350524	1.7909625579242	0.1434252233505249	0.7563012323379517	1000	04	1	cdf	1.3382684924648716	unsmoothed
11.5	11.749856715202332	2.7430842597605363	0.2498567152023315	0.9329599771499634	1000	04	1	cdf	1.6562259084317381	unsmoothed
12.0	12.265493987083437	2.323536782461916	0.2654939870834351	0.8127032613754273	1000	04	1	cdf	1.5243151847508165	unsmoothed
12.5	12.96413913822174	4.13020102024606	0.4641391382217407	1.231569495201111	1000	04	1	cdf	2.0322896004866187	unsmoothed
13.0	13.578936415672302	5.130900592230991	0.5789364156723023	1.2912124490737915	1000	04	1	cdf	2.2651491324482347	unsmoothed
14.0	14.820394661903382	7.19500387350803	0.8203946619033814	1.546882683753967	1000	04	1	cdf	2.6823504382365906	unsmoothed
16.0	16.625934265136717	5.537195154474055	0.6259342651367188	1.2497837142944337	1000	04	1	cdf	2.3531245514154273	unsmoothed
18.5	18.564879848480224	0.6426918862135138	0.0648798484802246	0.2502574844360352	1000	04	1	cdf	0.8016806634898423	unsmoothed
22.0	22.32987574672699	5.917737253211827	0.3298757467269897	1.3411765451431277	1000	04	1	cdf	2.4326399760778057	unsmoothed
25.5	25.3384791765213	6.739547492746963	-0.1615208234786987	1.529996684074402	1000	04	1	cdf	2.596063846045964	unsmoothed
28.0	27.93919562625885	1.2714543858964678	-0.0608043737411499	0.4092067174911499	1000	04	1	cdf	1.1275878617191957	unsmoothed
30.0	30.068903718948363	0.6152655110813255	0.0689037189483642	0.3467332744598388	1000	04	1	cdf	0.7843886224833488	unsmoothed
31.0	30.69594905281067	1.4733990156542518	-0.304050947189331	0.5630411128997803	1000	04	1	cdf	1.2138364863746072	unsmoothed
31.5	31.43735031890869	4.802454732491679	-0.0626496810913086	1.3038387336730957	1000	04	1	cdf	2.1914503718979534	unsmoothed
32.0	31.95059685516357	3.82341599955562	-0.0494031448364257	1.034296760559082	1000	04	1	cdf	1.9553557219993551	unsmoothed
32.5	32.34980668449402	2.9973155843905586	-0.1501933155059814	0.9765574436187744	1000	04	1	cdf	1.7312757101023968	unsmoothed
33.0	32.841482662200924	2.4695346937856675	-0.1585173377990722	0.7195919761657715	1000	04	1	cdf	1.5714753239506076	unsmoothed
34.0	33.536969405174254	5.845839628075384	-0.4630305948257446	1.3705906610488892	1000	04	1	cdf	2.4178171204777636	unsmoothed
36.0	35.21288390922546	6.528281280314072	-0.7871160907745361	1.2278149280548096	1000	04	1	cdf	2.555050152211121	unsmoothed
38.5	36.59958160400391	5.03538433265338	-1.9004183959960936	1.9004183959960936	1000	04	1	cdf	2.2439662057734693	unsmoothed
2.5	2.902631607055664	0.5161127440387354	0.4026316070556641	0.4026316070556641	1000	04	2	inverse_cdf	0.7184098718967713	unsmoothed
3.0	3.352633020401001	1.9112836272557228	0.352633020401001	0.4557528934478759	1000	04	2	inverse_cdf	1.3824918181514576	unsmoothed
4.0	4.396439692020416	0.8905093160000803	0.3964396920204162	0.4603394713401794	1000	04	2	inverse_cdf	0.9436680115379986	unsmoothed
5.0	5.139442354202271	0.8414655334827507	0.1394423542022705	0.5531183280944825	1000	04	2	inverse_cdf	0.9173143046321423	unsmoothed
