subject	quantity	roi	session	run	trial_nr	true	post_mean	post_map	post_sd	error
03	value	NPCr	1	1	1	22.5	30.229983165739647	38.316326	10.100184396683424	7.729983165739647
03	value	NPCr	1	1	2	20.0	10.568196299752731	6.479592	7.966756316012128	-9.431803700247269
03	value	NPCr	1	1	3	18.5	31.365101172472507	41.5	8.384198172080684	12.865101172472507
03	value	NPCr	1	1	4	11.5	17.104812400294897	2.5	11.924556693462184	5.604812400294897
03	value	NPCr	1	1	5	40.0	11.058511392372756	6.479592	7.116948782143929	-28.941488607627242
03	value	NPCr	1	1	6	7.5	11.73338960250641	4.887755	9.844561585302257	4.23338960250641
03	value	NPCr	1	1	7	28.0	29.772964213912235	41.5	8.549376209646157	1.7729642139122355
03	value	NPCr	1	1	8	39.0	14.068624591571584	2.5	9.869955630937682	-24.931375408428416
03	value	NPCr	1	1	9	21.5	26.828185796775948	28.765306	9.246670186090263	5.328185796775948
03	value	NPCr	1	1	10	2.5	9.654982760926321	2.5	7.290420687071722	7.1549827609263215
03	value	NPCr	1	1	11	16.0	27.450899256591804	38.316326	12.452477151134921	11.450899256591804
03	value	NPCr	1	1	12	36.5	17.64187374652562	2.5	9.150680638745872	-18.85812625347438
03	value	NPCr	1	1	13	4.0	17.169191572505643	7.2755103	12.950214693769544	13.169191572505643
03	value	NPCr	1	1	14	3.0	28.498788862805792	24.785715	6.929879247635113	25.498788862805792
03	value	NPCr	1	1	15	23.0	14.983911715034823	18.418367	7.67848453632409	-8.016088284965177
03	value	NPCr	1	1	16	32.5	22.718935580769177	38.316326	12.213009874586103	-9.781064419230823
03	value	NPCr	1	1	17	25.5	21.043289659450405	18.418367	6.959205866098543	-4.456710340549595
03	value	NPCr	1	1	18	24.0	25.54532175814438	38.316326	11.141050052526206	1.5453217581443788
03	value	NPCr	1	1	19	22.0	18.67938153946112	22.397959	9.553642359013883	-3.3206184605388813
03	value	NPCr	1	1	20	21.0	27.50446182914791	41.5	11.172484329411308	6.50446182914791
03	value	NPCr	1	1	21	41.5	19.730020708226977	22.397959	7.5147289087037175	-21.769979291773023
03	value	NPCr	1	1	22	5.0	13.892857193279626	18.418367	8.220665460295761	8.892857193279626
03	value	NPCr	1	1	23	41.0	20.439897147498108	22.397959	10.478691185098008	-20.560102852501892
03	value	NPCr	1	2	24	4.0	6.802535966014148	2.5	8.868694194415129	2.8025359660141476
03	value	NPCr	1	2	25	22.0	8.655442887266247	2.5	10.55637738221238	-13.344557112733753
03	value	NPCr	1	2	26	25.5	27.45905577050931	17.62245	9.021890531586129	1.959055770509309
03	value	NPCr	1	2	27	39.0	24.119146006832093	38.316326	11.178384044728295	-14.880853993167907
03	value	NPCr	1	2	28	18.5	10.214301080735712	2.5	9.218107292159104	-8.285698919264288
03	value	NPCr	1	2	29	2.5	22.87930866835533	35.132652	10.3979824886004	20.37930866835533
03	value	NPCr	1	2	30	41.0	29.207966453438168	39.908165	7.699488680000833	-11.792033546561832
03	value	NPCr	1	2	31	21.0	23.441783789851346	24.785715	8.6199594942821	2.441783789851346
03	value	NPCr	1	2	32	40.0	27.967168488049666	37.52041	9.557757239497432	-12.032831511950334
03	value	NPCr	1	2	33	32.5	22.761366321702525	17.62245	8.087487890244923	-9.738633678297475
03	value	NPCr	1	2	34	24.0	20.235953969977952	3.2959185	10.347447490282004	-3.7640460300220475
03	value	NPCr	1	2	35	23.0	23.516722215151844	41.5	11.231479072570483	0.5167222151518445
03	value	NPCr	1	2	36	7.5	11.29517397137987	5.6836734	8.061780158321689	3.795173971379869
03	value	NPCr	1	2	37	5.0	24.234849379132697	17.62245	8.87835280161112	19.234849379132697
03	value	NPCr	1	2	38	22.5	30.73853089824018	36.72449	6.802993457732987	8.238530898240182
03	value	NPCr	1	2	39	20.0	3.8950310495298535	2.5	5.449029354002443	-16.104968950470145
03	value	NPCr	1	2	40	28.0	32.9356878306424	39.908165	7.8804447338125065	4.935687830642401
03	value	NPCr	1	2	41	21.5	26.79135779150761	25.581633	7.186245161173601	5.291357791507611
03	value	NPCr	1	2	42	11.5	9.563446053632648	4.887755	6.576013715653689	-1.9365539463673525
03	value	NPCr	1	2	43	36.5	15.905825649864722	8.867347	9.584530796873006	-20.594174350135276
03	value	NPCr	1	2	44	41.5	12.28716969469019	3.2959185	10.522348486052866	-29.212830305309808
03	value	NPCr	1	2	45	3.0	32.831948377163215	41.5	8.404449844763667	29.831948377163215
03	value	NPCr	1	2	46	16.0	31.445578052369886	41.5	8.548238182610268	15.445578052369886
03	value	NPCr	1	3	47	32.5	18.314270989713883	22.397959	10.202163645142452	-14.185729010286117
03	value	NPCr	1	3	48	41.0	25.050853245992915	22.397959	6.616527779122124	-15.949146754007085
03	value	NPCr	1	3	49	25.5	19.361038593934744	16.030613	6.736371833998512	-6.138961406065256
03	value	NPCr	1	3	50	21.0	21.630954537806662	13.642858	9.81495679692345	0.6309545378066623
03	value	NPCr	1	3	51	28.0	25.85622389854983	23.193878	9.090573075158591	-2.1437761014501717
03	value	NPCr	1	3	52	3.0	20.555340839199232	38.316326	11.419733496580253	17.555340839199232
03	value	NPCr	1	3	53	4.0	16.271163999624765	2.5	13.459048466363305	12.271163999624765
03	value	NPCr	1	3	54	21.5	26.904426873107358	22.397959	7.475343747670356	5.404426873107358
03	value	NPCr	1	3	55	24.0	22.790483241598356	2.5	12.315169644179116	-1.2095167584016444
03	value	NPCr	1	3	56	11.5	15.35182969727759	10.459184	9.779139279692837	3.8518296972775907
03	value	NPCr	1	3	57	41.5	15.709478110197198	11.255102	10.983213559925524	-25.790521889802804
03	value	NPCr	1	3	58	5.0	18.8919086771917	10.459184	11.09238503001848	13.8919086771917
03	value	NPCr	1	3	59	22.0	18.20367679867595	17.62245	10.462896071760087	-3.79632320132405
03	value	NPCr	1	3	60	16.0	27.29406883544955	27.969387	7.735925924758889	11.29406883544955
03	value	NPCr	1	3	61	20.0	29.1635162816108	16.030613	7.853202886401618	9.1635162816108
03	value	NPCr	1	3	62	39.0	23.925825768661113	22.397959	9.428786204949104	-15.074174231338887
03	value	NPCr	1	3	63	40.0	12.992453998692593	3.2959185	11.01958273682981	-27.007546001307407
03	value	NPCr	1	3	64	22.5	17.30954354547921	14.438775	6.007634693163034	-5.190456454520788
03	value	NPCr	1	3	65	36.5	11.363152615929394	3.2959185	9.2561261549357	-25.136847384070606
03	value	NPCr	1	3	66	18.5	27.169533047761455	27.969387	6.571910319818052	8.669533047761455
03	value	NPCr	1	3	67	7.5	18.789434791372965	18.418367	3.675979742191817	11.289434791372965
03	value	NPCr	1	3	68	23.0	26.12138306375189	16.030613	7.3999249123356705	3.121383063751889
03	value	NPCr	1	3	69	2.5	12.334031018198829	7.2755103	8.676399214563057	9.834031018198829
03	value	NPCr	1	4	70	20.0	15.213365499726088	5.6836734	9.369822107377738	-4.786634500273912
03	value	NPCr	1	4	71	18.5	19.11273758843419	18.418367	5.70778227705288	0.6127375884341895
03	value	NPCr	1	4	72	25.5	16.380655773335523	2.5	11.494559818558532	-9.119344226664477
03	value	NPCr	1	4	73	22.5	25.430854593747878	38.316326	10.098738310526034	2.9308545937478776
03	value	NPCr	1	4	74	41.0	17.36016500024853	5.6836734	11.574786020749274	-23.63983499975147
03	value	NPCr	1	4	75	7.5	24.244294535923643	18.418367	11.507205169263178	16.744294535923643
03	value	NPCr	1	4	76	22.0	16.62599284344084	4.887755	10.873130798771259	-5.374007156559159
03	value	NPCr	1	4	77	41.5	27.26952789269967	31.94898	10.457039432763414	-14.23047210730033
03	value	NPCr	1	4	78	39.0	28.200609110371637	38.316326	9.451184882474376	-10.799390889628363
03	value	NPCr	1	4	79	24.0	21.456678931381834	27.969387	10.50844634911227	-2.543321068618166
03	value	NPCr	1	4	80	4.0	22.28818512347502	2.5	10.070820744509527	18.28818512347502
