subject	quantity	roi	r	mae	n
03	gabor	BensonV1	0.5251283938779432	24.987321762283678	368
03	gabor	NPCr	0.08054513680650675	42.07626592804873	368
03	value-weighted	NPCr	0.17096214355478678	10.94603948916824	368
04	gabor	BensonV1	0.582137712874204	23.13879415463577	368
04	gabor	NPCr	0.2597357721172901	35.15148652025538	368
04	value-weighted	NPCr	0.44043562285078386	9.210919057460279	368
05	gabor	BensonV1	0.6384166675484686	20.41095294238207	368
05	gabor	NPCr	0.10078070328405969	41.780920270809034	368
05	value-weighted	NPCr	0.183656859414571	11.401926748566616	368
06	gabor	BensonV1	0.8702827789756332	10.909349271548663	368
06	gabor	NPCr	0.27448887410261635	34.45119642636109	368
06	value-weighted	NPCr	0.5462267568004662	7.755906317648294	368
07	gabor	BensonV1	0.5488569060554336	24.88879034270289	368
07	gabor	NPCr	0.07507398803539397	42.554587780100526	368
07	value-weighted	NPCr	0.28445913628044134	11.224352952971799	368
08	gabor	BensonV1	0.5469187331691625	24.68238883966148	368
08	gabor	NPCr	0.2524278564180627	35.876684026488896	368
08	value-weighted	NPCr	0.31512025503780194	10.221515260948948	368
09	gabor	BensonV1	0.6969228971335134	18.16598692789603	368
09	gabor	NPCr	0.22785091897725182	36.094424870411146	368
09	value-weighted	NPCr	0.38036324776865416	9.577477686294147	368
10	gabor	BensonV1	0.4536567984457775	27.803147954459263	368
10	gabor	NPCr	0.25241400170672745	35.22402477434208	368
10	value-weighted	NPCr	0.34941478375424134	9.65008319934817	368
11	gabor	BensonV1	0.5754246711873221	23.134625844542285	368
11	gabor	NPCr	0.22657505493453714	36.28631375845293	368
11	value-weighted	NPCr	0.2977730220012518	10.501745073435913	368
12	gabor	BensonV1	0.6705810144918574	19.130396897879223	368
12	gabor	NPCr	0.19595338328333578	37.53607360919384	368
12	value-weighted	NPCr	0.3162303567163326	9.121406975056635	368
13	gabor	BensonV1	0.2677659987224487	34.9007425772063	368
13	gabor	NPCr	0.17323814595931497	38.42915250723656	368
13	value-weighted	NPCr	0.24885152126766727	10.617537746751962	368
14	gabor	BensonV1	0.41442559149370517	29.123808880623386	368
14	gabor	NPCr	0.1214741649660977	40.1641886435883	368
14	value-weighted	NPCr	0.19913387387515047	11.321321348690498	368
15	gabor	BensonV1	0.3011364976830513	33.69558950876364	368
15	gabor	NPCr	0.2173842188968941	36.87467183247404	368
15	value-weighted	NPCr	0.1611289636650964	10.815537114178074	368
16	gabor	BensonV1	0.3366125222204905	32.87686033464014	368
16	gabor	NPCr	0.09811573003222697	41.28316351009931	368
16	value-weighted	NPCr	0.16607238990557244	10.757559743890377	368
17	gabor	BensonV1	0.4200876201958873	29.19877634920169	368
17	gabor	NPCr	0.1339481295905127	40.02133783550028	368
17	value-weighted	NPCr	0.1855710494252051	9.715240578881362	368
18	gabor	BensonV1	0.2988703996877198	34.09805932095435	391
18	gabor	NPCr	0.17357314216786615	38.115192933426016	391
18	value-weighted	NPCr	0.2556810911252498	10.021202260760736	391
19	gabor	BensonV1	0.39869788449688925	29.90029271540316	368
19	gabor	NPCr	0.1622516242608621	39.51694930554774	368
19	value-weighted	NPCr	0.17759953923177826	11.85412849432598	368
20	gabor	BensonV1	0.3330497282200238	32.55450868427849	368
20	gabor	NPCr	0.22088541974712478	36.81168344161987	368
20	value-weighted	NPCr	0.25393506394475673	10.223731534066568	368
21	gabor	BensonV1	0.2767122837253828	34.86886594261323	368
21	gabor	NPCr	0.20176529572318025	37.37586171690286	368
21	value-weighted	NPCr	0.20829656871311408	10.650220331295898	368
22	gabor	BensonV1	0.3759117367986086	31.325121598127758	368
22	gabor	NPCr	0.264123784498062	35.04158792997338	368
22	value-weighted	NPCr	0.14400842251485918	10.697347094299024	368
23	gabor	BensonV1	0.11382240979015461	40.429552468688335	368
23	gabor	NPCr	0.1315306042886237	40.09350384762329	368
23	value-weighted	NPCr	0.18923160056178923	11.133064981348443	368
24	gabor	BensonV1	0.7057279683529036	17.819352230497426	368
24	gabor	NPCr	0.20241981664339914	37.19814749152702	368
24	value-weighted	NPCr	0.22111050568803142	10.151246435705415	368
25	gabor	BensonV1	0.3748674776538095	30.782662006052973	368
25	gabor	NPCr	0.1881077276286233	37.70639140444402	368
25	value-weighted	NPCr	0.3058403056938408	10.680575548556382	368
26	gabor	BensonV1	0.2741730654490302	34.67455921794662	368
26	gabor	NPCr	0.1355689472280416	40.1324111294487	368
26	value-weighted	NPCr	0.11427364271492191	11.971435302307796	368
27	gabor	BensonV1	0.3813846165873671	30.547462797122243	368
27	gabor	NPCr	0.1577766378640304	38.87796405600183	368
27	value-weighted	NPCr	0.35441014314872993	9.702687230451364	368
28	gabor	BensonV1	0.2178679861857847	36.69636068762263	368
28	gabor	NPCr	0.18640593667865732	38.180898957804885	368
28	value-weighted	NPCr	0.09402245103180769	11.178803789429194	368
29	gabor	BensonV1	0.41731619286786287	29.496114239120743	368
29	gabor	NPCr	0.11676404234890352	41.20650435601662	368
29	value-weighted	NPCr	0.29725482484741506	10.108983488764865	368
pil01	gabor	BensonV1	0.42427894232852614	28.96927931338304	368
pil01	gabor	NPCr	0.34741736324330097	32.08287471471126	368
pil01	value-weighted	NPCr	0.23538290087041	9.643372266934833	368
pil02	gabor	BensonV1	0.5080958155810014	25.655778700624047	368
pil02	gabor	NPCr	0.2093182295578627	37.114865952709515	368
pil02	value-weighted	NPCr	0.23276771261158483	10.529941848931873	368
