direction	quantity	n	mean	sem	t	p
npc_from_v1	observed	30	0.020270116177437625	0.005925498099906287	3.4208290738897036	0.001875784911434574
npc_from_v1	label-shuffle	30	0.004156090743458551	0.005124737341491584	0.8109860987039185	0.42397977499383444
npc_from_v1	observed - shuffle	30	0.016114025433979072	0.0029671756725458097	5.4307621834043225	7.665764012003118e-06
v1_from_npc	observed	30	-0.004530584088457263	0.00669182050036753	-0.6770331165052071	0.5037502600172448
v1_from_npc	label-shuffle	30	0.0012876411288670034	0.003477026740158245	0.37032822152193196	0.7138290897150765
v1_from_npc	observed - shuffle	30	-0.005818225217324265	0.004649167463247172	-1.2514552902898823	0.22076964604498728
npc_from_v1	r(score, dissimilarity) across bins	30	0.07105052155332799	0.055180717085498876	1.2875969234549796	0.20806742995537494
v1_from_npc	r(score, dissimilarity) across bins	30	0.011760103695255843	0.07446952879722207	0.157918330962966	0.8756156369892844
