subject	quantity	roi	r	n
03	gabor	BensonV1	0.4531562731800733	368
03	gabor	NPCr	0.10826508154058247	368
03	value	BensonV1	0.551807444520928	368
03	value	NPCr	0.15604776527572284	368
04	gabor	BensonV1	0.5072210285611869	368
04	gabor	NPCr	0.22435184050782767	368
04	value	BensonV1	0.637311887625952	368
04	value	NPCr	0.3678744152683792	368
05	gabor	BensonV1	0.5664837300225823	368
05	gabor	NPCr	0.13715531974452835	368
05	value	BensonV1	0.6269088601923949	368
05	value	NPCr	0.1453435538776537	368
06	gabor	BensonV1	0.8379924045996328	368
06	gabor	NPCr	0.3269045946177128	368
06	value	BensonV1	0.8386883002096842	368
06	value	NPCr	0.32668832415204724	368
07	gabor	BensonV1	0.5132191797150104	368
07	gabor	NPCr	0.1049256162639651	368
07	value	BensonV1	0.5623753768502866	368
07	value	NPCr	0.235319369750962	368
08	gabor	BensonV1	0.4991775169241667	368
08	gabor	NPCr	0.1886454500736802	368
08	value	BensonV1	0.6996858137325941	368
08	value	NPCr	0.23499573285479441	368
09	gabor	BensonV1	0.6376703200770159	368
09	gabor	NPCr	0.26411766269420683	368
09	value	BensonV1	0.7166320101670544	368
09	value	NPCr	0.3852214346919957	368
10	gabor	BensonV1	0.3840900000539258	368
10	gabor	NPCr	0.28368118097479217	368
10	value	BensonV1	0.4141099505896088	368
10	value	NPCr	0.2942389570607646	368
11	gabor	BensonV1	0.5717627498072949	368
11	gabor	NPCr	0.17713051645281688	368
11	value	BensonV1	0.7928244843612193	368
11	value	NPCr	0.2272797339197324	368
12	gabor	BensonV1	0.6064069817318651	368
12	gabor	NPCr	0.30934203257412823	368
12	value	BensonV1	0.639884728136187	368
12	value	NPCr	0.3535024036023551	368
13	gabor	BensonV1	0.30106570125939286	368
13	gabor	NPCr	0.2447672492017073	368
13	value	BensonV1	0.23627015817336874	368
13	value	NPCr	0.23110688700544804	368
14	gabor	BensonV1	0.42266850806884665	368
14	gabor	NPCr	0.12907828684637812	368
14	value	BensonV1	0.33943674877820906	368
14	value	NPCr	0.24265080593997101	368
15	gabor	BensonV1	0.2658200804115099	368
15	gabor	NPCr	0.2170353395173586	368
15	value	BensonV1	0.36901927185420724	368
15	value	NPCr	0.18423868846404456	368
16	gabor	BensonV1	0.3725546551283878	368
16	gabor	NPCr	0.14458785433344995	368
16	value	BensonV1	0.23466216822379662	368
16	value	NPCr	0.12977418584528777	368
17	gabor	BensonV1	0.38782454406933553	368
17	gabor	NPCr	0.10142210646180731	368
17	value	BensonV1	0.5011720661372132	368
17	value	NPCr	0.210353877920428	368
18	gabor	BensonV1	0.28758573552725625	391
18	gabor	NPCr	0.20239398954511267	391
18	value	BensonV1	0.39630361665788233	391
18	value	NPCr	0.274815411566704	391
19	gabor	BensonV1	0.37959045879369785	368
19	gabor	NPCr	0.17105476664353966	368
19	value	BensonV1	0.5541164904332898	368
19	value	NPCr	0.18801858332937554	368
20	gabor	BensonV1	0.26679556592521414	368
20	gabor	NPCr	0.21455890703945055	368
20	value	BensonV1	0.16479469638029226	368
20	value	NPCr	0.23553244312974622	368
21	gabor	BensonV1	0.21814324853663208	368
21	gabor	NPCr	0.18666007663528114	368
21	value	BensonV1	0.29550542332598984	368
21	value	NPCr	0.09915510758956042	368
22	gabor	BensonV1	0.36671877779323475	368
22	gabor	NPCr	0.15049707426811096	368
22	value	NPCr	0.19312688846954587	368
23	gabor	BensonV1	0.09597454733061739	368
23	gabor	NPCr	0.16360806102995507	368
23	value	BensonV1	0.12484202640087907	368
23	value	NPCr	0.22239687552602044	368
24	gabor	BensonV1	0.6313697543402775	368
24	gabor	NPCr	0.2500066193380067	368
24	value	BensonV1	0.6832817086602778	368
24	value	NPCr	0.16821446307383817	368
25	gabor	BensonV1	0.3674994659609667	368
25	gabor	NPCr	0.18689596116221682	368
25	value	BensonV1	0.5121322663669086	368
25	value	NPCr	0.24762713315615392	368
26	gabor	BensonV1	0.27489904665845016	368
26	gabor	NPCr	0.1725229261399082	368
26	value	BensonV1	0.38303377225705404	368
26	value	NPCr	0.16187933325652978	368
28	gabor	BensonV1	0.22229594133499955	368
28	gabor	NPCr	0.1528392727640461	368
28	value	BensonV1	0.26114424401289293	368
28	value	NPCr	0.12386130623360914	368
pil01	gabor	BensonV1	0.4316439167114354	368
pil01	gabor	NPCr	0.31656850185583385	368
pil01	value	BensonV1	0.37638299129371877	368
pil01	value	NPCr	0.11726274770592687	368
pil02	gabor	BensonV1	0.5419118825896934	368
pil02	gabor	NPCr	0.19173022661748487	368
pil02	value	BensonV1	0.6256659990069765	368
pil02	value	NPCr	0.308362256255395	368
