subject	behaviour	neural
3	0.5252066534814139	1.1745688710735198
4	0.2012906333992597	0.5237286765401693
5	0.23119833662964664	0.8270587681260274
6	0.25270044119884383	0.8662206656758898
7	0.558801156245246	0.8319153672809382
8	0.6339602667478069	1.4185635503402707
9	0.38842613722805425	1.0778522698317532
10	0.2656226228510574	0.8340155825626477
11	0.4584664536741216	0.8275365596198335
12	0.1053191084740606	0.8983004547995739
13	0.3047092905319744	0.9478753907906295
14	0.12436292408337142	0.9603741485737277
15	0.3409402099497948	1.1413874566575393
16	0.35062122825701114	1.0123893996248334
17	0.4457914955119431	1.185861601258411
18	0.25584356035634	0.7916052964656071
19	0.0928102337846747	1.2916770361204377
20	0.07799077032303872	1.0062246159011967
21	0.5212517115472389	0.8073619755821339
22	0.6914619149044073	0.6629092226004081
23	0.5662108879760639	1.0685037760477603
24	0.2051194279628785	1.1204322213982276
25	0.536655636695573	1.0357922235150279
26	0.4588816623561034	1.1333957272004058
27	0.044728434504792344	0.9703604468523187
28	0.3914302195851718	1.2246098114010182
