behaviour	neural	matched	rho	lo	hi	n
κ_r (perceptual precision)	V1 orientation	True	0.03159376410346399	-0.508246417368747	0.5332511045655373	26
1/σ_rep (value precision)	NPC value	True	0.2872618349885795	-0.0853633835234541	0.6050454615914018	26
κ_r (perceptual precision)	NPC orientation	False	0.025137767874072105	-0.4919328112875488	0.5596708140774972	26
1/σ_rep (value precision)	V1 value	False	0.1483649584471943	-0.20290855644966455	0.47748407089898054	26
