subject	npcr_expected_sd_chf	v1_expected_sd_deg
1	4.1990028913698	18.32170557450891
2	4.42702792144682	8.183266716507813
3	4.88163899495955	11.065371545057062
4	2.938127410118263	11.709688581322839
5	3.9939721133109014	8.33295315274471
6	4.4542004932858115	3.44310187826943
7	4.389322577712717	9.496653042409863
8	4.431089635172111	9.929554303631596
9	4.125448917704521	9.038138593737818
10	4.353940001562408	11.053174674670725
11	4.4276745861768925	13.921547987748268
12	4.075874498362579	8.743831221375764
13	4.098880171722658	9.500097283285616
14	4.5183671220722825	14.196487091694943
15	4.528673080454178	16.059892354660573
16	4.810288234351943	16.132891771809604
17	4.728363459829682	13.394585466505399
18	3.739899128284936	18.137371423632977
19	4.248868178234999	8.574733219727452
20	4.756104377878877	13.252464979629615
21	4.508857027030362	13.834061904788284
22	4.362816315983257	11.569329695097737
23	4.925841900745993	21.3807351528645
24	4.362408380902673	6.999576814370554
25	4.883166435661609	13.266017845337437
26	4.628247528870632	15.671498946833387
27	5.104135011730946	8.023128418867405
28	4.622825588976875	15.439968850467244
