nv	roi	slope	se	p
50 voxels	NPCr	-0.02784577000426296	0.021309040910671186	0.1912947489528528
50 voxels	BensonV1	-0.07700889787930651	0.019169950542215722	5.890191598846531e-05
50 voxels	NPCr - V1	0.048959869858169656	0.022103752644416132	0.026759885189921593
250 voxels	NPCr	-0.04248092351097759	0.026160576406287373	0.10440724233051685
250 voxels	BensonV1	-0.10086016841934144	0.021797767970844473	3.7084479227991044e-06
250 voxels	NPCr - V1	0.057989158875536045	0.02281725279252738	0.0110390250168566
CV-selected	NPCr	-0.0073029451831851085	0.021759718017641528	0.7371592209172537
CV-selected	BensonV1	-0.05131300423303276	0.025926123050637715	0.04779339964084319
CV-selected	NPCr - V1	0.044102163832451455	0.02166699567331667	0.04180525516671523
