behaviour	neural	matched	rho	lo	hi	n
κ_r (perceptual precision)	V1 orientation	True	0.01889388658475638	-0.5399342702556805	0.5290050325362394	26
1/σ_rep (value precision)	NPC value	True	0.30048056880969154	-0.09099934521670122	0.6205740981962504	26
κ_r (perceptual precision)	NPC orientation	False	-0.0017170329670329672	-0.5518524308315557	0.5536471060573221	26
1/σ_rep (value precision)	V1 value	False	0.1762476950821665	-0.1903267464844452	0.5006956664518687	26
