value	mean_E	var_E	mean_error	mean_abs_error	n_sims	subject	session	condition	sd_E	variant
2.5	10.07216551542282	63.47709368047549	7.572165515422821	7.572165515422821	1000	03	1	inverse_cdf	7.9672513252988	unsmoothed
3.0	13.79629845404625	68.5023217394952	10.79629845404625	10.796917917966844	1000	03	1	inverse_cdf	8.27661293884734	unsmoothed
4.0	12.878153894901276	57.25725694897094	8.878153894901276	8.88006909418106	1000	03	1	inverse_cdf	7.566852512701099	unsmoothed
5.0	13.429380776166916	53.02921272830999	8.429380776166916	8.459508980035782	1000	03	1	inverse_cdf	7.282115951309069	unsmoothed
7.5	13.859068056583403	41.01126636341798	6.359068056583404	6.443118295192718	1000	03	1	inverse_cdf	6.404003932183207	unsmoothed
11.5	14.165322982788084	21.085486370778955	2.6653229827880858	3.010819225311279	1000	03	1	inverse_cdf	4.591893549591384	unsmoothed
16.0	16.83425169324875	7.98192338466737	0.8342516932487488	1.2281881031990052	1000	03	1	inverse_cdf	2.825229793249988	unsmoothed
18.5	19.720490966796877	14.34306083857488	1.220490966796875	2.4709078788757326	1000	03	1	inverse_cdf	3.787223367927337	unsmoothed
20.0	21.34752526140213	22.685198258569105	1.34752526140213	3.525191737651825	1000	03	1	inverse_cdf	4.762898094497625	unsmoothed
21.0	22.106387821674343	29.55860231216252	1.106387821674347	4.120872905254364	1000	03	1	inverse_cdf	5.43678234916228	unsmoothed
21.5	22.3029531416893	25.02541246586797	0.8029531416893005	3.6292120537757873	1000	03	1	inverse_cdf	5.0025406011213915	unsmoothed
22.0	22.199108023643493	12.161356684775845	0.1991080236434936	1.9310657625198364	1000	03	1	inverse_cdf	3.4873136774279203	unsmoothed
22.5	22.7616331782341	18.68820573650343	0.2616331782341003	2.767588776111603	1000	03	1	inverse_cdf	4.322985743268584	unsmoothed
23.0	23.05758426094055	22.05296669256128	0.0575842609405517	3.230406339645386	1000	03	1	inverse_cdf	4.696058633850442	unsmoothed
24.0	23.727274697303773	21.43877912764741	-0.272725302696228	3.182057761192322	1000	03	1	inverse_cdf	4.630202925104624	unsmoothed
25.5	24.428380774974823	21.98815676203753	-1.071619225025177	3.309936726093292	1000	03	1	inverse_cdf	4.689153096459694	unsmoothed
28.0	26.44546691608429	19.139097121075817	-1.5545330839157103	2.988337946891785	1000	03	1	inverse_cdf	4.374825381781062	unsmoothed
32.5	28.44374457359314	28.586764184751075	-4.05625542640686	4.529336923599243	1000	03	1	inverse_cdf	5.346659161079101	unsmoothed
36.5	30.01352677726745	38.12145328075626	-6.486473222732544	6.573656770706177	1000	03	1	inverse_cdf	6.174257306005011	unsmoothed
39.0	32.37424058866501	42.31925765193353	-6.625759411334991	6.629589001178742	1000	03	1	inverse_cdf	6.505325330214741	unsmoothed
40.0	31.10935801744461	52.78870053268494	-8.890641982555389	8.891035308361053	1000	03	1	inverse_cdf	7.265583289226333	unsmoothed
41.0	35.742929149627685	51.6212974372388	-5.2570708503723145	5.257072917938232	1000	03	1	inverse_cdf	7.184796269710005	unsmoothed
41.5	28.58883753919601	56.0630279375258	-12.911162460803986	12.911162460803986	1000	03	1	inverse_cdf	7.487524820494808	unsmoothed
5.5	8.622541596412658	26.930930622496025	3.122541596412659	3.122541596412659	1000	03	2	cdf	5.189501962856939	unsmoothed
8.0	12.344789914608002	34.055848194033906	4.344789914608001	4.382906759738922	1000	03	2	cdf	5.83573887301633	unsmoothed
10.0	14.952026425361634	30.870938942477885	4.952026425361633	5.115068955421448	1000	03	2	cdf	5.556162249473812	unsmoothed
11.0	16.681347691059113	30.37731586659244	5.681347691059113	5.853373715877533	1000	03	2	cdf	5.511562016941517	unsmoothed
11.5	16.851566782951355	30.47206626491885	5.351566782951355	5.520178030967712	1000	03	2	cdf	5.520150927730043	unsmoothed
12.0	17.54826370000839	30.542472450252102	5.548263700008392	5.800637430667877	1000	03	2	cdf	5.526524445820547	unsmoothed
12.5	18.32806479358673	32.50477865730902	5.828064793586731	6.122294949531555	1000	03	2	cdf	5.701296226062019	unsmoothed
13.0	17.767328616142272	26.538931541367	4.767328616142273	5.022585038185119	1000	03	2	cdf	5.151595048270681	unsmoothed
14.0	16.155408017158507	14.764629636652383	2.1554080171585084	2.350061722755432	1000	03	2	cdf	3.8424770183635952	unsmoothed
16.0	17.916266014099122	12.85429016777876	1.916266014099121	2.209678062438965	1000	03	2	cdf	3.585288017409307	unsmoothed
18.5	19.51795189189911	8.632733093399573	1.0179518918991088	1.6148995904922483	1000	03	2	cdf	2.93815130539589	unsmoothed
22.0	22.008245964050293	6.006980749352228	0.0082459640502929	1.184033920288086	1000	03	2	cdf	2.450914268054317	unsmoothed
25.5	25.02410912322998	5.685003370263604	-0.4758908767700195	1.0671092109680176	1000	03	2	cdf	2.384324510267762	unsmoothed
28.0	26.400248567104335	13.16551474424665	-1.5997514328956604	2.237286558628082	1000	03	2	cdf	3.6284314440604564	unsmoothed
30.0	27.6369754486084	15.991068198586056	-2.363024551391601	2.624941432952881	1000	03	2	cdf	3.9988833689651484	unsmoothed
31.0	26.162254660606383	27.231710280056557	-4.837745339393615	5.226053586006165	1000	03	2	cdf	5.2184011229548615	unsmoothed
31.5	26.33659935331345	28.636732251396523	-5.163400646686554	5.496138828754425	1000	03	2	cdf	5.35132995164721	unsmoothed
