model	roi	test	slope	se	p	decoding_r	compression
loggauss	BensonV1	across values	-0.08226657271566722	0.021365449278106217	0.00011790148228977539	0.49403119568279447	0.4693218900555751
loggauss	BensonV1	same orientation	-0.027249183187710604	0.022738466085575386	0.23077150735790453	0.49403119568279447	0.4693218900555751
loggauss	NPCr	across values	-0.01867866247328099	0.020530450756916483	0.362926494828706	0.25232284856460235	0.2249099246773492
loggauss	NPCr	same orientation	0.01514527919443179	0.02191832511573867	0.4895736682963774	0.25232284856460235	0.2249099246773492
weighted	BensonV1	across values	-0.11602533190721107	0.02296194658484335	4.350612429324203e-07	0.5000421234255489	0.48120020243639
weighted	BensonV1	same orientation	-0.04919013338992712	0.024263936076964907	0.04263234901395558	0.5000421234255489	0.48120020243639
weighted	NPCr	across values	-0.013380572048556121	0.01884341860914652	0.4776467170254709	0.2564235795890786	0.24265517488481364
weighted	NPCr	same orientation	0.0403612751827686	0.020356861403176572	0.047402453549703294	0.2564235795890786	0.24265517488481364
loggauss	NPCr - V1	same orientation	0.04212134967218673	0.024900289573129047	0.09072211455446381		
weighted	NPCr - V1	same orientation	0.08943726233884929	0.025221236772366068	0.00039096400695659664		
