subject	model	n_pos	n_total	frac_pos
03	aprf	753	327191	0.002301408046064837
04	aprf	802	327276	0.002450531050245053
05	aprf	816	326702	0.002497689025472755
06	aprf	3586	326701	0.010976397378642857
07	aprf	424	326004	0.001300597538680507
08	aprf	1141	326607	0.0034934952404571855
09	aprf	888	326990	0.002715679378574268
10	aprf	1220	327194	0.0037286747311992274
11	aprf	994	325301	0.003055631553545793
12	aprf	2107	326298	0.0064572875101900715
13	aprf	1008	324496	0.0031063557023815395
14	aprf	585	327158	0.0017881268377970278
15	aprf	257	325868	0.0007886628941780107
16	aprf	180	325584	0.0005528527200353826
17	aprf	223	322834	0.0006907574790759337
18	aprf	283	326805	0.0008659598231361209
19	aprf	208	326418	0.0006372197611651319
20	aprf	172	326347	0.0005270463647589835
21	aprf	136	326598	0.0004164140625478417
22	aprf	386	326707	0.0011814867756123988
23	aprf	36	326837	0.00011014664802332661
24	aprf	1188	320905	0.003702030195852355
25	aprf	531	326320	0.001627237067908801
26	aprf	263	327343	0.0008034385949905756
27	aprf	1141	326357	0.0034961713706156143
28	aprf	266	326635	0.0008143646577984601
pil01	aprf	1616	323569	0.004994297970448343
pil02	aprf	2480	326105	0.007604912528173441
03	vonmises	696	327191	0.00212719787524718
04	vonmises	3602	327276	0.0110060010511006
05	vonmises	2825	326702	0.008647023893333987
06	vonmises	5560	326701	0.017018619471626962
07	vonmises	364	326004	0.0011165507171691145
08	vonmises	979	326607	0.0029974862755544123
09	vonmises	3821	326990	0.01168537264136518
10	vonmises	1047	327194	0.003199936429152124
11	vonmises	1966	325301	0.006043633434880311
12	vonmises	17314	326298	0.05306192498881391
13	vonmises	14694	324496	0.045282530447216605
14	vonmises	5507	327158	0.01683284529187732
15	vonmises	593	325868	0.0018197552383173556
16	vonmises	141	325584	0.00043306796402771636
17	vonmises	376	322834	0.0011646852561997807
18	vonmises	13974	326805	0.042759443704961674
19	vonmises	241	326418	0.0007383171271192153
20	vonmises	1052	326347	0.0032235626495723878
21	vonmises	116	326598	0.0003551767004084532
22	vonmises	940	326707	0.002877195774807396
23	vonmises	13	326837	3.9775178452867945e-05
24	vonmises	3108	320905	0.009685109300260201
25	vonmises	992	326320	0.003039960774699681
26	vonmises	630	327343	0.0019245867484565119
27	vonmises	16606	326357	0.050882928817215504
28	vonmises	57	326635	0.0001745067123853843
pil01	vonmises	10869	323569	0.03359098059455634
pil02	vonmises	2353	326105	0.007215467410803269
