subject	n_shift_vox	mean_shift	mean_abs_shift	median_abs_shift	mode_r	frac_outward	outward_index
3	104	-0.3511672019958496	12.636188507080078	8.465742111206055	0.09245918691158295	0.3942307692307692	-0.10576923076923078
4	241	-5.06162166595459	12.46013355255127	9.845319747924805	0.241896390914917	0.4625	-0.03749999999999998
5	282	-7.412959575653076	13.750325202941895	12.733377456665039	-0.004135934170335531	0.3049645390070922	-0.1950354609929078
6	275	-13.13412094116211	22.317386627197266	17.765018463134766	-0.03458578139543533	0.21897810218978103	-0.28102189781021897
7	136	10.3045015335083	15.218241691589355	11.57363510131836	-0.11354981362819672	0.2647058823529412	-0.23529411764705882
8	136	-0.5468395352363586	12.202629089355469	9.127592086791992	0.30006036162376404	0.3897058823529412	-0.11029411764705882
9	199	4.48758602142334	10.83437442779541	10.415570259094238	0.3093322515487671	0.3181818181818182	-0.18181818181818182
10	176	-0.9825252294540405	12.816725730895996	8.483358383178711	0.105989970266819	0.3522727272727273	-0.1477272727272727
11	261	-3.964195489883423	8.479267120361328	6.260337829589844	0.37957456707954407	0.40384615384615385	-0.09615384615384615
12	360	4.498373508453369	15.19041633605957	11.387051582336426	0.07031799852848053	0.42777777777777776	-0.07222222222222224
13	370	-0.1450246423482895	10.591391563415527	6.495551586151123	0.23814386129379272	0.26216216216216215	-0.23783783783783785
14	250	-5.708568096160889	13.315215110778809	9.461064338684082	0.28263241052627563	0.224	-0.276
15	184	-2.5156006813049316	13.354804039001465	8.444856643676758	0.0650906190276146	0.32608695652173914	-0.17391304347826086
16	73	0.17129544913768768	13.283747673034668	11.043991088867188	0.0921783298254013	0.3888888888888889	-0.1111111111111111
17	148	-0.8062019348144531	8.247610092163086	5.76625919342041	0.23382766544818878	0.23648648648648649	-0.2635135135135135
18	336	6.08636999130249	14.207733154296875	11.231203079223633	0.12149414420127869	0.3958333333333333	-0.10416666666666669
19	188	1.1877669095993042	15.13664436340332	13.375319480895996	-0.01019551046192646	0.24468085106382978	-0.25531914893617025
20	106	0.071153424680233	9.080107688903809	7.74560546875	0.45518481731414795	0.4056603773584906	-0.09433962264150941
21	143	6.49577522277832	16.03943634033203	13.851130485534668	0.11429473012685776	0.39436619718309857	-0.10563380281690143
22	205	7.480278015136719	18.72394561767578	18.23841094970703	-0.3261156976222992	0.25	-0.25
23	138	-8.813557624816895	17.349294662475586	15.783287048339844	-0.031111061573028564	0.2536231884057971	-0.24637681159420288
24	138	3.233144998550415	15.993867874145508	14.194835662841797	-0.07835046947002411	0.2826086956521739	-0.2173913043478261
25	119	0.6689273715019226	11.235515594482422	8.362552642822266	0.25166523456573486	0.2288135593220339	-0.2711864406779661
26	95	3.6117618083953857	14.8082914352417	12.702396392822266	-0.10142577439546585	0.26595744680851063	-0.23404255319148937
27	321	-6.848482131958008	15.366168022155762	11.146976470947266	-0.04243607819080353	0.346875	-0.153125
28	156	0.3184877932071686	8.376547813415527	6.370063304901123	0.34476494789123535	0.36538461538461536	-0.13461538461538464
