subject	condition	true	bias	noise	threshold	post_sd	slope	quantity	roi
03	cdf	5.5	10.003802838381159	8.157359806852742	54.49874791083835	2.3947861709004084	0.14967976549109785	value	NPCr
03	cdf	8.0	10.19875208790608	8.905347354230829	59.49600017752881	7.020408855148101	0.14967976549109785	value	NPCr
03	cdf	10.0	8.546997029935092	10.059763073989522	67.20857051708718	5.836194278150405	0.14967976549109785	value	NPCr
03	cdf	11.0	11.932981960171933	7.629223312195738	50.97030508542241	4.623335230745529	0.14967976549109785	value	NPCr
03	cdf	11.5	5.703692819897736	7.433585160310614	49.66326033396093	6.532144906410419	0.14967976549109785	value	NPCr
03	cdf	12.0	5.998567692084695	6.368740452781831	42.549107635798705	5.216416842420037	0.14967976549109785	value	NPCr
03	cdf	12.5	8.176813464969875	11.990644643276054	80.10865465973217	6.196890005709539	0.14967976549109785	value	NPCr
03	cdf	13.0	2.9184951662679204	11.384600729921486	76.0597178420792	5.80518824735011	0.14967976549109785	value	NPCr
03	cdf	14.0	9.510062851902589	8.175823785082219	54.622104452511806	4.083808214983467	0.14967976549109785	value	NPCr
03	cdf	16.0	8.879067706756132	7.033240718635484	46.98858723862567	4.5291397100656905	0.14967976549109785	value	NPCr
03	cdf	18.5	4.909897989801415	10.07271429845788	67.29509673808883	5.143595994041672	0.14967976549109785	value	NPCr
03	cdf	22.0	-0.831158271491578	10.7413227708338	71.7620229801378	8.162550817768114	0.14967976549109785	value	NPCr
03	cdf	25.5	-1.722033032116773	6.101489753360473	40.763624484188256	5.144877696957879	0.14967976549109785	value	NPCr
03	cdf	28.0	-7.0736837604705585	8.590267548329972	57.39097412496197	4.73507961617464	0.14967976549109785	value	NPCr
03	cdf	30.0	-12.329090837118954	10.169471161877693	67.94152254656304	3.9646106533430894	0.14967976549109785	value	NPCr
03	cdf	31.0	-12.222512091814721	11.50902963674615	76.8910186289051	3.2309379967022847	0.14967976549109785	value	NPCr
03	cdf	31.5	-8.901609628287545	8.43572355522945	56.35847656195828	6.001017152730379	0.14967976549109785	value	NPCr
03	cdf	32.0	-8.947684437811873	9.367820732027537	62.585752331264075	5.995725165963998	0.14967976549109785	value	NPCr
03	cdf	32.5	-9.044591309099566	12.250360412106916	81.84379746930792	2.6807809062620285	0.14967976549109785	value	NPCr
03	cdf	33.0	-10.406791677304177	7.453579538959972	49.796841373346965	5.452466791195716	0.14967976549109785	value	NPCr
03	cdf	34.0	-10.111829826798996	12.53238868170632	83.7280085293271	4.529670665799405	0.14967976549109785	value	NPCr
03	cdf	36.0	-14.671834814300638	9.977951303036582	66.66199182166689	4.235442400432333	0.14967976549109785	value	NPCr
03	cdf	38.5	-12.56462869534819	10.944286568395459	73.1180098558236	3.547931458187386	0.14967976549109785	value	NPCr
03	inverse_cdf	2.5	9.193686026311958	7.333340112476169	56.99030557488699	3.2471806184139127	0.12867697476792675	value	NPCr
