subject	mode_1	mode_2	amplitude	r2_shift	r2_joint	voxel
03	2.3429542	2.305135	10.441718	0.16825444	0.16802853	495
03	0.70567477	0.5857822	1.0604726	0.16482037	0.16198665	603
03	1.1495061	1.0895113	1.2714185	0.14919972	0.14864206	713
03	0.47677863	0.47021702	5.805887	0.14088327	0.14087528	200
03	0.65797246	0.6151006	1.6995573	0.1410901	0.14082366	665
03	0.5707165	0.5643748	1.2305672	0.12815255	0.12814671	664
03	1.3169252	1.1050054	4.074282	0.13047755	0.12576574	712
03	2.3978224	2.4682353	6.484095	0.12503439	0.12457782	496
03	2.1904917	2.225315	5.364418	0.11478096	0.11465222	501
03	2.7681565	3.0461617	0.43305063	0.12476879	0.1106112	650
03	0.29589233	0.4294507	4.413869	0.11080688	0.10917586	191
03	0.61384463	0.8747993	0.9692936	0.116963625	0.10903293	431
03	2.18129	2.303671	8.390289	0.105199814	0.10387093	490
03	2.4781234	2.4066575	0.77960145	0.10291523	0.1022498	661
03	2.5910354	2.6256092	0.7338619	0.09950733	0.09935647	409
03	1.298045	1.1343721	3.763639	0.101245284	0.09899765	710
03	2.7297802	2.7452986	4.4476056	0.09473497	0.09470618	577
03	2.5820727	2.7265387	1.0366943	0.09504545	0.09354496	499
03	1.1652797	1.0781155	5.956884	0.090102434	0.08968568	709
03	1.6687287	1.6376865	5.549776	0.08916199	0.08908206	646
03	2.2905095	2.5050995	7.4125395	0.09093088	0.0873788	272
03	0.92256254	0.7353671	0.8328379	0.0927577	0.08722663	659
03	0.8709652	0.5144271	0.9711502	0.0976305	0.08654851	349
03	2.41125	2.4761145	5.814288	0.085111976	0.08479303	500
03	0.5194272	0.53066933	3.3295696	0.08403683	0.08402729	449
03	0.5384826	0.47667304	8.8389435	0.08155811	0.08126056	253
03	0.53527737	0.42376047	1.4945296	0.08181757	0.08095878	201
03	1.0789145	1.1245062	3.0066485	0.08029026	0.08016145	640
03	1.2814312	1.3227327	3.1160145	0.0783695	0.07823086	708
03	2.543875	2.4578252	0.9971126	0.07778567	0.07737833	606
03	2.6267436	2.4304156	0.51464677	0.08026928	0.075924635	403
03	0.8777479	0.9138977	1.302714	0.07565594	0.07555872	360
03	0.8569185	0.75763446	1.1012673	0.07632595	0.075514376	598
03	2.092762	2.339503	7.208685	0.07924342	0.07537973	493
03	0.7336239	0.49983907	0.6874882	0.08077359	0.07529211	522
03	2.5717096	2.6075988	0.7488216	0.07401049	0.07392585	507
03	1.6754267	1.532793	12.486105	0.07528943	0.07392287	644
03	0.5732347	0.62876487	0.6474788	0.07410872	0.07385343	726
03	2.688479	2.6751733	0.6018848	0.072481394	0.0724563	415
03	0.55551744	0.5256624	0.42627823	0.0724743	0.07231933	595
03	0.5520588	0.64172524	0.45179838	0.07321733	0.07219267	533
03	0.43608707	0.40235993	2.1472125	0.07208592	0.07201123	453
03	3.121782	0.22178029	7.920526	0.07621336	0.07162374	317
03	1.2104707	1.2870362	5.8497505	0.07195425	0.07155192	707
03	1.7890513	2.0034316	7.5822554	0.07439971	0.071112156	492
03	0.61756086	0.42545822	8.364622	0.07308626	0.07053858	254
03	1.0647542	1.3470922	5.326888	0.0748623	0.06905824	704
03	1.1567174	0.91498756	1.1164424	0.07259661	0.06773865	635
03	2.7076006	3.1145172	0.31484032	0.08905804	0.06697613	324
03	0.6741202	0.6848138	0.45571432	0.06637788	0.06636298	210
03	1.9630959	2.2856414	5.0171347	0.0725767	0.066188276	781
03	2.785676	2.5210123	0.58150446	0.07291949	0.06488764	580
03	0.5674827	0.5764564	0.68021494	0.06445581	0.064450204	154
03	0.42126372	0.3528314	9.736382	0.06454152	0.06422591	318
03	2.810131	2.9611204	0.3373476	0.07317644	0.06398648	667
03	2.6307662	2.6206686	0.8997698	0.06386471	0.063859224	212
03	0.9733164	0.8398986	1.4012055	0.0648641	0.06371105	563
03	2.6637664	2.6731586	0.56947803	0.06361276	0.06360501	327
03	0.97323406	0.68389094	2.9765878	0.06576198	0.063004136	778
03	1.6889104	1.7581366	8.90473	0.06318492	0.06288564	578
03	1.7444134	1.9329687	6.270216	0.06434572	0.0625155	581
03	2.779016	2.5011997	0.3706075	0.068724275	0.06139767	405
03	1.6582754	1.5095325	10.067995	0.06184876	0.060827732	647
03	0.9962052	0.58348775	5.3713737	0.065229654	0.05941218	602
03	1.3285167	1.0465468	1.1148514	0.06525719	0.059232235	645
03	2.778887	2.6996887	0.46356463	0.059414864	0.059042633	268
03	0.7154335	0.52455646	0.44497436	0.06227696	0.05808574	224
03	2.477195	2.5642529	0.85416824	0.058463454	0.058012843	715
03	0.72964865	0.6270207	1.4654965	0.058525085	0.05798316	192
03	2.3294868	2.4871688	3.2665105	0.058665514	0.057528317	780
03	0.5571705	0.62249666	0.3829085	0.0573079	0.05730927	524
03	0.66075444	1.027624	0.27656168	0.06657201	0.057243645	733
03	0.7757864	0.47157115	1.1444807	0.062743604	0.057240427	350
03	1.0309057	0.9219457	1.7115241	0.057678938	0.05700934	574
03	2.332801	2.7492895	0.43173966	0.075466275	0.056912065	725
03	2.640241	2.6598277	1.0518169	0.056319296	0.056283414	416
03	2.9192011	2.9633412	0.28880653	0.057227373	0.056050718	618
03	1.4909241	1.3914267	0.5681917	0.056557536	0.05597049	773
03	2.3661225	2.3625703	0.25729656	0.055914402	0.05591303	262
03	1.0649291	0.77846426	0.49757412	0.06446642	0.055716634	357
03	2.6717486	2.280818	0.4097074	0.066123486	0.05518818	329
03	1.472404	1.6278818	0.29071036	0.06417817	0.054403245	636
03	0.9676664	0.7542401	5.3731456	0.056464672	0.0542503	256
03	1.8683664	1.7497946	9.9021225	0.054369688	0.053704858	582
03	0.7201401	0.66508204	0.37668508	0.05337113	0.053088427	812
03	2.7137735	2.39179	0.3271238	0.06302768	0.052987337	149
03	1.9005367	2.1478531	5.6759157	0.055587888	0.052778423	412
03	0.5904108	0.48728812	0.49060676	0.053028047	0.052359164	594
03	0.1456542	0.50248927	1.050342	0.058998704	0.05137509	96
03	2.1802661	1.955009	5.3993034	0.052993715	0.050668657	491
03	1.4926547	1.4550139	7.151845	0.050495207	0.050507605	486
03	2.7805529	2.6776884	0.28756213	0.050816	0.04953003	651
03	1.9845488	2.2330344	6.2935815	0.052129507	0.049393952	202
03	2.7307796	2.8799202	0.2854656	0.052780032	0.049337864	328
03	0.3817705	0.95286167	0.30607167	0.06538707	0.049100578	425
03	1.0691501	0.89228684	2.5893495	0.049934804	0.048660994	570
03	0.19749726	0.59726816	0.7737236	0.057594717	0.048658013	351
03	0.83883876	0.65677303	0.46421006	0.051383674	0.048134446	530
03	2.9204276	2.9869287	0.34113127	0.050749183	0.047982514	676
03	2.563453	2.3215878	0.577355	0.050914347	0.047919095	548
04	0.7516291	0.8920624	6.0450125	0.16857266	0.16544461	551
04	2.2748873	2.4434364	4.2382903	0.16177148	0.15762538	490
04	0.012941396	0.07758984	1.1664904	0.15339345	0.15242147	182
04	1.1189094	1.2245253	0.7584597	0.1548658	0.15105009	607
04	0.61490434	0.62991375	10.07331	0.12458062	0.1245181	428
04	2.6156003	2.7450116	3.0602813	0.12028444	0.11849779	447
04	0.5792311	0.44310057	8.756183	0.10814178	0.10632062	282
04	2.356246	2.0934722	7.827991	0.11216766	0.10521877	226
04	1.0721112	1.2197719	0.35502753	0.10973841	0.10378468	603
04	0.94403064	1.0533762	5.056047	0.10489416	0.103692174	608
04	2.9529414	2.645935	0.8390569	0.118315995	0.10230851	278
04	0.82799405	0.6436421	8.236252	0.10465723	0.101603806	340
04	2.4437983	2.3834875	5.1732273	0.10126966	0.10097957	446
04	0.7042831	0.80962527	6.9715314	0.09665179	0.09565872	287
04	0.76972747	0.7328313	5.582886	0.09548682	0.0954175	547
04	1.2738256	1.3171628	0.6739948	0.09331685	0.092959404	554
04	3.037324	2.9724889	2.2392597	0.090130925	0.089717805	185
04	3.020139	2.972205	2.5210304	0.08910465	0.08887488	426
04	0.6345557	0.7752483	4.43429	0.08635306	0.08496982	324
04	2.7767234	2.6184618	0.49060816	0.09067392	0.08386165	406
04	2.044821	2.2448003	8.87897	0.08434737	0.08144677	355
04	0.79920036	0.8612952	4.8578014	0.08132559	0.08102256	596
04	0.12408932	0.075573094	0.81396896	0.08023924	0.07989484	488
04	0.25700313	0.5076632	12.694393	0.08468312	0.079784274	489
04	2.2776365	2.3381188	0.7684114	0.078750014	0.07836777	462
04	0.675496	0.5989399	1.1457866	0.07732266	0.07710785	98
04	0.47824928	0.5607448	2.2788892	0.07646698	0.07606375	487
04	0.8157126	0.6980894	3.6864316	0.07654315	0.075700045	94
04	0.56227475	0.5619999	0.51834935	0.07551277	0.07551181	595
04	0.60626364	0.60035086	7.1906404	0.07302749	0.07303518	375
04	2.2985027	2.0003338	4.5620136	0.07942349	0.07274032	445
04	1.3035843	1.4047719	0.85706586	0.07199472	0.07081777	556
04	0.32966554	0.4182496	0.36739004	0.071567774	0.07023597	542
04	2.2916546	2.103983	6.8604965	0.071691275	0.069747865	495
04	0.49322286	0.52761245	6.4384136	0.06844878	0.06839806	333
04	0.4141719	0.27985224	6.07209	0.069268525	0.06799567	133
04	1.2995033	1.1118051	0.40113324	0.07087201	0.06687224	245
04	2.9261255	3.0528743	0.71467555	0.07018179	0.06638992	384
04	1.4187253	1.4706522	1.235213	0.06613308	0.06584698	500
04	0.28681582	0.36969915	6.9459333	0.06464136	0.064165056	68
04	2.3824368	2.3302782	2.8316193	0.06424528	0.06413543	419
04	0.5545119	0.80958486	5.961127	0.06689894	0.063278794	325
04	3.1170866	0.17633584	0.47250554	0.068612576	0.061854064	137
04	0.9087291	2.0910122	0.5069585	0.07840991	0.06178695	604
04	0.25463906	0.46823677	8.075636	0.06307566	0.06042701	135
04	0.6220944	0.5729256	3.4249625	0.06053984	0.060377717	302
04	2.6106112	2.4840286	4.437344	0.061130166	0.060361207	497
04	0.18754943	0.51364374	1.1417922	0.06757486	0.060247958	339
04	0.66420954	0.44392756	12.095365	0.06762165	0.059982836	378
04	2.3466713	2.5953603	2.3910868	0.06317961	0.059831083	149
04	1.2000536	1.3131722	0.4620155	0.061424375	0.059760034	610
04	1.5051221	1.4513037	0.6705147	0.059689343	0.05928594	329
04	2.531836	2.5588703	0.3144454	0.059226394	0.059037566	397
04	2.7556663	2.7300553	0.5086849	0.058869243	0.058817625	188
04	0.4577944	0.36090565	0.58312684	0.058941364	0.058288038	69
04	1.4999086	1.4771202	0.5339227	0.058277607	0.05822879	450
04	1.413344	1.5202622	1.2086853	0.058264792	0.057492554	555
04	1.0039848	1.2894825	0.32214135	0.09059602	0.05738288	652
04	1.3956262	1.3253821	1.0534126	0.056947708	0.056647956	559
04	1.6723034	2.1703708	6.1957216	0.07080555	0.056376517	351
04	0.2332878	0.15500537	0.95133287	0.056779206	0.05636376	290
04	0.2899785	0.27046397	6.500849	0.055790603	0.05575925	491
04	0.79934716	0.73701215	5.9530296	0.054828107	0.054653704	363
04	2.7799375	2.7315001	1.250097	0.05459875	0.054380655	327
04	2.4285579	2.332975	3.9933033	0.053281248	0.05298984	467
04	0.80657035	0.92493665	0.48227897	0.054078102	0.052690804	541
04	1.3392187	1.6861955	1.3118715	0.060799837	0.05242735	662
04	1.9627534	1.8432528	4.3302827	0.053180575	0.052411437	242
04	0.09341077	3.0735548	0.42531958	0.05620432	0.051956296	100
04	2.6816237	2.658195	0.3629024	0.051632583	0.05156207	402
04	1.5351065	1.5742595	0.27983963	0.05099553	0.05070603	252
04	0.58810645	0.24982804	1.139997	0.053237796	0.050583303	337
04	2.3503647	2.41759	6.5535502	0.0498302	0.04963225	408
04	0.91883296	1.1281441	0.79753464	0.05265677	0.049517572	103
04	2.4174218	2.2973723	5.8632655	0.049823403	0.049190164	141
04	1.2597967	1.3658133	0.82068133	0.049355924	0.048737586	613
04	1.0813934	1.2765929	0.3034433	0.05747944	0.048493385	654
04	2.1410112	1.7670294	0.3992791	0.062328756	0.048390508	228
04	2.849161	2.6265461	0.7745518	0.050168097	0.04832846	184
04	0.20044975	0.34758306	0.122437835	0.0664562	0.047498405	496
04	0.57090074	0.88584465	4.634324	0.051284015	0.04695493	267
