subject	session	mapping	run	trial_nr	orientation	onset_ms	duration_ms	amplitude_deg	direction_deg	peak_vel_deg_s
01	1	inverse_cdf	1	1	112.5	266.0	28.0	2.135576477850724	4.847995252629843	243.98696002992716
01	1	inverse_cdf	1	8	90.0	666.0	6.0	0.4520855347413803	48.094312178632606	81.71629510565526
01	1	inverse_cdf	1	16	60.0	126.0	6.0	0.5761502688537662	173.78560951286954	82.15865443022564
01	1	inverse_cdf	1	20	165.0	6.0	4.0	0.2801446926659962	-23.112157539573747	67.54122276921603
01	1	inverse_cdf	1	23	150.0	162.0	20.0	0.2694604613266128	117.9698565870202	95.85381287617072
01	1	inverse_cdf	1	23	150.0	654.0	28.0	0.5470164638743131	39.27839863304834	137.42894437693136
01	1	inverse_cdf	1	23	150.0	942.0	6.0	0.7515622486662932	169.30242255687426	106.67127074120313
01	1	inverse_cdf	2	25	112.5	588.0	20.0	0.08206009964622049	163.74428476495575	92.38996264171243
01	1	inverse_cdf	2	31	172.5	352.0	4.0	0.44345954754207495	43.20808833828449	101.09752966294667
01	1	inverse_cdf	2	39	120.0	578.0	6.0	0.44180599532494086	154.00484529714984	75.36494962845316
01	1	inverse_cdf	2	41	142.5	4.0	4.0	0.45359411285796214	160.1160086001694	102.90581179843014
01	1	inverse_cdf	2	43	45.0	594.0	24.0	0.07576604623321137	-4.9699416193018235	110.06251575909363
01	1	inverse_cdf	2	45	127.5	670.0	6.0	0.5902509515582494	-7.188222131438557	90.30894844460339
01	1	inverse_cdf	3	47	45.0	264.0	16.0	2.933262898736004	-4.138526830803269	263.8159401433611
01	1	inverse_cdf	3	47	45.0	448.0	6.0	0.6307869496266378	162.12227285496073	107.44793899721107
01	1	inverse_cdf	3	54	15.0	694.0	4.0	0.3482141512676459	21.85757786539278	77.30208527612062
01	1	inverse_cdf	3	56	52.5	894.0	4.0	0.37086833704406497	13.304485401881372	81.1433129652742
01	1	inverse_cdf	3	61	127.5	768.0	4.0	0.3481785740497782	130.21527819946945	89.66093131888394
01	1	inverse_cdf	3	63	60.0	194.0	4.0	0.3180978256965489	5.3284019165174055	68.70513218282271
01	1	inverse_cdf	3	63	60.0	754.0	18.0	0.03687508617381371	-147.72485739068551	73.20779274963841
01	1	inverse_cdf	3	66	165.0	364.0	16.0	0.33876783808411753	66.30073247575358	95.07934606765495
01	1	inverse_cdf	3	67	22.5	66.0	4.0	0.624478142254599	96.63853680212209	128.76569653574745
01	1	inverse_cdf	4	70	165.0	322.0	26.0	2.2708626909080203	5.681004436668399	239.26441858732076
01	1	inverse_cdf	4	73	142.5	576.0	8.0	0.7750978774253322	27.763721286581468	109.84606058207486
