subject	session	condition	value	sd_E	variant
03	2	cdf	33.0	5.088181778145742	spherical_dense
03	2	cdf	34.0	5.37938670067935	spherical_dense
03	2	cdf	36.0	5.287427106146832	spherical_dense
03	2	cdf	38.5	5.388418710025545	spherical_dense
04	1	cdf	5.5	1.0071890242923798	spherical_dense
04	1	cdf	8.0	2.944746380211409	spherical_dense
04	1	cdf	10.0	1.7914213778169314	spherical_dense
04	1	cdf	11.0	1.8072426051431	spherical_dense
04	1	cdf	11.5	1.6795727023888507	spherical_dense
04	1	cdf	12.0	1.8025901171052614	spherical_dense
04	1	cdf	12.5	2.1516720229771518	spherical_dense
04	1	cdf	13.0	2.401485767993328	spherical_dense
04	1	cdf	14.0	2.5562536331748458	spherical_dense
04	1	cdf	16.0	2.8131734193651234	spherical_dense
04	1	cdf	18.5	2.4227697123353757	spherical_dense
04	1	cdf	22.0	2.923588047109766	spherical_dense
04	1	cdf	25.5	3.569726065932682	spherical_dense
04	1	cdf	28.0	3.107266693533083	spherical_dense
04	1	cdf	30.0	1.7061851028598556	spherical_dense
04	1	cdf	31.0	1.5721125623542804	spherical_dense
04	1	cdf	31.5	1.938687848005235	spherical_dense
04	1	cdf	32.0	2.0534063874610085	spherical_dense
04	1	cdf	32.5	1.99342886959352	spherical_dense
04	1	cdf	33.0	2.184013845588613	spherical_dense
04	1	cdf	34.0	2.3254176400372804	spherical_dense
04	1	cdf	36.0	2.350983896211172	spherical_dense
04	1	cdf	38.5	2.025839718532363	spherical_dense
04	2	inverse_cdf	2.5	2.6316069754877	spherical_dense
04	2	inverse_cdf	3.0	2.363778890778726	spherical_dense
04	2	inverse_cdf	4.0	3.261529423668176	spherical_dense
04	2	inverse_cdf	5.0	3.1151643297031115	spherical_dense
04	2	inverse_cdf	7.5	3.101244904415569	spherical_dense
04	2	inverse_cdf	11.5	3.050934998179414	spherical_dense
04	2	inverse_cdf	16.0	3.244732779348695	spherical_dense
04	2	inverse_cdf	18.5	4.279787156430146	spherical_dense
04	2	inverse_cdf	20.0	5.084229927116977	spherical_dense
04	2	inverse_cdf	21.0	4.897216379928971	spherical_dense
04	2	inverse_cdf	21.5	5.194372485131452	spherical_dense
04	2	inverse_cdf	22.0	4.655863420867901	spherical_dense
04	2	inverse_cdf	22.5	5.1402889583692986	spherical_dense
04	2	inverse_cdf	23.0	4.715117119646003	spherical_dense
04	2	inverse_cdf	24.0	4.147014766025542	spherical_dense
04	2	inverse_cdf	25.5	4.441748211275734	spherical_dense
04	2	inverse_cdf	28.0	3.312172932222041	spherical_dense
04	2	inverse_cdf	32.5	3.415342213509231	spherical_dense
04	2	inverse_cdf	36.5	3.8629893960737873	spherical_dense
04	2	inverse_cdf	39.0	2.9528706941971508	spherical_dense
04	2	inverse_cdf	40.0	2.975699412330164	spherical_dense
04	2	inverse_cdf	41.0	2.5062301938192473	spherical_dense
04	2	inverse_cdf	41.5	2.2448856225835296	spherical_dense
05	1	inverse_cdf	2.5	7.444868545648292	spherical_dense
05	1	inverse_cdf	3.0	7.386034249960483	spherical_dense
05	1	inverse_cdf	4.0	6.9130630697273485	spherical_dense
05	1	inverse_cdf	5.0	6.8406058162854695	spherical_dense
05	1	inverse_cdf	7.5	6.067083092100355	spherical_dense
05	1	inverse_cdf	11.5	5.751558889530095	spherical_dense
05	1	inverse_cdf	16.0	4.887763770449595	spherical_dense
05	1	inverse_cdf	18.5	1.2053835273718434	spherical_dense
05	1	inverse_cdf	20.0	1.1734570088154885	spherical_dense
05	1	inverse_cdf	21.0	2.839024085913361	spherical_dense
05	1	inverse_cdf	21.5	3.5419108806008546	spherical_dense
05	1	inverse_cdf	22.0	3.4064310532048827	spherical_dense
05	1	inverse_cdf	22.5	3.4840165777349594	spherical_dense
05	1	inverse_cdf	23.0	3.9923644852768327	spherical_dense
05	1	inverse_cdf	24.0	4.571751659416271	spherical_dense
05	1	inverse_cdf	25.5	4.232796602893789	spherical_dense
05	1	inverse_cdf	28.0	1.685021422433035	spherical_dense
05	1	inverse_cdf	32.5	5.041005483077133	spherical_dense
05	1	inverse_cdf	36.5	6.344930375634058	spherical_dense
05	1	inverse_cdf	39.0	6.746495655437453	spherical_dense
05	1	inverse_cdf	40.0	6.642509381900828	spherical_dense
05	1	inverse_cdf	41.0	6.906674824149037	spherical_dense
05	1	inverse_cdf	41.5	7.006544950179852	spherical_dense
05	2	cdf	5.5	4.495039427590469	spherical_dense
05	2	cdf	8.0	4.026034597994746	spherical_dense
05	2	cdf	10.0	3.897882077963167	spherical_dense
05	2	cdf	11.0	3.466377182462262	spherical_dense
05	2	cdf	11.5	3.487235599482862	spherical_dense
05	2	cdf	12.0	3.4434185429317923	spherical_dense
05	2	cdf	12.5	3.4574114457123177	spherical_dense
05	2	cdf	13.0	3.231849170844373	spherical_dense
05	2	cdf	14.0	3.2899409710878604	spherical_dense
05	2	cdf	16.0	3.361725205130507	spherical_dense
05	2	cdf	18.5	3.104546881577125	spherical_dense
05	2	cdf	22.0	2.190439713354468	spherical_dense
05	2	cdf	25.5	3.8396076699314667	spherical_dense
05	2	cdf	28.0	4.36424683935971	spherical_dense
05	2	cdf	30.0	3.7804960313930507	spherical_dense
05	2	cdf	31.0	0.793151005550631	spherical_dense
05	2	cdf	31.5	0.2995103510797343	spherical_dense
05	2	cdf	32.0	0.43656817389868113	spherical_dense
05	2	cdf	32.5	0.4132473728487246	spherical_dense
05	2	cdf	33.0	0.5121810165783499	spherical_dense
05	2	cdf	34.0	1.6177813702761208	spherical_dense
05	2	cdf	36.0	5.428278071337765	spherical_dense
05	2	cdf	38.5	5.252179711766288	spherical_dense
06	1	cdf	5.5	4.800911327688147	spherical_dense
06	1	cdf	8.0	4.836780300765507	spherical_dense
06	1	cdf	10.0	4.677775646691826	spherical_dense
