session	run	trial_nr	true	decoded	subject	quantity	roi
1	1	1	1.701696	2.738196719401826	03	gabor	BensonV1
1	1	2	1.1780972	0.9024695835673536	03	gabor	BensonV1
1	1	3	1.0471976	2.2938136588735656	03	gabor	BensonV1
1	1	4	0.7853982	0.25802930006259706	03	gabor	BensonV1
1	1	5	2.7488935	2.739767505874978	03	gabor	BensonV1
1	1	6	0.65449846	0.6004653726676907	03	gabor	BensonV1
1	1	7	2.2252948	1.483145580943965	03	gabor	BensonV1
1	1	8	2.6179938	2.7262784705048437	03	gabor	BensonV1
1	1	9	1.4398966	2.012039189421319	03	gabor	BensonV1
1	1	10	0.1308997	0.7980245154611082	03	gabor	BensonV1
1	1	11	0.91629785	0.37322931059557996	03	gabor	BensonV1
1	1	12	2.4870942	2.4632482799457343	03	gabor	BensonV1
1	1	13	0.3926991	0.6004544140485153	03	gabor	BensonV1
1	1	14	0.2617994	0.23472437036860117	03	gabor	BensonV1
1	1	15	1.8325957	1.2482884501577953	03	gabor	BensonV1
1	1	16	2.3561945	2.71586305701505	03	gabor	BensonV1
1	1	17	2.0943952	0.23684562509697465	03	gabor	BensonV1
1	1	18	1.9634954	0.1690385739361024	03	gabor	BensonV1
1	1	19	1.5707964	1.5576417598519714	03	gabor	BensonV1
1	1	20	1.3089969	1.0191653540056849	03	gabor	BensonV1
1	1	21	3.010693	2.744972291204483	03	gabor	BensonV1
1	1	22	0.5235988	0.17559424885503927	03	gabor	BensonV1
1	1	23	2.8797932	2.7043313687262653	03	gabor	BensonV1
1	2	24	0.3926991	0.934752706522383	03	gabor	BensonV1
1	2	25	1.5707964	1.35353925626268	03	gabor	BensonV1
1	2	26	2.0943952	1.759853522203078	03	gabor	BensonV1
1	2	27	2.6179938	2.6063565217788844	03	gabor	BensonV1
1	2	28	1.0471976	0.27681557615070135	03	gabor	BensonV1
1	2	29	0.1308997	0.23418331134034917	03	gabor	BensonV1
1	2	30	2.8797932	2.874864444483438	03	gabor	BensonV1
1	2	31	1.3089969	0.8869039129106584	03	gabor	BensonV1
1	2	32	2.7488935	0.2677658573447993	03	gabor	BensonV1
1	2	33	2.3561945	2.4082086671428495	03	gabor	BensonV1
1	2	34	1.9634954	2.414364223554827	03	gabor	BensonV1
1	2	35	1.8325957	2.0456557477782034	03	gabor	BensonV1
1	2	36	0.65449846	0.8669196724013836	03	gabor	BensonV1
1	2	37	0.5235988	1.3837841941980151	03	gabor	BensonV1
1	2	38	1.701696	1.8064565158602728	03	gabor	BensonV1
1	2	39	1.1780972	2.105396971196979	03	gabor	BensonV1
1	2	40	2.2252948	2.8733542329411113	03	gabor	BensonV1
1	2	41	1.4398966	1.26394566002012	03	gabor	BensonV1
1	2	42	0.7853982	0.49898683714007586	03	gabor	BensonV1
1	2	43	2.4870942	2.279078355302077	03	gabor	BensonV1
1	2	44	3.010693	1.7210871120171425	03	gabor	BensonV1
1	2	45	0.2617994	2.87913478825983	03	gabor	BensonV1
1	2	46	0.91629785	1.4519868006186323	03	gabor	BensonV1
1	3	47	2.3561945	1.0761585879248206	03	gabor	BensonV1
1	3	48	2.8797932	1.4349957544981635	03	gabor	BensonV1
1	3	49	2.0943952	1.884799144412136	03	gabor	BensonV1
1	3	50	1.3089969	0.25973498669607076	03	gabor	BensonV1
1	3	51	2.2252948	2.3717959280953687	03	gabor	BensonV1
1	3	52	0.2617994	0.20654344991856607	03	gabor	BensonV1
1	3	53	0.3926991	0.8067104086746599	03	gabor	BensonV1
1	3	54	1.4398966	2.4977557945498563	03	gabor	BensonV1
1	3	55	1.9634954	1.062108397787553	03	gabor	BensonV1
