variant	test	n	r	sem	t	p
Full noise, presented values	across values	28	-0.609929210984216	0.041703117978683986	-14.625506210254438	2.3695201254889373e-14
Full noise, presented values	same orientation	28	-0.4643792170410482	0.03296010735003781	-14.089129386300847	5.804365556821153e-14
Spherical, presented values	across values	28	-0.1895524376778806	0.06785675287087	-2.7934203989777546	0.009472512130993736
Spherical, presented values	same orientation	28	-0.22107541933977276	0.07085840623472844	-3.11996037008551	0.004273124160785321
Spherical, dense grid	across values	30	-0.16899358287642724	0.06586983909452516	-2.565568478676811	0.01573492543637464
Spherical, dense grid	same orientation	30	-0.19575270842946932	0.06585481155822671	-2.9724890831460513	0.00588924216313717
Spherical, dense grid, objective prior	across values	24	0.08296962398286785	0.08005345698906324	1.0364277459523457	0.310777141137722
Spherical, dense grid, objective prior	same orientation	24	-0.011222968441407688	0.0780374092998166	-0.1438152360785004	0.8868990234807692
