subject	behav_sd	behav_mae	npcr_val_r	v1_val_r	v1_ori_r	npcr_ori_r	tuned_aprf	tuned_vonmises	mean_fd	log_tuned_vonmises	log_tuned_aprf	behav_sd_cdf	behav_sd_invcdf	behav_shift	behav_shift_abs	bias_profile_r	bias_profile_rmsd	prec_profile_r	prec_profile_rmsd	behav_shift_norm	n_shift_vox	mean_shift	mean_abs_shift	median_abs_shift	mode_r	frac_outward	outward_index	slope_cdf	slope_invcdf	reg_cdf	reg_invcdf	bias_cdf	bias_invcdf	reg_mean	bias_mean	reg_diff	bias_diff	npcr_sd_cdf	npcr_sd_invcdf	v1_sd_cdf	v1_sd_invcdf	npcr_sd_diff	v1_sd_diff	mean_bias_cdf	mean_bias_invcdf	mean_bias	npcr_sd_mean	v1_sd_mean	bias_diff_cond	sd_diff_cond
3	3.0657923665970044	2.1645962732919255	0.3151380110103906	0.537231905333253	-0.2445712607299213	-0.1181002894332825	753.0	696.0	0.1175437817361019	2.842609239610562	2.876794976200701	2.704812924978159	3.3945696900348272	-0.6897567650566683	0.6897567650566683	0.1874195009053519	2.736474050844892	0.2735986955538032	1.6396186799260954	-0.0102362303173559	104	-0.3511672019958496	12.636188507080078	8.465742111206055	0.0924591869115829	0.3942307692307692	-0.1057692307692307	1.0221981284777724	0.919135098687176	-0.0221981284777723	0.0808649013128239	-0.3117283950617284	-0.221875	0.0293333864175258	-0.2668016975308642	-0.1030630297905963	-0.0898533950617284	4.716384561054958	5.046893428864141	0.1346670845928399	0.1282555379945298	-0.3305088678091836	0.00641154659831	1.112215320910973	2.3589544513457557	1.7355848861283645	4.88163899495955	0.1314613112936848	-1.2467391304347826	-0.6897567650566683
4	1.9622750861783005	1.141768292682927	0.4330104576373574	0.7139578372528463	0.119723219507707	0.3238674778565668	802.0	3602.0	0.0787552606355335	3.5565437084835145	2.9041743682841634	1.230173379137391	2.422996882532993	-1.1928235033956018	1.1928235033956018	0.2405133029099169	1.8267034220536087	-0.0076298725267618	1.275087965457401	-0.0766467363229597	241	-5.06162166595459	12.46013355255127	9.845319747924805	0.241896390914917	0.4625	-0.0374999999999999	0.9780931363536264	0.980596162836326	0.0219068636463737	0.0194038371636739	0.0324675324675324	-0.4913793103448275	0.0206553504050238	-0.2294558889386475	0.0025030264826997	0.52384684281236	2.2428858236480305	3.633368996588496	0.1665647324660549	0.1678609760559123	-1.3904831729404652	-0.0012962435898573	0.534963768115942	1.3466614906832295	0.940812629399586	2.9381274101182635	0.1672128542609836	-0.8116977225672874	-1.1928235033956018
5	1.600212441688788	0.8980446927374302	0.0690379495517578	0.6448727627818884	0.688504271576642	-0.0059296638837891	816.0	2825.0	0.1348513191896114	3.4510184521554574	2.9116901587538613	0.8493328798777774	2.1066992709406382	-1.257366391062861	1.257366391062861	-0.1956740761769909	1.3218885302212415	-0.0870396059953858	1.497066582843627	-0.0902883816765298	282	-7.412959575653076	13.750325202941896	12.73337745666504	-0.0041359341703355	0.3049645390070922	-0.1950354609929078	1.006076968102212	0.9826817085386864	-0.0060769681022121	0.0173182914613136	-0.0302197802197802	-0.2102272727272727	0.0056206616795507	-0.1202235264735264	-0.0233952595635258	0.1800074925074925	3.0592281557294867	4.928716070892316	0.1239027358267617	0.1561986574012299	-1.869487915162829	-0.0322959215744682	0.3299689440993789	0.8632246376811594	0.5965967908902692	3.9939721133109014	0.1400506966139958	-0.5332556935817805	-1.257366391062861
6	1.6103161929042635	0.971641791044776	0.4200714357985927	0.8296300256714699	0.8794031918595447	0.1601690091208426	3586.0	5560.0	0.1001597816218693	3.7450747915820575	3.554610285226164	1.228688663270917	1.9062856366768777	-0.6775969734059606	0.6775969734059606	0.0310951404839329	1.481038521748668	0.291144138946633	1.0259560422678684	-0.0362521856291874	275	-13.13412094116211	22.317386627197266	17.765018463134766	-0.0345857813954353	0.218978102189781	-0.2810218978102189	1.0439781228358764	1.0082404421678677	-0.0439781228358764	-0.0082404421678674	-0.4386503067484663	-0.5290697674418605	-0.0261092825018719	-0.4838600370951634	-0.0357376806680089	0.0904194606933942	4.4846840571671285	4.423716929404495	0.0557285341555657	0.0390859651581748	0.0609671277626331	0.0166425689973908	0.592391304347826	0.8357919254658385	0.7140916149068323	4.454200493285812	0.0474072496568702	-0.24340062111801242	-0.6775969734059606
7	3.0281354061391883	2.4927953890489913	0.2308871295657424	0.6054807810221141	0.1785824240471834	0.0762429578981979	424.0	364.0	0.1056159523438134	2.561101383649056	2.6273658565927325	1.0203131243344008	3.275806632099808	-2.255493507765407	2.255493507765407	0.0222158407001894	4.554006418755625	-0.0677113597002058	1.155157560469332	-0.1680228063746151	136	10.3045015335083	15.218241691589355	11.57363510131836	-0.1135498136281967	0.2647058823529412	-0.2352941176470588	0.9801279520554004	0.838563903415345	0.0198720479445997	0.1614360965846549	0.2046783625730994	0.5681818181818182	0.0906540722646273	0.3864300903774588	-0.1415640486400552	-0.3635034556087188	4.489656996636591	4.288988158788842	0.1167116566844608	0.1620485031086465	0.2006688378477488	-0.0453368464241857	0.5446428571428572	4.001552795031056	2.273097826086957	4.389322577712717	0.1393800798965536	-3.456909937888199	-2.255493507765407
8	3.215736472171803	2.1843657817109143	0.3058507418993542	0.7294234455832458	0.3058547517426545	0.2974404308323728	1141.0	979.0	0.0997840407257747	2.9907826918031377	3.0572856444182146	2.4197495905877577	3.818908021340812	-1.399158430753054	1.399158430753054	-0.0817837365930154	3.286460006855965	0.046891124704647	2.0532931575874405	-0.073984175741381	136	-0.5468395352363586	12.202629089355469	9.127592086791992	0.300060361623764	0.3897058823529412	-0.1102941176470588	1.0445282711551718	0.974271723276628	-0.0445282711551717	0.0257282767233719	-0.3343195266272189	-0.9882352941176472	-0.0093999972158999	-0.661277410372433	-0.0702565478785437	0.6539157674904281	4.3619793511934475	4.500199919150774	0.124446571521137	0.1294420264337373	-0.1382205679573269	-0.0049954549126003	1.24805900621118	2.215709109730849	1.7318840579710144	4.4310896351721105	0.1269442989774371	-0.9676501035196687	-1.3991584307530545
9	2.443461164474707	1.6038781163434903	0.383780408818671	0.7346946832558496	0.7596228374232556	0.2227693764917633	888.0	3821.0	0.1149965040415593	3.582177037688409	2.948412965778601	1.6859383049443344	2.878971631265456	-1.1930333263211217	1.1930333263211217	0.0181095593264611	2.827618220402982	0.4688367752722583	1.220042640115408	-0.0718939033696019	199	4.48758602142334	10.83437442779541	10.415570259094238	0.3093322515487671	0.3181818181818182	-0.1818181818181818	1.051563750529317	1.0211762567359228	-0.0515637505293169	-0.0211762567359228	-0.4558011049723757	-0.9305555555555556	-0.0363700036326198	-0.6931783302639656	-0.0303874937933941	0.4747544505831799	3.1218637703723995	5.129034065036643	0.1087606844046841	0.1459771077270092	-2.007170294664243	-0.0372164233223251	1.2461180124223603	1.329968944099379	1.2880434782608696	4.125448917704521	0.1273688960658466	-0.08385093167701863	-1.1930333263211215
10	2.5853785940546095	1.7646239554317549	0.4051455362126704	0.4912385779548135	-0.3808444737766055	0.2089699907538081	1220.0	1047.0	0.1150148939595392	3.0199466816788423	3.0863598306747484	1.8232434680284115	3.151716137846687	-1.3284726698182754	1.3284726698182754	0.3464372742042892	1.99313475674818	-0.0376561262878018	1.8071767994626375	-0.0789358443285695	176	-0.9825252294540404	12.816725730895996	8.483358383178711	0.105989970266819	0.3522727272727273	-0.1477272727272727	1.053860557033146	0.978818287377433	-0.053860557033146	0.0211817126225669	-0.6779661016949152	-0.4423076923076923	-0.0163394222052895	-0.5601368970013038	-0.075042269655713	-0.2356584093872229	4.197248522073555	4.510631481051259	0.1291141863102498	0.1182478335888489	-0.3133829589777042	0.0108663527214008	1.0480072463768118	1.484472049689441	1.2662396480331264	4.353940001562407	0.1236810099495493	-0.43646480331262927	-1.3284726698182754
11	1.7725641764957492	1.1974789915966386	0.2295811869078643	0.7732669996003279	0.7631765013760596	0.2455467727867056	994.0	1966.0	0.1258539895293413	3.2935835134961167	2.997386384397313	0.9957783817875138	2.3169739978026307	-1.321195616015117	1.321195616015117	-0.4610555906717896	2.2930457017434125	0.1963459718326706	0.6848959069572315	-0.0922891458375149	261	-3.964195489883423	8.479267120361328	6.260337829589844	0.379574567079544	0.4038461538461538	-0.0961538461538461	1.0094431646430837	0.9691876828794396	-0.0094431646430834	0.0308123171205603	-0.0607734806629834	-0.6448863636363636	0.0106845762387384	-0.3528299221496735	-0.0402554817636438	0.5841128829733803	3.509107408043852	5.346241764309933	0.2190347466131915	0.1951323161306588	-1.837134356266081	0.0239024304825327	0.4254658385093168	1.5842391304347827	1.0048524844720497	4.4276745861768925	0.2070835313719251	-1.1587732919254659	-1.321195616015117
12	1.4483298911508522	0.7544378698224852	0.3468759092463566	0.6805905018358656	0.5944121245439536	-0.0958822427653014	2107.0	17314.0	0.1006480706671031	4.2383974131812705	3.3236645356081	0.8645373290209057	1.8541047678273352	-0.9895674388064296	0.9895674388064296	0.2903309681485767	1.1375942593931454	-0.0677432425740057	1.313440511695398	-0.0705844186857013	360	4.498373508453369	15.19041633605957	11.387051582336426	0.0703179985284805	0.4277777777777777	-0.0722222222222222	0.9849617630290756	0.9624014048443954	0.0150382369709243	0.0375985951556046	0.1636904761904762	0.35	0.0263184160632644	0.256845238095238	-0.0225603581846802	-0.1863095238095237	3.3794576937458847	4.772291302979274	0.122528182423633	0.1174421997173972	-1.392833609233389	0.0050859827062358	0.4120082815734989	0.6702380952380952	0.5411231884057971	4.075874498362579	0.1199851910705151	-0.2582298136645963	-0.9895674388064295
