session	run	trial_nr	subject	mapping	response	value	orientation	rt	error	abs_error	v1_ori_post_mean	v1_ori_post_sd	v1_ori_decode_error	v1_ori_abs_decode_error	npcr_ori_post_mean	npcr_ori_post_sd	npcr_ori_decode_error	npcr_ori_abs_decode_error	v1_val_post_mean	v1_val_post_sd	v1_val_decode_error	v1_val_abs_decode_error	npcr_val_post_mean	npcr_val_post_sd	npcr_val_decode_error	npcr_val_abs_decode_error	response_resid	rt_resid	error_resid	abs_error_resid	v1_ori_post_mean_resid	v1_ori_post_sd_resid	v1_ori_decode_error_resid	v1_ori_abs_decode_error_resid	npcr_ori_post_mean_resid	npcr_ori_post_sd_resid	npcr_ori_decode_error_resid	npcr_ori_abs_decode_error_resid	v1_val_post_mean_resid	v1_val_post_sd_resid	v1_val_decode_error_resid	v1_val_abs_decode_error_resid	npcr_val_post_mean_resid	npcr_val_post_sd_resid	npcr_val_decode_error_resid	npcr_val_abs_decode_error_resid
1	1	1	3	inverse_cdf		22.5	97.5				155.14666272338417	6.856854664019467	57.646663909090016	57.646663909090016	157.64282001744456	15.431400391317624	60.14282120315043	60.14282120315043	28.342675344035595	3.0559165357164932	5.8426753440355945	5.8426753440355945	37.47655649257496	3.0630023368617927	14.976556492574957	14.976556492574957					68.21441330490565	-1.758647646412955	68.21441330490563	30.367242861777235	59.19986379113955	-2.9472189837561693	59.19986379113956	14.803797569869765	4.854741955502302	0.5816165896505865	4.854741955502302	1.978997541820315	12.59420751627989	-2.008346615057941	12.59420751627989	7.547568728766915
1	1	2	3	inverse_cdf	18.5	20.0	67.5	2.3688047999994524	-1.5	1.5	54.47123160801092	3.8551153848252593	-13.028765808168734	13.028765808168734	40.39916560999465	4.814520924552717	-27.100831806185013	27.100831806185013	17.16825740325589	1.3296189811841688	-2.8317425967441103	2.8317425967441103	7.728760130040877	1.9713129461629342	-12.271239869959123	12.271239869959123	1.1428571428571423	-0.5133030000003731	1.1428571428571428	-1.1428571428571428	-30.368139137067296	-10.735541039159273	-30.36813913706728	-23.7914511474088	-27.80694874095476	-10.069314766902185	17.193051259045227	-31.582215634218088	-3.526501003053596	-1.2316536956222948	-3.5265010030535953	-3.742112342617814	-12.239994038470966	-3.0067437565942345	-12.239994038470968	2.434338017209564
1	1	3	3	inverse_cdf		18.5	60.0				78.25343524218565	32.806414778260844	18.25343244595666	18.25343244595666	143.3059988161837	3.9551524816935566	83.3059960199547	83.3059960199547	21.602628807814593	8.620998737809815	3.102628807814593	3.102628807814593	35.81989635103221	4.10937432421482	17.319896351032213	17.319896351032213					13.96683156696561	21.720011315933434	13.966831566965606	0.8701368606559541	76.92935976733925	-22.335735843161217	76.92935976733925	39.27278522689956	5.4061017056597755	4.454591288431297	5.4061017056597755	-2.2448551308102935	17.139906492936717	0.03119359545904654	17.139906492936717	8.917214784327646
1	1	4	3	inverse_cdf	15.0	11.5	45.0	3.002721300000303	3.5	3.5	18.038118457554063	4.5355004990606425	-26.961883639617668	26.961883639617668	142.1606205118932	6.368170094074389	-82.83938158527853	82.83938158527853	6.119404986525542	3.071553824341637	-5.380595013474458	5.380595013474458	35.28106316332939	5.560063993352812	23.781063163329392	23.781063163329392	2.0	0.2439679125003522	2.0	0.875	-22.017563784894854	-3.9979152070078428	-22.01756378489485	10.271289353648868	52.19180934444647	-10.30552001417917	-60.308190655553524	38.90342316732855	-4.874885173105999	0.6002415274844832	-4.874885173106	2.005408186814161	12.344842818537241	0.88040999395455	12.344842818537241	10.938266713910009
1	1	5	3	inverse_cdf	37.5	40.0	157.5	2.435524699999405	-2.5	2.5	157.2318078633842	1.8080661762158943	-0.26818801756095584	0.26818801756095584	41.00237480902988	6.564361334854425	63.50237892808472	63.50237892808472	32.44450675780695	2.7123241896980756	-7.555493242193052	7.555493242193052	8.444534870839748	1.6344321579857206	-31.555465129160254	31.555465129160254	-0.1875	0.2824251624995213	-0.1875	0.1875	42.91744693118363	-10.438628481240944	-2.0825530688163654	-27.24993761116535	-89.49959284622267	-3.3242407537860146	68.00040715377735	39.283143579546945	4.607155733823845	-0.14438773697339613	4.607155733823845	-4.607155733823845	-18.555158826610864	-2.8645627662334547	-18.555158826610864	18.555158826610864
1	1	6	3	inverse_cdf	18.0	7.5	37.5	3.2195612000004985	10.5	10.5	30.02083786877812	4.20520334056358	-7.479161587033816	7.479161587033816	28.598345657437473	14.976533750050665	-8.901653798374456	8.901653798374456	10.70273044496198	1.1282729975111419	3.202730444961979	3.202730444961979	7.994388941385742	6.177626239956461	0.49438894138574163	0.49438894138574163	7.875	0.5486602125002946	7.875	7.625	-35.84925592628005	-1.961989484651359	9.150744073719952	-26.751877158793974	-47.13439753903339	3.308081350058467	-2.1343975390333814	-30.09236522152603	-5.068410559528829	-3.2705823227837287	-5.068410559528829	-6.824047309898241	-10.1470713056113	-0.05720779954877209	-10.1470713056113	-10.1470713056113
1	1	7	3	inverse_cdf	35.0	28.0	127.5	2.9193467000004603	7.0	7.0	89.83120832295005	9.925817904244793	-37.66879188945857	37.66879188945857	157.84213021039778	5.442831850796808	30.342129997989172	30.342129997989172	25.665436965400154	1.8415171850976955	-2.334563034599846	2.334563034599846	31.03588534431495	6.625403782983234	3.0358853443149485	3.0358853443149485	1.6875	0.6149218750003911	1.6875	1.6875	-28.794473971281306	-5.1558360371020715	-28.794473971281302	4.984612697088899	81.95964392267167	-8.113199946458497	59.459643922671674	-26.811406266710794	-2.278646787743128	-3.9175621368259814	-2.2786467877431287	-3.0642917591752274	9.747603525672094	1.7859345174107144	9.747603525672094	-4.8921228980134375
1	1	8	3	inverse_cdf	34.0	39.0	150.0	2.819294500000069	-5.0	5.0	154.46957256715856	3.7761136191747884	4.469577035742039	4.469577035742039	103.73931653598021	19.111893512701524	-46.26067899543632	46.26067899543632	35.7774372457836	1.4867273647267185	-3.2225627542163977	3.2225627542163977	22.317379630558086	0.7879597350669549	-16.682620369441914	16.682620369441914	-1.9285714285714306	0.10189405714312949	-1.9285714285714284	1.9285714285714284	32.86262239057882	-14.408465095131943	10.36262239057882	-17.763136198339932	-13.550779726674037	1.642767550376771	-13.550779726674044	12.13012772141532	6.82906558513713	-2.344523331843228	6.82906558513713	-7.095811817210613	-4.7625317032978565	-4.911966420372697	-4.7625317032978565	4.7625317032978565
1	1	9	3	inverse_cdf	21.0	21.5	82.5	2.668462699999509	-0.5	0.5	166.10673043320185	22.781623241330063	83.60673231796495	83.60673231796495	160.22390663762997	13.998419956151958	77.72390852239309	77.72390852239309	23.71472417467662	18.548771078903957	2.2147241746766184	2.2147241746766184	28.659435651694245	13.001918195155183	7.1594356516942455	7.1594356516942455	-0.07142857142857295	-0.06776538571453505	-0.07142857142857145	0.07142857142857145	66.91069064062417	10.189883345211175	66.91069064062417	54.93340184690872	35.16880691827977	-3.0913067862720194	80.16880691827978	10.95033254366227	1.8430065309424357	14.059276877689918	1.843006530942437	-0.07884887949635866	7.056810111080878	6.827431919958426	7.0568101110808765	2.8952367635267446
1	1	10	3	inverse_cdf	2.5	2.5	7.5	2.4355342999997447	0.0	0.0	43.70488657746423	3.7125144416527776	36.20488622793562	36.20488622793562	9.274269360550894	48.74910672741377	1.7742690110222774	1.7742690110222774	8.248411429027776	1.4552389169059825	5.748411429027776	5.748411429027776	18.059823001812795	3.2510394571623866	15.559823001812795	15.559823001812795	-0.7142857142857144	-0.3219892285719004	-0.7142857142857143	-0.8571428571428571	5.284859834103315	-3.6107357960009305	27.78485983410332	13.587179422602915	-43.746724088259576	24.43156546194219	1.2532759117404237	-22.924188712156287	-0.31166154092984755	-1.042845257091135	-0.31166154092984844	-0.31166154092984844	3.7238317004332213	-0.9232459273406874	3.7238317004332213	3.7238317004332213
