subject	orientation	response	mapping	value
1	15.0	9.0	cdf	8.0
1	82.5	18.5	cdf	18.5
1	30.0	11.0	cdf	11.0
1	172.5	38.5	cdf	38.5
1	90.0	22.5	cdf	22.0
1	60.0	13.0	cdf	13.0
1	127.5	32.5	cdf	31.5
1	52.5	12.5	cdf	12.5
1	150.0	34.5	cdf	33.0
1	67.5	14.0	cdf	14.0
1	157.5	36.0	cdf	34.0
1	37.5	11.5	cdf	11.5
1	142.5	33.0	cdf	32.5
1	45.0	12.0	cdf	12.0
1	135.0	32.0	cdf	32.0
1	165.0	39.0	cdf	36.0
1	165.0	36.5	cdf	36.0
1	127.5	31.0	cdf	31.5
1	97.5	25.0	cdf	25.5
1	90.0	21.5	cdf	22.0
1	67.5	12.5	cdf	14.0
1	7.5	5.5	cdf	5.5
1	45.0	11.0	cdf	12.0
1	120.0	30.5	cdf	31.0
1	60.0	13.0	cdf	13.0
1	135.0	32.5	cdf	32.0
1	157.5	35.5	cdf	34.0
1	105.0	28.0	cdf	28.0
1	82.5	18.5	cdf	18.5
1	75.0	16.5	cdf	16.0
1	142.5	33.0	cdf	32.5
1	112.5	31.0	cdf	30.0
1	150.0	35.0	cdf	33.0
1	30.0	10.5	cdf	11.0
1	37.5	11.5	cdf	11.5
1	172.5	38.5	cdf	38.5
1	15.0	8.0	cdf	8.0
1	52.5	12.5	cdf	12.5
1	112.5	32.0	cdf	30.0
1	120.0	31.5	cdf	31.0
1	82.5	18.5	cdf	18.5
1	75.0	14.0	cdf	16.0
1	165.0	36.5	cdf	36.0
1	157.5	33.5	cdf	34.0
1	150.0	34.0	cdf	33.0
1	22.5	11.0	cdf	10.0
1	105.0	28.0	cdf	28.0
1	142.5	33.0	cdf	32.5
1	52.5	12.5	cdf	12.5
1	37.5	11.0	cdf	11.5
1	90.0	22.0	cdf	22.0
1	30.0	11.0	cdf	11.0
1	127.5	32.5	cdf	31.5
1	45.0	11.0	cdf	12.0
1	15.0	5.5	cdf	8.0
1	67.5	14.5	cdf	14.0
1	172.5	38.5	cdf	38.5
1	97.5	28.5	cdf	25.5
1	135.0	32.0	cdf	32.0
1	142.5	34.5	cdf	32.5
1	97.5	26.0	cdf	25.5
1	30.0	11.0	cdf	11.0
1	127.5	32.0	cdf	31.5
1	157.5	34.0	cdf	34.0
1	22.5	9.0	cdf	10.0
1	67.5	14.0	cdf	14.0
1	120.0	30.5	cdf	31.0
1	172.5	38.0	cdf	38.5
1	7.5	5.5	cdf	5.5
1	82.5	18.5	cdf	18.5
1	52.5	12.0	cdf	12.5
1	150.0	33.0	cdf	33.0
1	105.0	28.0	cdf	28.0
1	112.5	30.0	cdf	30.0
1	37.5	10.5	cdf	11.5
1	45.0	10.5	cdf	12.0
1	90.0	22.0	cdf	22.0
1	15.0	7.0	cdf	8.0
1	60.0	13.5	cdf	13.0
1	165.0	35.5	cdf	36.0
1	75.0	16.5	cdf	16.0
1	120.0	32.0	cdf	31.0
1	90.0	22.0	cdf	22.0
1	7.5	6.0	cdf	5.5
1	60.0	13.5	cdf	13.0
1	22.5	10.0	cdf	10.0
1	172.5	38.5	cdf	38.5
1	82.5	19.0	cdf	18.5
1	97.5	28.5	cdf	25.5
1	112.5	31.0	cdf	30.0
1	37.5	11.0	cdf	11.5
1	157.5	36.0	cdf	34.0
1	52.5	12.0	cdf	12.5
1	142.5	33.5	cdf	32.5
1	15.0	8.5	cdf	8.0
1	127.5	31.0	cdf	31.5
1	135.0	32.5	cdf	32.0
1	67.5	12.5	cdf	14.0
1	150.0	34.5	cdf	33.0
1	105.0	27.5	cdf	28.0
1	165.0	37.0	cdf	36.0
1	45.0	11.0	cdf	12.0
1	30.0	10.5	cdf	11.0
1	75.0	18.5	cdf	16.0
1	52.5	12.0	cdf	12.5
1	105.0	29.5	cdf	28.0
1	127.5	32.5	cdf	31.5
1	37.5	10.5	cdf	11.5
1	112.5	30.5	cdf	30.0
1	97.5	26.0	cdf	25.5
1	157.5	36.0	cdf	34.0
1	82.5	18.5	cdf	18.5
1	90.0	22.0	cdf	22.0
1	30.0	10.0	cdf	11.0
1	7.5	6.0	cdf	5.5
1	67.5	14.0	cdf	14.0
1	172.5	38.5	cdf	38.5
1	75.0	16.5	cdf	16.0
1	150.0	33.0	cdf	33.0
1	142.5	32.5	cdf	32.5
1	135.0	32.0	cdf	32.0
1	60.0	13.5	cdf	13.0
1	120.0	31.0	cdf	31.0
1	165.0	38.5	cdf	36.0
1	22.5	8.0	cdf	10.0
1	45.0	11.0	cdf	12.0
1	15.0	8.5	cdf	8.0
2	165.0	40.5	cdf	36.0
2	135.0	35.0	cdf	32.0
2	37.5	11.5	cdf	11.5
2	172.5	38.5	cdf	38.5
2	142.5	31.0	cdf	32.5
2	30.0	9.5	cdf	11.0
2	15.0	10.5	cdf	8.0
2	52.5	13.5	cdf	12.5
2	127.5	28.5	cdf	31.5
2	22.5	9.5	cdf	10.0
2	97.5	26.0	cdf	25.5
2	105.0	27.0	cdf	28.0
2	67.5	13.5	cdf	14.0
2	90.0	21.5	cdf	22.0
2	150.0	36.5	cdf	33.0
2	120.0	32.5	cdf	31.0
2	45.0	11.5	cdf	12.0
2	7.5	4.0	cdf	5.5
2	82.5	17.0	cdf	18.5
2	75.0	16.0	cdf	16.0
2	112.5	32.5	cdf	30.0
2	37.5	12.5	cdf	11.5
2	30.0	10.0	cdf	11.0
2	127.5	30.5	cdf	31.5
2	112.5	29.0	cdf	30.0
2	75.0	17.5	cdf	16.0
2	157.5	33.0	cdf	34.0
2	7.5	3.0	cdf	5.5
2	172.5	37.5	cdf	38.5
2	120.0	32.5	cdf	31.0
2	52.5	11.5	cdf	12.5
2	150.0	34.5	cdf	33.0
2	15.0	9.5	cdf	8.0
2	105.0	25.0	cdf	28.0
2	82.5	20.0	cdf	18.5
2	142.5	35.0	cdf	32.5
2	135.0	32.5	cdf	32.0
2	22.5	12.5	cdf	10.0
