subject	session	condition	space	value	value_deg	sd_E	mean_error	mean_abs_error
20	1	cdf	value	2.5		9.229597091674805	9.605070114135742	9.605070114135742
20	1	cdf	value	3.0		8.698311805725098	8.596318244934082	8.596445083618164
20	1	cdf	value	4.0		8.028810501098633	7.831892490386963	7.8649725914001465
20	1	cdf	value	5.0		7.366400241851807	7.074791431427002	7.218550205230713
20	1	cdf	value	5.5		6.983340263366699	6.777220726013184	6.9381818771362305
20	1	cdf	value	7.5		6.12282657623291	5.3471598625183105	5.71847677230835
20	1	cdf	value	8.0		5.815122127532959	4.781466484069824	5.235414505004883
20	1	cdf	value	10.0		4.49992561340332	3.3653173446655273	3.7931900024414062
20	1	cdf	value	11.0		4.228001117706299	2.827042579650879	3.247006416320801
20	1	cdf	value	11.5		4.245448589324951	2.427656650543213	3.050269603729248
20	1	cdf	value	12.0		3.990229845046997	1.9864871501922607	2.696610450744629
20	1	cdf	value	12.5		3.98637318611145	1.5091965198516846	2.583444833755493
20	1	cdf	value	13.0		3.9349191188812256	1.577425479888916	2.6695139408111572
20	1	cdf	value	14.0		4.389928340911865	1.0984808206558228	2.896946668624878
20	1	cdf	value	16.0		4.362915515899658	0.8210954070091248	3.39408540725708
20	1	cdf	value	18.5		4.433448791503906	1.2285622358322144	3.600649833679199
20	1	cdf	value	20.0		4.430782794952393	1.0927562713623047	3.4220163822174072
20	1	cdf	value	21.0		4.218788146972656	1.009101390838623	3.124053478240967
20	1	cdf	value	21.5		4.1775970458984375	0.9581629037857056	3.0193305015563965
20	1	cdf	value	22.0		4.232550621032715	1.0948646068572998	3.062668561935425
20	1	cdf	value	22.5		4.236221790313721	0.7221899628639221	3.013622522354126
20	1	cdf	value	23.0		4.51004695892334	0.5725724101066589	3.1705214977264404
20	1	cdf	value	24.0		4.507556438446045	0.18289195001125336	3.2365806102752686
20	1	cdf	value	25.5		4.568360805511475	-0.23468166589736938	3.4608521461486816
20	1	cdf	value	28.0		4.97727108001709	-0.8748651742935181	3.736398935317993
20	1	cdf	value	30.0		4.970331192016602	-1.8214633464813232	3.5755155086517334
20	1	cdf	value	31.0		5.434952259063721	-2.5238890647888184	3.9787983894348145
