subject	roi	n_signal	frac_value	mean_delta	median_delta	cvr2_value	cvr2_orientation
14	V1	876	0.4531963470319635	-0.003544429549947381	-0.005217282101511955	-0.09089253097772598	-0.0873481035232544
15	NPCr	6448	0.544044665012407	0.0029969317838549614	0.0037639159709215164	-0.0713747963309288	-0.07437172532081604
15	V1	857	0.42707117852975496	-0.004793110769242048	-0.006777852773666382	-0.07102056592702866	-0.06622745096683502
16	NPCr	2943	0.42269792728508326	-0.005293051712214947	-0.006827464327216148	-0.043654706329107285	-0.03836165368556976
16	V1	562	0.4928825622775801	0.0006700012600049376	-0.0005395449697971344	-0.09325432777404785	-0.09392432868480682
17	NPCr	5626	0.2858158549591184	-0.011619336903095245	-0.014153089374303818	-0.039182499051094055	-0.02756316028535366
17	V1	686	0.3673469387755102	-0.008740626275539398	-0.009950402192771435	-0.08174104243516922	-0.07300041615962982
18	NPCr	9857	0.43431064218322	-0.004935929551720619	-0.005435379222035408	-0.05087078735232353	-0.045934855937957764
18	V1	986	0.38235294117647056	-0.006945476401597261	-0.008108166046440601	-0.09004175662994385	-0.08309628814458847
19	NPCr	5940	0.47962962962962963	-0.001298386137932539	-0.002845754846930504	-0.07673542946577072	-0.0754370391368866
19	V1	1780	0.6174157303370786	0.01103986706584692	0.011279195547103882	-0.08936646580696106	-0.10040632635354996
20	NPCr	3772	0.3777836691410392	-0.00653231143951416	-0.008379349485039711	-0.042865291237831116	-0.036332979798316956
20	V1	577	0.49566724436741766	-0.005923878867179155	-0.0010262057185173035	-0.08077077567577362	-0.07484689354896545
21	NPCr	5884	0.475356900067981	-0.0037531706038862467	-0.002552876714617014	-0.038505133241415024	-0.03475196287035942
21	V1	590	0.3135593220338983	-0.012699654325842857	-0.015042908489704132	-0.04873305559158325	-0.036033399403095245
22	NPCr	5180	0.4517374517374517	-0.002766277873888612	-0.005158245097845793	-0.052227217704057693	-0.049460940062999725
22	V1	784	0.49362244897959184	0.001064502284862101	-0.0005258118035271764	-0.0736812874674797	-0.0747457891702652
23	NPCr	4436	0.43079350766456265	-0.004423401318490505	-0.006316697224974632	-0.04692241922020912	-0.04249902442097664
23	V1	208	0.35096153846153844	-0.009177633561193943	-0.010588929988443851	-0.07236092537641525	-0.06318329274654388
24	NPCr	5537	0.3810727830955391	-0.007570062298327684	-0.010234974324703217	-0.05152808874845505	-0.04395802691578865
24	V1	1168	0.3690068493150685	-0.007729499135166407	-0.006928838789463043	-0.07371071726083755	-0.06598122417926788
25	NPCr	4608	0.4535590277777778	-0.004134894348680973	-0.004534072242677212	-0.03762246295809746	-0.03348756581544876
25	V1	686	0.3250728862973761	-0.009408739395439625	-0.010558702051639557	-0.09391998499631882	-0.08451125025749207
26	NPCr	3813	0.3745082612116444	-0.007797101978212595	-0.011403314769268036	-0.05999690666794777	-0.05219980329275131
26	V1	267	0.41198501872659177	-0.0027164665516465902	-0.007759919390082359	-0.05435800552368164	-0.05164153873920441
27	NPCr	10373	0.4567627494456763	-0.0025915764272212982	-0.004087740555405617	-0.07210776954889297	-0.06951619684696198
27	V1	1103	0.48685403445149594	-0.001206131186336279	-0.0009680157527327538	-0.08120404183864594	-0.07999791949987411
28	NPCr	5994	0.5318651985318652	0.0014547730097547174	0.0032773762941360474	-0.03762563690543175	-0.039080407470464706
28	V1	708	0.6807909604519774	0.009412038139998913	0.013754653744399548	-0.03791643679141998	-0.04732847586274147
29	NPCr	10160	0.34045275590551183	-0.010506578721106052	-0.013963716104626656	-0.09335615485906601	-0.08284957706928253
29	V1	1277	0.5082223962411903	0.0030572826508432627	0.0008201003074645996	-0.12619611620903015	-0.12925338745117188
pil01	NPCr	10884	0.4141859610437339	-0.005529513116925955	-0.006516100838780403	-0.04616786912083626	-0.040638357400894165
pil01	V1	1116	0.5689964157706093	0.006429371889680624	0.004391696769744158	-0.1385580152273178	-0.14498737454414368
pil02	NPCr	6212	0.48325820991629104	-0.00021161898621357977	-0.0015656151808798313	-0.04919539391994476	-0.04898376762866974
pil02	V1	1029	0.5549076773566569	0.002199991373345256	0.004188910126686096	-0.04094613716006279	-0.04314613342285156
