subject	roi	n_signal	frac_value	mean_delta	median_delta	cvr2_value	cvr2_orientation
03	NPCr	4728	0.4739847715736041	-0.0013763757888227701	-0.0029425323009490967	-0.02792772836983204	-0.026551350951194763
03	V1	801	0.4069912609238452	-0.00553071079775691	-0.007281242869794369	-0.03565717861056328	-0.03012646920979023
04	NPCr	6319	0.5907580313340719	0.01200897991657257	0.009044796228408813	-0.10557720065116882	-0.11758618801832199
04	V1	786	0.5483460559796438	0.0027628534007817507	0.0035073962062597275	-0.06936928629875183	-0.07213214039802551
05	NPCr	8117	0.5450289515830972	0.00291469506919384	0.00444655679166317	-0.06237995624542236	-0.06529464572668076
05	V1	1012	0.38438735177865613	-0.009136286564171314	-0.008737328462302685	-0.052009981125593185	-0.042873699218034744
06	NPCr	7215	0.43451143451143454	-0.003187853842973709	-0.006035760045051575	-0.1301514357328415	-0.12696358561515808
06	V1	1393	0.457286432160804	-0.005685121286660433	-0.003908935934305191	-0.03868180513381958	-0.032996680587530136
07	NPCr	4262	0.47653683716564993	-0.0026526402216404676	-0.0022214511409401894	-0.04094957932829857	-0.03829694166779518
07	V1	978	0.41922290388548056	-0.006355834659188986	-0.005677312612533569	-0.10100644081830978	-0.09465061128139496
08	NPCr	4842	0.406030565881867	-0.005784028675407171	-0.007893787696957588	-0.050101932138204575	-0.04431790113449097
08	V1	943	0.6193001060445387	0.005945037584751844	0.006803698837757111	-0.057474285364151	-0.06341931968927383
09	NPCr	6710	0.3992548435171386	-0.006628262344747782	-0.00861954502761364	-0.053500253707170486	-0.04687199369072914
09	V1	902	0.4778270509977827	-0.0027574088890105486	-0.002116310875862837	-0.02247294783592224	-0.01971554197371006
10	NPCr	5724	0.4481132075471698	-0.004225832410156727	-0.005127487238496542	-0.06407572329044342	-0.05984989553689957
10	V1	827	0.3966142684401451	-0.007648587226867676	-0.006480511277914047	-0.0600907988846302	-0.052442215383052826
11	NPCr	8245	0.5608247422680412	0.004440684337168932	0.005657823756337166	-0.04730142652988434	-0.05174211040139198
11	V1	1132	0.5017667844522968	0.0006705520208925009	5.451147444546223e-05	-0.034831952303647995	-0.03550250455737114
12	NPCr	10343	0.4297592574688195	-0.002844559960067272	-0.006129004061222076	-0.09726344048976898	-0.09441887587308884
12	V1	988	0.4473684210526316	-0.0048211123794317245	-0.0028761010617017746	-0.10408265888690948	-0.09926153719425201
13	NPCr	14114	0.33484483491568656	-0.010189594700932503	-0.01432434655725956	-0.0769110843539238	-0.06672149151563644
13	V1	1022	0.22211350293542073	-0.02189398556947708	-0.024138260632753372	-0.215118408203125	-0.19322443008422852
14	NPCr	9413	0.2784447041325826	-0.014828161336481571	-0.017773553729057312	-0.06062663719058037	-0.04579847306013107
