atlas	area	n_vertices	prevalence	vonMises bell	vonMises basis	aPRF bell	aPRF basis	orientation	value
benson14	V1	6236	0.6223761916347792	0.09370696471884357	0.4577487939015397	0.07161070784430446	0.3769335335353122	0.5514557586203833	0.4485442413796167
benson14	V2	4609	0.649905357583738	0.10106254388893365	0.45003280877663554	0.06436276146292608	0.38454188587150473	0.5510953526655692	0.4489046473344308
benson14	V3	3649	0.633191899528449	0.10409670920080591	0.4551003656443549	0.07514364599656742	0.3656592791582718	0.5591970748451608	0.4408029251548392
benson14	hV4	1372	0.5190007037297678	0.1127360774818402	0.41685230024213077	0.09360774818401937	0.37680387409200966	0.5295883777239709	0.47041162227602906
benson14	VO1	223	0.4464202876140405	0.17630758572913058	0.3574644960166263	0.10183581572566679	0.3643921025285764	0.5337720817457569	0.4662279182542432
benson14	VO2	27	0.41890166028097064	0.19817073170731708	0.42378048780487804	0.11890243902439024	0.25914634146341464	0.6219512195121951	0.3780487804878049
benson14	LO1	1516	0.6137976526248748	0.11461923290717065	0.51621271076524	0.06900129701686122	0.30016675931072817	0.6308319436724107	0.3691680563275894
benson14	LO2	1056	0.5332745559038663	0.11903741350805216	0.4703937297164901	0.06803012675280141	0.3425387300226563	0.5894311432245423	0.4105688567754577
benson14	TO1	1182	0.4918898418810899	0.1186762350987486	0.4676472332601862	0.09240258584900066	0.32127394579206453	0.5863234683589348	0.4136765316410652
benson14	TO2	519	0.4672779217327752	0.13493530499075784	0.3974121996303142	0.10948386179439784	0.35816863358453005	0.532347504621072	0.4676524953789279
benson14	V3b	1058	0.558535949416596	0.1283188422711093	0.5099492326544903	0.06167940713076968	0.30005251794363075	0.6382680749255996	0.36173192507440044
benson14	V3a	3644	0.6356504788220598	0.0981644410700728	0.4311404879936879	0.06903071174430203	0.4016643591919372	0.5293049290637607	0.47069507093623925
wang15	V1v	2002	0.628061593578835	0.08740127248793331	0.4521445809565599	0.07835125054848618	0.38210289600702063	0.5395458534444932	0.4604541465555068
wang15	V1d	2111	0.7217693853215505	0.08595482732087087	0.4584031141085412	0.060697958629430136	0.3949440999411578	0.5443579414294121	0.4556420585705879
wang15	V2v	1734	0.6309509605059063	0.0896684316691881	0.440273575390822	0.06770045385779122	0.4023575390821987	0.5299420070600102	0.4700579929399899
wang15	V2d	1591	0.7442510674266889	0.10172107516235185	0.4750866361862605	0.05343778211363173	0.3697545065377559	0.5768077113486123	0.4231922886513876
wang15	V3v	1149	0.5945199723897843	0.10393740535083291	0.45779909136799596	0.09369005552751136	0.3445734477536598	0.5617364967188289	0.43826350328117114
wang15	V3d	1391	0.7178660849302164	0.10059396367152428	0.45976932108571034	0.05856758063402168	0.3810691346087437	0.5603632847572346	0.4396367152427654
wang15	hV4	789	0.5819238669638565	0.10582050319188885	0.4318437852046564	0.09898610589560645	0.3633496057078483	0.5376642883965452	0.46233571160345477
wang15	VO1	307	0.47534538919465347	0.1297258979206049	0.40926275992438566	0.10326086956521739	0.35775047258979203	0.5389886578449905	0.46101134215500944
wang15	VO2	123	0.44463134286515277	0.13682219419924338	0.43316519546027743	0.09016393442622951	0.33984867591424966	0.5699873896595208	0.43001261034047916
wang15	PHC1	10	0.41379310344827586	0.19166666666666668	0.45	0.10833333333333334	0.25	0.6416666666666667	0.35833333333333334
wang15	PHC2	8	0.4224137931034483	0.2755102040816326	0.3163265306122449	0.08163265306122448	0.32653061224489793	0.5918367346938775	0.4081632653061224
wang15	TO2	27	0.44316730523627074	0.1786743515850144	0.38328530259365995	0.08357348703170028	0.35446685878962536	0.5619596541786743	0.43804034582132567
wang15	TO1	426	0.48575360207220336	0.11881353107815364	0.4712547908681886	0.0818196967172138	0.3281119813364439	0.5900683219463423	0.4099316780536577
wang15	LO2	634	0.5575437833133906	0.10438006048190421	0.5159496634474685	0.06331089649790264	0.3163593795727246	0.6203297239293727	0.3796702760706272
wang15	LO1	1021	0.6559492046337262	0.1039027906497786	0.4921738234991247	0.08222634126248585	0.32169704458861087	0.5960766141489033	0.4039233858510967
wang15	V3B	894	0.6518938517318522	0.09656233358972842	0.4264244719247382	0.08360452044257737	0.39340867404295604	0.5229868055144666	0.4770131944855334
wang15	V3A	1418	0.6200087544380137	0.1061342955757766	0.42971446501411986	0.06142139943520552	0.40272983997489803	0.5358487605898965	0.46415123941010356
wang15	IPS0	1842	0.6059380733086226	0.08480598121601582	0.43827236777063766	0.06518783984181908	0.4117338111715274	0.5230783489866535	0.4769216510133465
wang15	IPS1	1572	0.6604588926910591	0.09784449832276064	0.5240625726526952	0.057125776345943076	0.3209671526786011	0.6219070709754558	0.37809292902454417
wang15	IPS2	1523	0.6928023184730682	0.10046079937252851	0.493806987156443	0.053400437922807936	0.35233177554822054	0.5942677865289715	0.4057322134710285
wang15	IPS3	1385	0.6108303249097473	0.0979457079970653	0.46494660471182847	0.06757968533463765	0.36952800195646857	0.5628923127088937	0.4371076872911062
wang15	IPS4	305	0.5971735443753533	0.0891707686482393	0.43335857629685726	0.07781143506247633	0.3996592199924271	0.5225293449450965	0.47747065505490344
wang15	IPS5	71	0.5531811559009228	0.08252853380158033	0.5118525021949079	0.08428446005267778	0.32133450395083407	0.5943810359964882	0.40561896400351183
wang15	SPL1	517	0.5955445874741546	0.11356254899764812	0.4185239108522791	0.0836599843207526	0.3842535558293202	0.5320864598499272	0.4679135401500728
wang15	FEF	376	0.5010088041085841	0.14222954420647996	0.5066813106351822	0.07157239611934835	0.27951674903898954	0.6489108548416621	0.3510891451583379
