subject	roi	train_condition	voxel	train_r2	r_value	r_orientation	r_advantage	predicted_gap
03	BensonV1	cdf	495	0.21752596	0.56404203	0.71291834	-0.14887631	0.23118353
03	BensonV1	cdf	496	0.20308703	0.6379932	0.6725331	-0.03453988	0.14204249
03	BensonV1	cdf	664	0.18819249	0.5919548	0.58085823	0.011096597	0.17842801
03	BensonV1	cdf	200	0.17776042	0.6260718	0.6202888	0.0057830215	0.15300442
03	BensonV1	cdf	499	0.16146994	0.35252133	0.5704565	-0.21793517	0.14506531
03	BensonV1	cdf	507	0.15767354	0.29880953	0.5359621	-0.23715258	0.18460518
03	BensonV1	cdf	661	0.15565121	0.7320386	0.8436006	-0.111561954	0.1355459
03	BensonV1	cdf	603	0.14899671	0.73065394	0.73661244	-0.0059584975	0.11190472
03	BensonV1	cdf	530	0.1334219	0.31682533	0.16609769	0.15072764	0.12375885
03	BensonV1	cdf	431	0.13338977	0.30252582	0.5989995	-0.29647368	0.1821752
03	BensonV1	cdf	501	0.13299727	0.5395004	0.76380765	-0.22430724	0.124926336
03	BensonV1	cdf	522	0.1321122	0.3563716	0.53862643	-0.18225482	0.13279286
03	BensonV1	cdf	665	0.13181573	0.68882596	0.8405931	-0.15176713	0.16207728
03	BensonV1	cdf	409	0.1314404	0.4976923	0.576759	-0.079066694	0.11580382
03	BensonV1	cdf	602	0.12545568	0.09043805	0.38128445	-0.2908464	0.14715913
03	BensonV1	cdf	781	0.11653179	0.52472466	0.48383942	0.04088524	0.08641017
03	BensonV1	cdf	577	0.116187215	0.5597552	0.6370808	-0.07732558	0.12398472
03	BensonV1	cdf	830	0.114400506	-0.13481037	-0.035545785	-0.09926459	0.1559412
03	BensonV1	cdf	201	0.114316046	0.37113962	0.44149247	-0.07035285	0.092739776
03	BensonV1	cdf	667	0.11253744	0.5643388	0.75452304	-0.19018424	0.1568913
03	BensonV1	cdf	580	0.111332476	0.4810797	0.39556262	0.08551708	0.13036792
03	BensonV1	cdf	662	0.11106795	0.24227461	0.33238554	-0.09011093	0.13255659
03	BensonV1	cdf	442	0.110201955	-0.1658293	-0.16908637	0.003257066	0.20135689
03	BensonV1	cdf	468	0.11004245	0.24880113	0.139306	0.10949513	0.20660253
03	BensonV1	cdf	780	0.107590616	0.46857488	0.561542	-0.09296709	0.09583065
03	BensonV1	cdf	776	0.10737842	0.2894178	0.31250855	-0.02309075	0.063239366
03	BensonV1	cdf	651	0.10726285	0.33501202	0.41873828	-0.08372626	0.072496966
03	BensonV1	cdf	605	0.106357396	0.5360942	0.4734786	0.0626156	0.1561723
03	BensonV1	cdf	403	0.10558593	0.060097773	0.2943527	-0.23425494	0.13541631
03	BensonV1	cdf	493	0.105561495	0.491483	0.50628376	-0.014800757	0.15767376
03	BensonV1	cdf	725	0.105492055	0.22505893	0.27129203	-0.046233103	0.0796795
03	BensonV1	cdf	272	0.10540396	0.4231803	0.60396326	-0.18078294	0.13309762
03	BensonV1	cdf	416	0.10432935	0.44717696	0.6199059	-0.17272893	0.29699278
03	BensonV1	cdf	349	0.1043092	0.58702064	0.70285654	-0.115835905	0.08744108
03	BensonV1	cdf	425	0.10362995	0.18922523	0.43789145	-0.24866623	0.13122912
03	BensonV1	cdf	299	0.103529215	-0.0050915745	0.25741145	-0.26250303	0.2348582
03	BensonV1	cdf	327	0.10029131	0.5141184	0.58742213	-0.07330376	0.103945196
03	BensonV1	cdf	374	0.09830195	-0.068595625	0.24105246	-0.3096481	0.20507562
03	BensonV1	cdf	224	0.09778553	0.21569762	0.5473299	-0.3316323	0.14355871
03	BensonV1	cdf	533	0.09671295	0.5383849	0.57769334	-0.03930843	0.09765549
03	BensonV1	cdf	348	0.09589958	-0.060805053	0.23550901	-0.29631406	0.11462394
03	BensonV1	cdf	541	0.095897496	0.029446522	0.17167167	-0.14222515	0.16523302
03	BensonV1	cdf	210	0.09517735	0.37467945	0.4970394	-0.12235996	0.12324866
03	BensonV1	cdf	715	0.09484798	0.5105603	0.7039238	-0.19336355	0.103754565
03	BensonV1	cdf	449	0.09344971	0.517297	0.49282837	0.02446866	0.14667624
03	BensonV1	cdf	360	0.09343141	0.42953303	0.6306677	-0.20113465	0.11842731
03	BensonV1	cdf	191	0.09291655	0.3969958	0.51443934	-0.11744353	0.15727559
03	BensonV1	cdf	317	0.09120941	0.51209766	0.3285632	0.18353444	0.19008553
03	BensonV1	cdf	253	0.09062797	0.40519625	0.47576144	-0.070565194	0.22480235
03	BensonV1	cdf	351	0.08977592	0.40147895	0.42934522	-0.027866274	0.105067156
03	BensonV1	cdf	492	0.089381754	0.5939757	0.5649836	0.028992116	0.1645556
03	BensonV1	cdf	415	0.08865142	0.5461535	0.6423938	-0.09624034	0.17961878
