direction	quantity	n	mean	sem	t	p
npc_from_v1	observed	29	0.01004828314519893	0.006063515604854123	1.6571711528465134	0.1086494750515137
npc_from_v1	label-shuffle	29	0.0046776225175248305	0.0043303752025081405	1.080188736259058	0.28927496568346345
npc_from_v1	observed - shuffle	29	0.005370660627674098	0.002729194234678032	1.9678557720197163	0.059060472765316466
npc_from_v1	r(score, dissimilarity) across bins	29	0.1471521224089957	0.08349053662190685	1.7625006181884435	0.08889913430571131
