subject	mode_1	mode_2	fwhm	amplitude	r2_shift	r2_joint	voxel	ses1_cond	mode_cdf	mode_inv	dshift	bin
03	40.627872	5.985043	0.5876416	3.9959085	0.07810891	0.06803936	112	inverse_cdf	5.985043	40.627872	34.642829000000006	5.0
03	6.779446	7.1045156	11.88603	0.4786076	0.05890608	0.058873475	238	inverse_cdf	7.1045156	6.779446	-0.32506959999999996	5.0
03	22.137651	21.999998	1.3078828	0.91481656	0.052589238	0.052511156	605	inverse_cdf	21.999998	22.137651	0.13765300000000025	22.0
03	29.595192	33.081944	27.47734	0.38540503	0.052408397	0.051843643	313	inverse_cdf	33.081944	29.595192	-3.486751999999999	30.0
03	40.744648	42.736626	1.1066575	1.2492756	0.048552513	0.048552573	420	inverse_cdf	42.736626	40.744648	-1.9919780000000031	39.5
03	14.303519	9.837662	11.035781	0.37533027	0.049317062	0.047883153	285	inverse_cdf	9.837662	14.303519	4.465857	5.0
03	20.48715	14.715191	1.8040642	0.605871	0.055979073	0.046362042	603	inverse_cdf	14.715191	20.48715	5.771958999999999	14.0
03	22.26063	21.390493	1.2687706	1.1757268	0.047816277	0.046036184	516	inverse_cdf	21.390493	22.26063	0.8701369999999997	22.0
03	0.8792546	15.243318	19.187685	0.6860416	0.08350068	0.044545233	166	inverse_cdf	15.243318	0.8792546	-14.364063400000001	14.0
03	2.405193	5.297517	0.29489663	1.1984534	0.05085498	0.044522285	20	inverse_cdf	5.297517	2.405193	-2.892324	5.0
03	10.7036295	19.077703	1.0586172	2.326888	0.036764324	0.043958247	371	inverse_cdf	19.077703	10.7036295	-8.3740735	22.0
03	2.4091587	16.205042	0.30033088	1.9968724	0.049056828	0.04376912	504	inverse_cdf	16.205042	2.4091587	-13.7958833	14.0
03	22.101877	13.657041	0.6827478	0.5285871	0.019926786	0.043289542	417	inverse_cdf	13.657041	22.101877	8.444836000000002	14.0
03	29.645216	28.032476	47.198837	0.40736014	0.043038428	0.042865515	735	inverse_cdf	28.032476	29.645216	1.6127400000000023	30.0
03	4.0619397	42.381752	1.8986088	0.93848306	0.044789314	0.04285896	500	inverse_cdf	42.381752	4.0619397	-38.319812299999995	39.5
03	23.516607	25.76381	4.393314	0.3960342	0.049645662	0.042577207	513	inverse_cdf	25.76381	23.516607	-2.247202999999999	22.0
03	0.1624411	8.373318	6.050215	0.9006991	0.073492706	0.042346597	586	inverse_cdf	8.373318	0.1624411	-8.210876899999999	5.0
03	2.5823867	30.342508	0.6141742	0.7224176	0.042157948	0.04202503	205	inverse_cdf	30.342508	2.5823867	-27.760121299999998	30.0
03	16.018028	14.748442	4.355765	0.65576094	0.04280877	0.041619837	269	inverse_cdf	14.748442	16.018028	1.2695860000000003	14.0
03	1.6083637	12.438841	6.088894	0.3314997	0.05411583	0.04124385	35	inverse_cdf	12.438841	1.6083637	-10.8304773	14.0
03	8.13974	7.198656	11.670054	0.50787747	0.04092145	0.040661633	435	inverse_cdf	7.198656	8.13974	0.941084	5.0
03	20.995235	22.64386	20.635181	0.46193904	0.040196598	0.03968358	623	inverse_cdf	22.64386	20.995235	-1.6486249999999991	22.0
