subject	roi	selection	n	bid	objective	delta	frac_bid_wins
19	V1	signal voxels	2016	-0.04785717925115137	-0.04733822007756535	-0.000518959173586018	0.5540674603174603
20	NPCr	all voxels	10164	-0.05254910106756606	-0.040852212619773225	-0.011696888447792838	0.43860684769775676
20	NPCr	signal voxels	5857	-0.03115111244554826	-0.023308131555490077	-0.007842980890058181	0.4831825166467475
20	V1	all voxels	1899	-0.057635065609180275	-0.05702669831891314	-0.0006083672902671292	0.5129015271195366
20	V1	signal voxels	1144	-0.032188098818914046	-0.031198469024438593	-0.0009896297944754638	0.5227272727272727
21	NPCr	all voxels	17611	-0.049813940376778026	-0.03981532575241419	-0.009998614624363836	0.3987848503776049
21	NPCr	signal voxels	8369	-0.03257256934727535	-0.022772688910672752	-0.009799880436602605	0.3941928545823874
21	V1	all voxels	1514	-0.03694626231029715	-0.030759090416025665	-0.006187171894271488	0.3084544253632761
21	V1	signal voxels	1101	-0.021606255997343563	-0.018423778401409366	-0.0031824775959342	0.3142597638510445
22	NPCr	all voxels	14858	-0.07207584344338945	-0.06398194856394021	-0.008093894879449238	0.4129088706420783
22	NPCr	signal voxels	6402	-0.042660758856223724	-0.035661372775904886	-0.0069993860803188365	0.422680412371134
22	V1	all voxels	1868	-0.0647379825233765	-0.050250459720071305	-0.014487522803305189	0.3238758029978587
22	V1	signal voxels	1066	-0.05138941797022428	-0.03676361550014045	-0.014625802470083838	0.32176360225140715
23	NPCr	all voxels	14808	-0.07131297672957118	-0.06284789168213281	-0.008465085047438365	0.427539168017288
23	NPCr	signal voxels	4940	-0.03284197712673806	-0.028899663774386738	-0.0039423133523513254	0.4757085020242915
23	V1	all voxels	1430	-0.07724057713286901	-0.07301030895458703	-0.0042302681782819904	0.4461538461538462
23	V1	signal voxels	607	-0.03303810694885684	-0.03664991766212599	0.0036118107132691465	0.5074135090609555
24	NPCr	all voxels	12438	-0.04971798471427661	-0.04313452919840334	-0.006583455515873265	0.4905129442032481
24	NPCr	signal voxels	7755	-0.0331547531006871	-0.029382024473880358	-0.0037727286268067367	0.5533204384268214
24	V1	all voxels	1741	-0.042005287050689705	-0.04152448490342291	-0.00048080214726679317	0.6031016657093624
24	V1	signal voxels	1383	-0.03448762098015578	-0.034379560466188265	-0.00010806051396752027	0.6355748373101953
25	NPCr	all voxels	13210	-0.04710241502450102	-0.04110932334917567	-0.005993091675325342	0.4356548069644209
25	NPCr	signal voxels	6429	-0.02813601539644821	-0.025482067105598298	-0.0026539482908499177	0.4965002333177788
25	V1	all voxels	1314	-0.05509286095466617	-0.05386468062796531	-0.0012281803267008725	0.5517503805175038
25	V1	signal voxels	1019	-0.04241566627874737	-0.040284982093101177	-0.002130684185646195	0.5554465161923454
26	NPCr	all voxels	13125	-0.06046474077074113	-0.05493354970277059	-0.0055311910679705315	0.4537904761904762
26	NPCr	signal voxels	6456	-0.03295621108577416	-0.03092962934355121	-0.002026581742222957	0.47026022304832715
26	V1	all voxels	1482	-0.043779652140868354	-0.03847077966875564	-0.005308872472112714	0.3724696356275304
26	V1	signal voxels	854	-0.025745365806103804	-0.02169635501496808	-0.0040490107911357225	0.3911007025761124
27	NPCr	all voxels	17185	-0.058260647511333495	-0.0557369610788481	-0.0025236864324853984	0.46430026185627
27	NPCr	signal voxels	12543	-0.04507417662851794	-0.04326835375454223	-0.0018058228739757146	0.4838555369528821
27	V1	all voxels	2078	-0.06104474026276781	-0.05798592694973223	-0.0030588133130355815	0.4494706448508181
27	V1	signal voxels	1416	-0.04657379196735312	-0.04419462518318092	-0.0023791667841722044	0.4774011299435028
28	NPCr	all voxels	15147	-0.04507033828061057	-0.04051234601599203	-0.004557992264618536	0.4391628705354196
28	NPCr	signal voxels	8197	-0.02536195543603092	-0.021481677643424554	-0.0038802777926063665	0.448212760766134
28	V1	all voxels	2710	-0.05298787144543194	-0.044198007148126016	-0.008789864297305936	0.37859778597785976
28	V1	signal voxels	1387	-0.024975410292906466	-0.020795276524306107	-0.004180133768600359	0.44917087238644554
29	NPCr	all voxels	17654	-0.07999124062407804	-0.07325813778806162	-0.00673310283601644	0.48244024017219894
29	NPCr	signal voxels	10732	-0.06197443451202441	-0.058421763854748586	-0.003552670657275823	0.5184494968319046
29	V1	all voxels	2290	-0.08486407073898382	-0.08072748658827744	-0.0041365841507063775	0.6056768558951965
29	V1	signal voxels	1643	-0.06858740823894367	-0.06571602767286641	-0.002871380566077274	0.6445526475958613
30	NPCr	all voxels	14023	-0.040118109764642224	-0.03524992856585992	-0.004868181198782302	0.43243243243243246
30	NPCr	signal voxels	8578	-0.026338613920096433	-0.020831436600989184	-0.005507177319107248	0.4263231522499417
30	V1	all voxels	1516	-0.019656418456605096	-0.019436219339703232	-0.00022019911690186183	0.43601583113456466
30	V1	signal voxels	1271	-0.011848223822847377	-0.011557233996011673	-0.00029098982683570517	0.4232887490165224
pil01	NPCr	all voxels	15563	-0.047936319188487994	-0.04551556506983833	-0.0024207541186496576	0.4785067146437062
pil01	NPCr	signal voxels	10391	-0.03290989833988903	-0.03317019130575337	0.00026029296586434474	0.512558945241074
pil01	V1	all voxels	1766	-0.07768483078444746	-0.07267723239280567	-0.005007598391641798	0.362400906002265
pil01	V1	signal voxels	1340	-0.06804973358272716	-0.06294793378540267	-0.005101799797324493	0.341044776119403
pil02	NPCr	all voxels	14180	-0.054869236957767006	-0.0478521890007765	-0.007017047956990508	0.3998589562764457
pil02	NPCr	signal voxels	8326	-0.03809550912232778	-0.03238617022995016	-0.005709338892377617	0.40775882776843625
pil02	V1	all voxels	1466	-0.0359562832239115	-0.02957998132075535	-0.006376301903156144	0.3267394270122783
pil02	V1	signal voxels	1211	-0.025734569070944496	-0.018952602178753636	-0.006781966892190862	0.30305532617671344
