subject	roi	selection	n	bid	objective	delta	frac_bid_wins
03	NPCr	all voxels	16230	-0.045766993011174636	-0.03844413079764369	-0.007322862213530959	0.4403573629081947
03	NPCr	signal voxels	6934	-0.0206769803935849	-0.01835376039440863	-0.0023232199991762665	0.4969714450533603
03	V1	all voxels	1727	-0.030986262706842155	-0.033913039253824134	0.002926776546981989	0.6126230457440649
03	V1	signal voxels	1024	-0.013062993230473583	-0.018082835679780335	0.005019842449306753	0.6669921875
04	NPCr	all voxels	12519	-0.07954826764644589	-0.07840766655835077	-0.0011406010880951043	0.4887770588705168
04	NPCr	signal voxels	7225	-0.07252925552626056	-0.07221959031393672	-0.0003096652123238381	0.5003460207612457
04	V1	all voxels	1441	-0.05414966817080993	-0.04713376933978794	-0.007015898831021984	0.3712699514226232
04	V1	signal voxels	943	-0.03611467154858467	-0.03242511820604296	-0.003689553342541711	0.38812301166489926
05	NPCr	all voxels	17818	-0.05789811656385261	-0.05381875105835519	-0.004079365505497422	0.42154001571444605
05	NPCr	signal voxels	10424	-0.04277823038653127	-0.03972074984396372	-0.0030574805425675547	0.4293937068303914
05	V1	all voxels	1995	-0.04590806463036156	-0.04317568217807791	-0.0027323824522836487	0.45263157894736844
05	V1	signal voxels	1427	-0.03181742242278474	-0.03027141457165515	-0.0015460078511295857	0.47372109320252276
06	NPCr	all voxels	13270	-0.11858291379737652	-0.10411140117612454	-0.014471512621251983	0.4034664657121326
06	NPCr	signal voxels	7608	-0.09895517115807122	-0.08670495121854994	-0.012250219939521266	0.4069400630914827
06	V1	all voxels	1922	-0.035794645897388726	-0.03441495890629707	-0.0013796869910916623	0.5135275754422477
06	V1	signal voxels	1540	-0.024861520342921814	-0.023097410535707262	-0.0017641098072145507	0.509090909090909
07	NPCr	all voxels	13847	-0.04761364447259239	-0.04270482589876707	-0.0049088185738253185	0.49353650610240485
07	NPCr	signal voxels	6593	-0.02657147170118923	-0.02523048558412968	-0.0013409861170595556	0.5021993022903078
07	V1	all voxels	1901	-0.06621843787979263	-0.06654341299118025	0.0003249751113876113	0.4723829563387691
07	V1	signal voxels	1422	-0.04653939883179495	-0.04709371863849083	0.0005543198066958855	0.4542897327707454
08	NPCr	all voxels	14620	-0.05655414044403745	-0.05317151010599721	-0.0033826303380402305	0.4780437756497948
08	NPCr	signal voxels	7125	-0.03627858254497206	-0.03372490971911904	-0.0025536728258530265	0.4776140350877193
08	V1	all voxels	2077	-0.04458595134568319	-0.04061395236867196	-0.003971998977011222	0.31150698122291764
08	V1	signal voxels	1499	-0.03414516078935871	-0.031140710492634824	-0.003004450296723889	0.29953302201467646
09	NPCr	all voxels	12809	-0.051304314733294595	-0.04047922177828911	-0.010825092955005484	0.38027949098290265
09	NPCr	signal voxels	9004	-0.03757853161877266	-0.03008391002564206	-0.0074946215931305975	0.38904931141714794
09	V1	all voxels	1765	-0.02692960654333023	-0.020579760223387807	-0.006349846319942424	0.32521246458923514
09	V1	signal voxels	1386	-0.01590735737447162	-0.010187808274436624	-0.005719549100034998	0.28715728715728717
10	NPCr	all voxels	15407	-0.08004356846634958	-0.05622831399286739	-0.023815254473482195	0.39436619718309857
10	NPCr	signal voxels	8955	-0.0518226984805215	-0.036481536342420226	-0.015341162138101268	0.3811278615298716
10	V1	all voxels	1468	-0.0429028756675663	-0.038581795496813336	-0.004321080170752967	0.31130790190735697
10	V1	signal voxels	1130	-0.03423224004004689	-0.03052407471423093	-0.00370816532581595	0.28584070796460176
11	NPCr	all voxels	18612	-0.04590466505841677	-0.0421063735479956	-0.0037982915104211624	0.4514829142488717
11	NPCr	signal voxels	11172	-0.032530294986036955	-0.030219689542118393	-0.0023106054439185546	0.4761009667024705
11	V1	all voxels	2177	-0.03284765893164569	-0.03341195136918103	0.0005642924375353292	0.583371612310519
11	V1	signal voxels	1586	-0.020782211942487125	-0.021968732471280124	0.0011865205287930024	0.6185372005044136
12	NPCr	all voxels	17427	-0.08400991067202011	-0.08031091466114496	-0.0036989960108751545	0.46536982842715324
12	NPCr	signal voxels	10959	-0.06582690080140603	-0.06287358242353783	-0.002953318377868199	0.48991696322657174
12	V1	all voxels	1842	-0.06376291369352273	-0.06521207633489252	0.0014491626413698036	0.5743756786102063
12	V1	signal voxels	1356	-0.04801465549335913	-0.04951000807495148	0.0014953525815923521	0.5907079646017699
13	NPCr	all voxels	19453	-0.07961600964655066	-0.06635536272858855	-0.013260646917962107	0.32956356346064875
13	NPCr	signal voxels	11884	-0.0588327083362198	-0.047126867782873484	-0.011705840553346322	0.3428980141366543
13	V1	all voxels	1876	-0.130153673599855	-0.1248853299820696	-0.00526834361778539	0.417910447761194
13	V1	signal voxels	1155	-0.10190664252270558	-0.09877597973005582	-0.0031306627926497386	0.4277056277056277
14	NPCr	all voxels	15263	-0.050502127160614384	-0.05014605369055957	-0.000356073470054811	0.5320710214243596
14	NPCr	signal voxels	9998	-0.03380305134088488	-0.0360446617581969	0.002241610417312015	0.5726145229045809
14	V1	all voxels	1979	-0.04959247249241287	-0.050253197699798975	0.0006607252073860934	0.5694795351187468
14	V1	signal voxels	1475	-0.03675134513758871	-0.03743671721316198	0.000685372075573265	0.5864406779661017
15	NPCr	all voxels	15555	-0.0661134638287867	-0.058922183004293575	-0.007191280824493126	0.4410800385728062
15	NPCr	signal voxels	9033	-0.04984115607089723	-0.044911387871128444	-0.004929768199768783	0.45721244326358906
15	V1	all voxels	2027	-0.05301937002458564	-0.04867741748549992	-0.004341952539085724	0.46127281697089295
15	V1	signal voxels	1375	-0.0366742437317906	-0.035288760105943735	-0.0013854836258468666	0.5061818181818182
16	NPCr	all voxels	9557	-0.05015457343734455	-0.04391652914751483	-0.006238044289829712	0.41205399183844305
16	NPCr	signal voxels	4461	-0.03108744026085616	-0.024382909464686523	-0.00670453079616964	0.38623626989464244
16	V1	all voxels	1286	-0.048415091020750575	-0.045625934205764794	-0.002789156814985781	0.3911353032659409
16	V1	signal voxels	953	-0.03453329334175063	-0.03137796217036317	-0.0031553311713874597	0.3777544596012592
17	NPCr	all voxels	15301	-0.04226171424261709	-0.038043789067912365	-0.004217925174704734	0.493562512254101
17	NPCr	signal voxels	8639	-0.024088635008887634	-0.02412413556536712	3.550055647948559e-05	0.5384882509549717
17	V1	all voxels	1638	-0.0576418429499976	-0.05155870219994304	-0.006083140750054562	0.45665445665445664
17	V1	signal voxels	1123	-0.038357216957870775	-0.03793050657091022	-0.00042671038696055487	0.4666073018699911
18	NPCr	all voxels	16598	-0.05611647687480618	-0.04645319764434498	-0.009663279230461192	0.3570309675864562
18	NPCr	signal voxels	10801	-0.041488611619344445	-0.033883326802962	-0.007605284816382445	0.3642255346727155
18	V1	all voxels	1752	-0.057254538932268624	-0.054354699347987624	-0.0028998395842809973	0.4103881278538813
18	V1	signal voxels	1384	-0.0415286472575446	-0.039395939610169795	-0.002132707647374794	0.4031791907514451
19	NPCr	all voxels	17490	-0.06883454747013609	-0.06513036317295277	-0.0037041842971833197	0.473642081189251
19	NPCr	signal voxels	9006	-0.050705694250358084	-0.04919633135181191	-0.0015093628985461737	0.4991117033089052
19	V1	all voxels	2646	-0.06146845113929261	-0.05971344965071643	-0.001755001488576182	0.5211640211640212
