value	fi	subject	session	condition	variant
28.856785	0.07028238	03	1	inverse_cdf	unsmoothed
29.105528	0.044843595	03	1	inverse_cdf	unsmoothed
29.35427	0.03609121	03	1	inverse_cdf	unsmoothed
29.603016	0.02860751	03	1	inverse_cdf	unsmoothed
29.851759	0.022187637	03	1	inverse_cdf	unsmoothed
30.100502	0.016933452	03	1	inverse_cdf	unsmoothed
30.349247	0.012798287	03	1	inverse_cdf	unsmoothed
30.59799	0.009652339	03	1	inverse_cdf	unsmoothed
30.846733	0.0073289946	03	1	inverse_cdf	unsmoothed
31.095478	0.005657052	03	1	inverse_cdf	unsmoothed
31.344221	0.0044801896	03	1	inverse_cdf	unsmoothed
31.592964	0.0036669197	03	1	inverse_cdf	unsmoothed
31.84171	0.0031131182	03	1	inverse_cdf	unsmoothed
32.090454	0.002740357	03	1	inverse_cdf	unsmoothed
32.339195	0.002491884	03	1	inverse_cdf	unsmoothed
32.58794	0.0023279795	03	1	inverse_cdf	unsmoothed
32.836685	0.002221628	03	1	inverse_cdf	unsmoothed
33.085426	0.0021548364	03	1	inverse_cdf	unsmoothed
33.33417	0.0021158918	03	1	inverse_cdf	unsmoothed
33.582916	0.0020975212	03	1	inverse_cdf	unsmoothed
33.831657	0.0020960362	03	1	inverse_cdf	unsmoothed
34.080402	0.0021117073	03	1	inverse_cdf	unsmoothed
34.329147	0.0021509908	03	1	inverse_cdf	unsmoothed
34.57789	0.0022317155	03	1	inverse_cdf	unsmoothed
34.826633	0.0023928143	03	1	inverse_cdf	unsmoothed
35.07538	0.0027103797	03	1	inverse_cdf	unsmoothed
35.32412	0.0033217738	03	1	inverse_cdf	unsmoothed
35.572865	0.0044605574	03	1	inverse_cdf	unsmoothed
35.82161	0.006510213	03	1	inverse_cdf	unsmoothed
36.07035	0.010097979	03	1	inverse_cdf	unsmoothed
36.319096	0.01626374	03	1	inverse_cdf	unsmoothed
36.56784	0.026716812	03	1	inverse_cdf	unsmoothed
36.81658	0.044075027	03	1	inverse_cdf	unsmoothed
37.065327	0.07173643	03	1	inverse_cdf	unsmoothed
37.31407	0.11280086	03	1	inverse_cdf	unsmoothed
37.562813	0.16764477	03	1	inverse_cdf	unsmoothed
37.811558	0.23072284	03	1	inverse_cdf	unsmoothed
38.060303	0.28867072	03	1	inverse_cdf	unsmoothed
38.309044	0.3225854	03	1	inverse_cdf	unsmoothed
38.55779	0.31573874	03	1	inverse_cdf	unsmoothed
38.806534	0.26396182	03	1	inverse_cdf	unsmoothed
39.055275	0.18221278	03	1	inverse_cdf	unsmoothed
39.30402	0.10118909	03	1	inverse_cdf	unsmoothed
39.552765	0.054715384	03	1	inverse_cdf	unsmoothed
39.801506	0.20595631	03	1	inverse_cdf	unsmoothed
40.05025	5.4423695	03	1	inverse_cdf	unsmoothed
40.298996	82.75112	03	1	inverse_cdf	unsmoothed
40.547737	76.93494	03	1	inverse_cdf	unsmoothed
40.796482	69.47413	03	1	inverse_cdf	unsmoothed
41.045227	86.03477	03	1	inverse_cdf	unsmoothed
41.29397	7.475008	03	1	inverse_cdf	unsmoothed
41.542713	3.4716263	03	1	inverse_cdf	unsmoothed
41.79146	4.355381	03	1	inverse_cdf	unsmoothed
42.0402	3.6463258	03	1	inverse_cdf	unsmoothed
42.288944	1.464046	03	1	inverse_cdf	unsmoothed
42.53769	0.082900256	03	1	inverse_cdf	unsmoothed
42.78643	1.0377251	03	1	inverse_cdf	unsmoothed
43.035175	3.0371273	03	1	inverse_cdf	unsmoothed
43.28392	3.8695133	03	1	inverse_cdf	unsmoothed
43.53266	3.0690215	03	1	inverse_cdf	unsmoothed
43.781406	1.702686	03	1	inverse_cdf	unsmoothed
44.03015	0.7011853	03	1	inverse_cdf	unsmoothed
44.278896	0.2288938	03	1	inverse_cdf	unsmoothed
44.527637	0.07287972	03	1	inverse_cdf	unsmoothed
44.776382	0.038029786	03	1	inverse_cdf	unsmoothed
45.025127	0.035596326	03	1	inverse_cdf	unsmoothed
45.27387	0.038669426	03	1	inverse_cdf	unsmoothed
45.522614	0.041331295	03	1	inverse_cdf	unsmoothed
45.77136	0.04263248	03	1	inverse_cdf	unsmoothed
46.0201	0.042538777	03	1	inverse_cdf	unsmoothed
46.268845	0.04119972	03	1	inverse_cdf	unsmoothed
46.51759	0.038837183	03	1	inverse_cdf	unsmoothed
46.76633	0.035710655	03	1	inverse_cdf	unsmoothed
47.015076	0.03208812	03	1	inverse_cdf	unsmoothed
47.26382	0.028221756	03	1	inverse_cdf	unsmoothed
47.51256	0.024329986	03	1	inverse_cdf	unsmoothed
47.761307	0.020587377	03	1	inverse_cdf	unsmoothed
48.01005	0.017120983	03	1	inverse_cdf	unsmoothed
48.258793	0.014012249	03	1	inverse_cdf	unsmoothed
48.507538	0.011302244	03	1	inverse_cdf	unsmoothed
48.756283	0.008999521	03	1	inverse_cdf	unsmoothed
49.005024	0.0070881117	03	1	inverse_cdf	unsmoothed
49.25377	0.0055354713	03	1	inverse_cdf	unsmoothed
49.502514	0.004299499	03	1	inverse_cdf	unsmoothed
