subject	nvoxels	metric	decoder	mask
03	0	0.23052119740737778	gabor	BensonV1
03	50	0.17313450473254768	gabor	BensonV1
03	100	-0.0058591181328337925	gabor	BensonV1
03	250	0.13321249343851044	gabor	BensonV1
03	500	0.13449610771055573	gabor	BensonV1
04	0	0.12049767390362522	gabor	BensonV1
04	50	0.05916756096887873	gabor	BensonV1
04	100	-0.07331271250630716	gabor	BensonV1
04	250	0.12682921642623393	gabor	BensonV1
04	500	0.09964667346787942	gabor	BensonV1
05	0	0.2990408473713765	gabor	BensonV1
05	50	0.41001350201837905	gabor	BensonV1
05	100	0.3597462894040722	gabor	BensonV1
05	250	0.4720318719294103	gabor	BensonV1
05	500	0.5244022707579514	gabor	BensonV1
06	0	0.4170334787588907	gabor	BensonV1
06	50	0.32344240888111	gabor	BensonV1
06	100	0.17482966514787054	gabor	BensonV1
06	250	0.4505125365862746	gabor	BensonV1
06	500	0.535588710114611	gabor	BensonV1
07	0	0.13074172178646432	gabor	BensonV1
07	50	0.1440758684998173	gabor	BensonV1
07	100	0.08117061812364944	gabor	BensonV1
07	250	-0.10712257015860602	gabor	BensonV1
07	500	-0.09556015773921683	gabor	BensonV1
08	0	0.16563270227354546	gabor	BensonV1
08	50	0.26244800686560943	gabor	BensonV1
08	100	-0.016737215009000144	gabor	BensonV1
08	250	0.1924679872761937	gabor	BensonV1
08	500	0.14386192342256962	gabor	BensonV1
09	0	0.21196965335513862	gabor	BensonV1
09	50	0.12049396247531094	gabor	BensonV1
09	100	0.2726728312724672	gabor	BensonV1
09	250	0.4338956712709051	gabor	BensonV1
09	500	0.5809900823887397	gabor	BensonV1
10	0	-0.12149516618478753	gabor	BensonV1
10	50	-0.2660189650224659	gabor	BensonV1
10	100	-0.20359543402402633	gabor	BensonV1
10	250	-0.37093279560453685	gabor	BensonV1
10	500	-0.33633123824088673	gabor	BensonV1
11	0	0.5040703405091803	gabor	BensonV1
11	50	0.44489711380515984	gabor	BensonV1
11	100	0.5669880344055966	gabor	BensonV1
11	250	0.6665962768676641	gabor	BensonV1
11	500	0.6522905792403457	gabor	BensonV1
12	0	0.2924772384012968	gabor	BensonV1
12	50	0.1564762972448438	gabor	BensonV1
12	100	0.09628801478914559	gabor	BensonV1
12	250	-0.17076338196614022	gabor	BensonV1
12	500	-0.2079282579490428	gabor	BensonV1
13	0	0.01651801496782608	gabor	BensonV1
13	50	-0.029370788029560165	gabor	BensonV1
13	100	-0.07575237358362552	gabor	BensonV1
13	250	-0.13612591458199597	gabor	BensonV1
13	500	-0.12707413926277308	gabor	BensonV1
14	0	0.08262722108283624	gabor	BensonV1
14	50	0.06982281848777133	gabor	BensonV1
14	100	0.08168595345301352	gabor	BensonV1
14	250	0.17983101967033702	gabor	BensonV1
14	500	0.1407443947909417	gabor	BensonV1
15	0	0.141092708878649	gabor	BensonV1
15	50	0.07733145799349636	gabor	BensonV1
15	100	0.005588692674491386	gabor	BensonV1
15	250	-0.10059024862119346	gabor	BensonV1
15	500	-0.10818758938016856	gabor	BensonV1
16	50	0.050681416978842125	gabor	BensonV1
16	100	0.048288424324143916	gabor	BensonV1
16	250	0.057968826326913844	gabor	BensonV1
16	500	0.002455041112080756	gabor	BensonV1
17	0	0.14192940239161986	gabor	BensonV1
17	50	0.1372952280358292	gabor	BensonV1
17	100	0.16727809174857966	gabor	BensonV1
17	250	0.1286415802327812	gabor	BensonV1
17	500	0.1928391852776251	gabor	BensonV1
18	0	0.2364103480997245	gabor	BensonV1
18	50	0.14502522120041553	gabor	BensonV1
18	100	0.24086678665632502	gabor	BensonV1
18	250	0.24646015536280727	gabor	BensonV1
18	500	0.2980312970528363	gabor	BensonV1
19	0	0.10492050366052967	gabor	BensonV1
19	50	-0.04954798147741976	gabor	BensonV1
19	100	0.0161229048427058	gabor	BensonV1
19	250	0.04955335903523465	gabor	BensonV1
19	500	0.0447253079793895	gabor	BensonV1
20	0	0.19056052553721292	gabor	BensonV1
20	50	0.12352854403665722	gabor	BensonV1
20	100	0.11842777205010038	gabor	BensonV1
20	250	0.05592223226669264	gabor	BensonV1
20	500	0.04119887447869344	gabor	BensonV1
21	0	-0.034231675042225684	gabor	BensonV1
21	50	-0.008037715450289924	gabor	BensonV1
