subject	mean_cdf	mean_invcdf	median_shift	sem_shift	n_voxels	r_pearson	p_pearson	r_spearman	p_spearman	variant
03	19.77445411682129	17.14655876159668	-2.3814563751220703	1.3727603882542687	131	0.14864558	0.09018025349778915	0.13211445043506112	0.13252258286113444	unsmoothed
04	19.195890426635742	14.043586730957031	-6.107766151428223	0.9870087875421473	233	0.2614031	5.3647672571001994e-05	0.39153793027553574	5.885566025278162e-10	unsmoothed
05	26.827117919921875	19.149866104125977	-8.766805648803711	0.8733696847757946	271	0.022452392	0.7129098309700506	-0.05062706509418035	0.40647843436866116	unsmoothed
06	31.532995223999023	18.166873931884766	-15.197042465209961	1.417835897581121	255	-0.017671937	0.7788379665808589	-0.05133308244557666	0.41436600348757	unsmoothed
07	22.24237060546875	32.2574348449707	9.062101364135742	1.3584922845482046	134	-0.10108405	0.24517478901881662	-0.13214379231661244	0.12800238683609574	unsmoothed
08	17.926843643188477	17.759952545166016	-1.3267240524291992	1.4273580270207502	130	0.26976997	0.0019098712890159592	0.2355596826393915	0.0069772393918288884	unsmoothed
09	15.930726051330566	19.98007583618164	5.895752906799316	0.9259941444880755	202	0.26395857	0.0001471582877063936	0.34363300310620726	5.530011983274901e-07	unsmoothed
10	22.24753761291504	20.910463333129883	0.8599842190742493	1.2938736426782635	186	0.08519159	0.24762837438362034	0.11020332044999977	0.13428775793481199	unsmoothed
11	20.95241928100586	16.98822593688965	-4.872005462646484	0.651372268071794	261	0.37957457	2.272456854854569e-10	0.3530537725852283	4.454173450000434e-09	unsmoothed
12	17.656784057617188	22.15515899658203	0.32712578773498535	1.009854434874456	360	0.070318	0.18312369787560628	0.2072149609703115	7.462748967445642e-05	unsmoothed
13	19.159692764282227	19.115478515625	-0.7701492309570312	0.7284424844861309	385	0.22946599	5.399266481253107e-06	0.32553306473319427	5.918010742752814e-11	unsmoothed
14	24.111553192138672	18.042747497558594	-4.935239791870117	1.036680588531929	250	0.2660738	2.0169284955062787e-05	0.27418384294148707	1.0921428040633216e-05	unsmoothed
15	24.773574829101562	22.257972717285156	-2.3208603858947754	1.3603334907462705	184	0.065090634	0.3800269299846911	0.08480476199649399	0.25238669796936863	unsmoothed
16	20.697216033935547	20.868511199951172	0.49919891357421875	2.026890998463972	73	0.092178315	0.4379663257862977	0.11690114772306555	0.3246501381179774	unsmoothed
17	21.449237823486328	20.643035888671875	-2.941051483154297	0.9022947678472304	148	0.23382765	0.004232693606384136	0.13486502669487066	0.10220265538307013	unsmoothed
18	17.77508544921875	23.8614559173584	3.3106377124786377	0.9332331013827829	336	0.12149414	0.02594855884822313	0.16468871572255891	0.002459765984815897	unsmoothed
19	20.89374542236328	22.081512451171875	1.3516521453857422	1.4114318941687345	188	-0.010195501	0.889556875191556	0.05632943054720276	0.44260064148643075	unsmoothed
