subject	quantity	roi	r	n
03	gabor	BensonV1	0.4794032293929058	368
03	gabor	NPCr	0.1320839883653994	368
03	value	BensonV1	0.512206440123952	368
03	value	NPCr	0.30937951289554333	368
04	gabor	BensonV1	0.5937107671070995	368
04	gabor	NPCr	0.2538237698757611	368
04	value	BensonV1	0.7021612854787689	368
04	value	NPCr	0.4165598088088348	368
05	gabor	BensonV1	0.6257071597830061	368
05	gabor	NPCr	0.09829611459127538	368
05	value	BensonV1	0.6501929916322681	368
05	value	NPCr	0.0702280412820545	368
06	gabor	BensonV1	0.859242999846671	368
06	gabor	NPCr	0.3149073751413961	368
06	value	BensonV1	0.8360593259600928	368
06	value	NPCr	0.4281180400096004	368
07	gabor	BensonV1	0.5492595554290581	368
07	gabor	NPCr	0.06637714587543851	368
07	value	BensonV1	0.5980782291785487	368
07	value	NPCr	0.23114856834390898	368
08	gabor	BensonV1	0.5371418639819455	368
08	gabor	NPCr	0.2339752669543688	368
08	value	BensonV1	0.7315207107101881	368
08	value	NPCr	0.2823902466773189	368
09	gabor	BensonV1	0.7123170730627465	368
09	gabor	NPCr	0.2143971595680643	368
09	value	BensonV1	0.7389212560235068	368
09	value	NPCr	0.38910881860527213	368
10	gabor	BensonV1	0.4524564272308671	368
10	gabor	NPCr	0.2854509058615458	368
10	value	BensonV1	0.4913262098195011	368
10	value	NPCr	0.3991258828014527	368
11	gabor	BensonV1	0.5754246711873221	368
11	gabor	NPCr	0.22657505493453714	368
11	value	BensonV1	0.7757982041028686	368
11	value	NPCr	0.23122312381845184	368
12	gabor	BensonV1	0.6705810144918574	368
12	gabor	NPCr	0.19595338328333578	368
12	value	BensonV1	0.6907695673134431	368
12	value	NPCr	0.3536119263542349	368
13	gabor	BensonV1	0.28972473940795324	368
13	gabor	NPCr	0.18345185982901008	368
13	value	BensonV1	0.21083918771369695	368
13	value	NPCr	0.231107431533368	368
14	gabor	BensonV1	0.4095117940922083	368
14	gabor	NPCr	0.1175540024535255	368
14	value	BensonV1	0.3550943625855863	368
14	value	NPCr	0.26735162711217886	368
pil01	gabor	BensonV1	0.45519112400483625	368
pil01	gabor	NPCr	0.34249799879829973	368
pil01	value	BensonV1	0.4159850258545757	368
pil01	value	NPCr	-0.0013194974194876696	368
pil02	gabor	BensonV1	0.5165005777019821	368
pil02	gabor	NPCr	0.2152172568103926	368
pil02	value	BensonV1	0.6744119463590512	368
pil02	value	NPCr	0.33178728798613233	368
