subject	model	mask	nvoxels	prior	r
03	Linear	NPCr	250	uniform	0.17888289717653233
03	Linear	NPCr	250	matched	0.18061998508814706
03	Linear	NPCr	500	uniform	0.19111769307422732
03	Linear	NPCr	500	matched	0.19270595312921715
03	Linear	vmPFC+OFC	0	uniform	0.1738805910864366
03	Linear	vmPFC+OFC	0	matched	0.17417082771803313
03	Linear	vmPFC+OFC	50	uniform	0.04166474173047088
03	Linear	vmPFC+OFC	50	matched	0.04178397194922766
03	Linear	vmPFC+OFC	100	uniform	0.07960167859091148
03	Linear	vmPFC+OFC	100	matched	0.08020978727973717
03	Linear	vmPFC+OFC	250	uniform	0.020927865306059328
03	Linear	vmPFC+OFC	250	matched	0.021508763717535677
03	Linear	vmPFC+OFC	500	uniform	0.008045058155015383
03	Linear	vmPFC+OFC	500	matched	0.008456010870835983
04	PRF	V1	0	uniform	0.6377102413162549
04	PRF	V1	0	matched	0.6390954204581915
04	PRF	V1	50	uniform	0.6946203685096427
04	PRF	V1	50	matched	0.6994341427879073
04	PRF	V1	100	uniform	0.724713641815709
04	PRF	V1	100	matched	0.7268857621265596
04	PRF	V1	250	uniform	0.6587931871446326
04	PRF	V1	250	matched	0.6636074777866379
04	PRF	V1	500	uniform	0.5509143098553105
04	PRF	V1	500	matched	0.552412020586481
04	PRF	NPCr	0	uniform	0.4881328651858554
04	PRF	NPCr	0	matched	0.48977241346837463
04	PRF	NPCr	50	uniform	0.4481500440608331
04	PRF	NPCr	50	matched	0.4502466975218118
04	PRF	NPCr	100	uniform	0.4144369123979603
04	PRF	NPCr	100	matched	0.41712127678788835
04	PRF	NPCr	250	uniform	0.38033893057930085
04	PRF	NPCr	250	matched	0.3772181745580172
04	PRF	NPCr	500	uniform	0.347878656563258
04	PRF	NPCr	500	matched	0.34978678533371466
04	PRF	vmPFC+OFC	0	uniform	-0.06522292256092156
04	PRF	vmPFC+OFC	0	matched	-0.06785819725757983
04	PRF	vmPFC+OFC	50	uniform	0.00065482792257145
04	PRF	vmPFC+OFC	50	matched	-0.006693296015769196
04	PRF	vmPFC+OFC	100	uniform	0.060752270970621386
04	PRF	vmPFC+OFC	100	matched	0.05934817959640762
04	PRF	vmPFC+OFC	250	uniform	-0.015398414150474353
04	PRF	vmPFC+OFC	250	matched	-0.01702168551772121
04	PRF	vmPFC+OFC	500	uniform	0.02883587155494949
04	PRF	vmPFC+OFC	500	matched	0.02575181960668397
04	Linear	V1	0	uniform	0.6181098544743895
04	Linear	V1	0	matched	0.6189778295462356
04	Linear	V1	50	uniform	0.7287017128789489
04	Linear	V1	50	matched	0.7290334985016059
04	Linear	V1	100	uniform	0.761409136531688
04	Linear	V1	100	matched	0.7617337132479901
04	Linear	V1	250	uniform	0.7460887557481547
04	Linear	V1	250	matched	0.7460361249056904
04	Linear	V1	500	uniform	0.7187561781207086
04	Linear	V1	500	matched	0.7187345557669065
04	Linear	NPCr	0	uniform	0.4966232993452763
04	Linear	NPCr	0	matched	0.49812067190985104
04	Linear	NPCr	50	uniform	0.46085895676157823
04	Linear	NPCr	50	matched	0.4630933007339075
04	Linear	NPCr	100	uniform	0.43279556737239455
04	Linear	NPCr	100	matched	0.4352396459086007
04	Linear	NPCr	250	uniform	0.41334413199032943
04	Linear	NPCr	250	matched	0.415000439165014
04	Linear	NPCr	500	uniform	0.4006038350598716
04	Linear	NPCr	500	matched	0.4020152340180376
04	Linear	vmPFC+OFC	0	uniform	-0.009705453467313534
04	Linear	vmPFC+OFC	0	matched	-0.009875050630112674
04	Linear	vmPFC+OFC	50	uniform	0.04925879021734755
04	Linear	vmPFC+OFC	50	matched	0.048227567452842235
04	Linear	vmPFC+OFC	100	uniform	0.0489867398474983
04	Linear	vmPFC+OFC	100	matched	0.047917117658335506
04	Linear	vmPFC+OFC	250	uniform	0.04459687209079871
04	Linear	vmPFC+OFC	250	matched	0.04449952238374274
04	Linear	vmPFC+OFC	500	uniform	0.05508606520354366
04	Linear	vmPFC+OFC	500	matched	0.05586759769725979
05	PRF	V1	0	uniform	0.6958561508012353
05	PRF	V1	0	matched	0.7012802167808281
05	PRF	V1	50	uniform	0.7105187362071965
05	PRF	V1	50	matched	0.7136129759193934
05	PRF	V1	100	uniform	0.6699664795794008
05	PRF	V1	100	matched	0.6741618811801511
05	PRF	V1	250	uniform	0.6515616180082235
05	PRF	V1	250	matched	0.6574921534397398
05	PRF	V1	500	uniform	0.6329321191917082
05	PRF	V1	500	matched	0.6381298262697439
05	PRF	NPCr	0	uniform	0.018732824496006356
05	PRF	NPCr	0	matched	0.02519080270867661
05	PRF	NPCr	50	uniform	0.09577951053542576
05	PRF	NPCr	50	matched	0.09531784902624367
05	PRF	NPCr	100	uniform	0.07378964229582437
05	PRF	NPCr	100	matched	0.07691751283069129
05	PRF	NPCr	250	uniform	0.15475030290933822
05	PRF	NPCr	250	matched	0.1515970659617661
05	PRF	NPCr	500	uniform	0.12929059276330657
05	PRF	NPCr	500	matched	0.1304885917820527
05	PRF	vmPFC+OFC	0	uniform	-0.028036918489092455
05	PRF	vmPFC+OFC	0	matched	-0.028634750757164228
05	PRF	vmPFC+OFC	50	uniform	0.07314411328053808
05	PRF	vmPFC+OFC	50	matched	0.08282164513009087
05	PRF	vmPFC+OFC	100	uniform	0.09896682232998746
05	PRF	vmPFC+OFC	100	matched	0.10121864979609242
05	PRF	vmPFC+OFC	250	uniform	0.016374013189970577
05	PRF	vmPFC+OFC	250	matched	0.007229436715586658
05	PRF	vmPFC+OFC	500	uniform	0.01272128080947478
05	PRF	vmPFC+OFC	500	matched	0.018837990266480607
05	Linear	V1	0	uniform	0.6743650511902943
05	Linear	V1	0	matched	0.6735747442869849
05	Linear	V1	50	uniform	0.6885453148611382
05	Linear	V1	50	matched	0.6877383685834599
05	Linear	V1	100	uniform	0.6752711349144559
05	Linear	V1	100	matched	0.6744953683616711
05	Linear	V1	250	uniform	0.6211779702491621
05	Linear	V1	250	matched	0.6213847870307504
05	Linear	V1	500	uniform	0.5946996105823386
05	Linear	V1	500	matched	0.5955282584829859
05	Linear	NPCr	0	uniform	0.151680436817557
05	Linear	NPCr	0	matched	0.1517991426777099
05	Linear	NPCr	50	uniform	0.2603337732132893
05	Linear	NPCr	50	matched	0.2617894024176085
05	Linear	NPCr	100	uniform	0.2105540243268251
05	Linear	NPCr	100	matched	0.2118658591383849
05	Linear	NPCr	250	uniform	0.2069425342691401
05	Linear	NPCr	250	matched	0.20784693377813931
05	Linear	NPCr	500	uniform	0.17491394993176276
05	Linear	NPCr	500	matched	0.17559946206506696
05	Linear	vmPFC+OFC	0	uniform	-0.149993689557253
05	Linear	vmPFC+OFC	0	matched	-0.15004632594997663
05	Linear	vmPFC+OFC	50	uniform	-0.0858261043557847
05	Linear	vmPFC+OFC	50	matched	-0.08506709012789809
05	Linear	vmPFC+OFC	100	uniform	-0.08851052206520461
05	Linear	vmPFC+OFC	100	matched	-0.08676920685372586
05	Linear	vmPFC+OFC	250	uniform	-0.03786138543799334
05	Linear	vmPFC+OFC	250	matched	-0.036888914067892326
05	Linear	vmPFC+OFC	500	uniform	-0.035325704133432195
05	Linear	vmPFC+OFC	500	matched	-0.03494220319629757
06	PRF	V1	0	uniform	0.8546140972458242
06	PRF	V1	0	matched	0.8575869479723892
06	PRF	V1	50	uniform	0.8587926632080715
06	PRF	V1	50	matched	0.8622098068373425
06	PRF	V1	100	uniform	0.841711046538437
06	PRF	V1	100	matched	0.8454919433617943
06	PRF	V1	250	uniform	0.8379490774833853
06	PRF	V1	250	matched	0.8383694224415689
06	PRF	V1	500	uniform	0.7854226601271455
06	PRF	V1	500	matched	0.7853014300889598
06	PRF	NPCr	0	uniform	0.5445565784696164
06	PRF	NPCr	0	matched	0.5444721212714073
06	PRF	NPCr	50	uniform	0.44153558147306493
06	PRF	NPCr	50	matched	0.43425619263018
06	PRF	NPCr	100	uniform	0.4553997150114072
06	PRF	NPCr	100	matched	0.4550450742826275
06	PRF	NPCr	250	uniform	0.3239426444998004
06	PRF	NPCr	250	matched	0.32487115751332507
06	PRF	NPCr	500	uniform	0.24974475726578965
06	PRF	NPCr	500	matched	0.24709251837702928
06	PRF	vmPFC+OFC	0	uniform	-0.019655981811203458
06	PRF	vmPFC+OFC	0	matched	0.00021242834892894538
06	PRF	vmPFC+OFC	50	uniform	0.08174058170829246
06	PRF	vmPFC+OFC	50	matched	0.07318217893041756
06	PRF	vmPFC+OFC	100	uniform	0.06547641717001709
06	PRF	vmPFC+OFC	100	matched	0.06454039796931657
06	PRF	vmPFC+OFC	250	uniform	0.02952007755876522
06	PRF	vmPFC+OFC	250	matched	0.03203543526797421
06	PRF	vmPFC+OFC	500	uniform	0.027538355708999672
06	PRF	vmPFC+OFC	500	matched	0.02724840499068334
06	Linear	V1	0	uniform	0.8656490935185803
06	Linear	V1	0	matched	0.8657456032498796
06	Linear	V1	50	uniform	0.872079132961002
06	Linear	V1	50	matched	0.8721615758778183
06	Linear	V1	100	uniform	0.8646947732871998
06	Linear	V1	100	matched	0.8647780286054692
06	Linear	V1	250	uniform	0.8430741507828998
06	Linear	V1	250	matched	0.8431533263888117
06	Linear	V1	500	uniform	0.8251525981556955
06	Linear	V1	500	matched	0.8251969837646755
06	Linear	NPCr	0	uniform	0.5399748860454163
06	Linear	NPCr	0	matched	0.5398170911437266
06	Linear	NPCr	50	uniform	0.509756677402447
06	Linear	NPCr	50	matched	0.5108605613518609
06	Linear	NPCr	100	uniform	0.3908027841059165
06	Linear	NPCr	100	matched	0.3928225568606574
06	Linear	NPCr	250	uniform	0.32173607700732887
06	Linear	NPCr	250	matched	0.32402795460080935
06	Linear	NPCr	500	uniform	0.30085618553999877
06	Linear	NPCr	500	matched	0.30290386153403415
06	Linear	vmPFC+OFC	0	uniform	-0.08340234973936478
06	Linear	vmPFC+OFC	0	matched	-0.08338451096222249
06	Linear	vmPFC+OFC	50	uniform	0.11307968723886087
06	Linear	vmPFC+OFC	50	matched	0.11361595415326552
06	Linear	vmPFC+OFC	100	uniform	0.09035093760673248
06	Linear	vmPFC+OFC	100	matched	0.09025401841832717
06	Linear	vmPFC+OFC	250	uniform	0.1698114362782596
06	Linear	vmPFC+OFC	250	matched	0.17005042977456294
06	Linear	vmPFC+OFC	500	uniform	0.1464440433433552
06	Linear	vmPFC+OFC	500	matched	0.14669249187858177
07	PRF	V1	0	uniform	0.5942191342887044
07	PRF	V1	0	matched	0.6031001516865063
07	PRF	V1	50	uniform	0.6219063949164039
07	PRF	V1	50	matched	0.6296101925206028
07	PRF	V1	100	uniform	0.6092002052214043
07	PRF	V1	100	matched	0.6163394383355633
07	PRF	V1	250	uniform	0.5738254040452876
07	PRF	V1	250	matched	0.5757611446958184
07	PRF	V1	500	uniform	0.5416198095663733
07	PRF	V1	500	matched	0.5420615848540854
07	PRF	NPCr	0	uniform	0.2540404441412243
07	PRF	NPCr	0	matched	0.25817347822562303
07	PRF	NPCr	50	uniform	0.23249877777231337
07	PRF	NPCr	50	matched	0.23047221719194189
07	PRF	NPCr	100	uniform	0.2328988635727927
07	PRF	NPCr	100	matched	0.23374643936452638
07	PRF	NPCr	250	uniform	0.23334333755201755
07	PRF	NPCr	250	matched	0.23648711238164644
07	PRF	NPCr	500	uniform	0.22333476692564797
07	PRF	NPCr	500	matched	0.22581270099113543
07	PRF	vmPFC+OFC	0	uniform	-0.0013296640748143504
07	PRF	vmPFC+OFC	0	matched	0.0046309918998231475
07	PRF	vmPFC+OFC	50	uniform	0.104130221324739
07	PRF	vmPFC+OFC	50	matched	0.10740264172467599
07	PRF	vmPFC+OFC	100	uniform	0.07992655782411344
07	PRF	vmPFC+OFC	100	matched	0.081714497857374
07	PRF	vmPFC+OFC	250	uniform	0.07530372097580801
07	PRF	vmPFC+OFC	250	matched	0.07899527813715267
07	PRF	vmPFC+OFC	500	uniform	0.030673067673969594
07	PRF	vmPFC+OFC	500	matched	0.03185498567159964
07	Linear	V1	0	uniform	0.5773606147349764
07	Linear	V1	0	matched	0.5793903691517818
07	Linear	V1	50	uniform	0.5952943924755421
07	Linear	V1	50	matched	0.5968071677184281
07	Linear	V1	100	uniform	0.6110136121235976
07	Linear	V1	100	matched	0.6125266461157667
07	Linear	V1	250	uniform	0.5875902054414548
07	Linear	V1	250	matched	0.5886596573066628
07	Linear	V1	500	uniform	0.5739313993300963
07	Linear	V1	500	matched	0.5750121653802265
07	Linear	NPCr	0	uniform	0.22161894565383666
07	Linear	NPCr	0	matched	0.22004541773697828
07	Linear	NPCr	50	uniform	0.2630253369887023
07	Linear	NPCr	50	matched	0.2631520710128751
07	Linear	NPCr	100	uniform	0.24729193221087298
07	Linear	NPCr	100	matched	0.2477948184665899
07	Linear	NPCr	250	uniform	0.2205909425944328
07	Linear	NPCr	250	matched	0.22118171504372958
07	Linear	NPCr	500	uniform	0.21265439703518535
07	Linear	NPCr	500	matched	0.21365481557916738
07	Linear	vmPFC+OFC	0	uniform	-0.11193262148822747
07	Linear	vmPFC+OFC	0	matched	-0.11174749081478769
07	Linear	vmPFC+OFC	50	uniform	0.04132324766866731
07	Linear	vmPFC+OFC	50	matched	0.04306589506166157
07	Linear	vmPFC+OFC	100	uniform	0.01470978084881841
07	Linear	vmPFC+OFC	100	matched	0.016781614771314818
07	Linear	vmPFC+OFC	250	uniform	0.03413382761166404
07	Linear	vmPFC+OFC	250	matched	0.035437588670506386
07	Linear	vmPFC+OFC	500	uniform	0.07187215724005298
07	Linear	vmPFC+OFC	500	matched	0.07267806846521027
08	PRF	V1	0	uniform	0.762359575619171
08	PRF	V1	0	matched	0.7620673799880304
08	PRF	V1	50	uniform	0.7827449900415846
08	PRF	V1	50	matched	0.7822803245922403
08	PRF	V1	100	uniform	0.7481287802197986
08	PRF	V1	100	matched	0.7464553215181791
08	PRF	V1	250	uniform	0.711947017644829
08	PRF	V1	250	matched	0.7089662866713664
08	PRF	V1	500	uniform	0.683342562532537
08	PRF	V1	500	matched	0.6812150134668234
08	PRF	NPCr	0	uniform	0.31826741251409185
08	PRF	NPCr	0	matched	0.3136943063372644
08	PRF	NPCr	50	uniform	0.32954555682149733
08	PRF	NPCr	50	matched	0.3295979676087919
08	PRF	NPCr	100	uniform	0.29819708723479627
08	PRF	NPCr	100	matched	0.3016651262755238
08	PRF	NPCr	250	uniform	0.2454570817460831
08	PRF	NPCr	250	matched	0.25480019617610766
08	PRF	NPCr	500	uniform	0.22832315621212862
08	PRF	NPCr	500	matched	0.22920465611923757
08	PRF	vmPFC+OFC	0	uniform	-0.10847517308402002
08	PRF	vmPFC+OFC	0	matched	-0.11981475953960073
08	PRF	vmPFC+OFC	50	uniform	0.06422365793036353
08	PRF	vmPFC+OFC	50	matched	0.06438894563683621
08	PRF	vmPFC+OFC	100	uniform	0.03869715780284551
08	PRF	vmPFC+OFC	100	matched	0.03599502875908932
08	PRF	vmPFC+OFC	250	uniform	0.09471205686571453
08	PRF	vmPFC+OFC	250	matched	0.09672044304586341
08	PRF	vmPFC+OFC	500	uniform	0.0802935010746404
08	PRF	vmPFC+OFC	500	matched	0.082308376693567
08	Linear	V1	0	uniform	0.7506900262416831
08	Linear	V1	0	matched	0.750841888382239
08	Linear	V1	50	uniform	0.7536434889790575
08	Linear	V1	50	matched	0.7536469161246537
08	Linear	V1	100	uniform	0.7613437487941184
08	Linear	V1	100	matched	0.7615841656821726
08	Linear	V1	250	uniform	0.7273212367890933
08	Linear	V1	250	matched	0.727952650034114
08	Linear	V1	500	uniform	0.7105009724493961
08	Linear	V1	500	matched	0.7112343500509553
08	Linear	NPCr	0	uniform	0.30249267719358514
08	Linear	NPCr	0	matched	0.3031181486578176
08	Linear	NPCr	50	uniform	0.3208028210911886
08	Linear	NPCr	50	matched	0.32293588697371167
08	Linear	NPCr	100	uniform	0.3271649672416344
08	Linear	NPCr	100	matched	0.32867841351384125
08	Linear	NPCr	250	uniform	0.30242828742317984
08	Linear	NPCr	250	matched	0.3037392412091921
08	Linear	NPCr	500	uniform	0.2807673664300366
08	Linear	NPCr	500	matched	0.28182353685559725
08	Linear	vmPFC+OFC	0	uniform	-0.027703301363362673
08	Linear	vmPFC+OFC	0	matched	-0.02772588950188728
08	Linear	vmPFC+OFC	50	uniform	-0.011671682065039431
08	Linear	vmPFC+OFC	50	matched	-0.011560993041583464
08	Linear	vmPFC+OFC	100	uniform	0.03639090934079081
08	Linear	vmPFC+OFC	100	matched	0.037864338642987716
08	Linear	vmPFC+OFC	250	uniform	0.1381579174110687
08	Linear	vmPFC+OFC	250	matched	0.1381755731698882
08	Linear	vmPFC+OFC	500	uniform	0.14443658002452794
08	Linear	vmPFC+OFC	500	matched	0.14510944789680835
09	PRF	V1	0	uniform	0.7436684974091385
09	PRF	V1	0	matched	0.7458042808842524
09	PRF	V1	50	uniform	0.7372877605039743
09	PRF	V1	50	matched	0.7435925586282327
09	PRF	V1	100	uniform	0.7544927144069276
09	PRF	V1	100	matched	0.7547858117695194
09	PRF	V1	250	uniform	0.7282287416184712
09	PRF	V1	250	matched	0.726861420290531
09	PRF	V1	500	uniform	0.7029637560557342
09	PRF	V1	500	matched	0.7089580787796937
09	PRF	NPCr	0	uniform	0.3968822136067256
09	PRF	NPCr	0	matched	0.4029472596638753
09	PRF	NPCr	50	uniform	0.4142229158290232
09	PRF	NPCr	50	matched	0.4144591255955017
09	PRF	NPCr	100	uniform	0.4045494052405286
09	PRF	NPCr	100	matched	0.40485819437265613
09	PRF	NPCr	250	uniform	0.40550307049066353
09	PRF	NPCr	250	matched	0.40770344627915645
09	PRF	NPCr	500	uniform	0.33180481287363106
09	PRF	NPCr	500	matched	0.33273636293887043
09	PRF	vmPFC+OFC	0	uniform	0.06438039777099638
09	PRF	vmPFC+OFC	0	matched	0.06238139892906715
09	PRF	vmPFC+OFC	50	uniform	0.2229593499200812
09	PRF	vmPFC+OFC	50	matched	0.22195740325558594
09	PRF	vmPFC+OFC	100	uniform	0.1942198653422572
