subject	model	mask	r
23	session-shift	NPCr	0.4739439213522146
24	loggauss	V1	0.812449378091118
24	loggauss	NPCr	0.5858023901319191
24	linear	V1	0.7823685159055852
24	linear	NPCr	0.4820919427974344
24	session-shift	V1	0.8272657631089007
24	session-shift	NPCr	0.6033547935624152
25	loggauss	V1	0.6299592919480681
25	loggauss	NPCr	0.4943768488960423
25	linear	V1	0.6020180018124206
25	linear	NPCr	0.5814877401420278
25	session-shift	V1	0.5893299170838036
25	session-shift	NPCr	0.5515818313062697
pil01	loggauss	V1	0.5920803349088248
pil01	loggauss	NPCr	0.15577210891113358
pil01	linear	V1	0.6242318426914686
pil01	linear	NPCr	0.5298236830480929
pil01	session-shift	V1	0.6090055892987234
pil01	session-shift	NPCr	0.26808082686088114
pil02	loggauss	V1	0.7282543614558764
pil02	loggauss	NPCr	0.5135729668928054
pil02	linear	V1	0.7075366268704084
pil02	linear	NPCr	0.5152309171785241
pil02	session-shift	V1	0.7326271001064064
pil02	session-shift	NPCr	0.482272633400553
