subject	model	mask	r
03	loggauss	V1	0.6354887463938469
03	loggauss	NPCr	0.4775356059215978
03	linear	V1	0.7334780283160043
03	linear	NPCr	0.506323020218276
03	session-shift	V1	0.6848410338094502
03	session-shift	NPCr	0.5249888117876725
04	loggauss	V1	0.8155818093807705
04	loggauss	NPCr	0.5489700868892085
04	linear	V1	0.817327785442134
04	linear	NPCr	0.526269360226004
04	session-shift	V1	0.7366303161527865
04	session-shift	NPCr	0.4553770875372615
05	loggauss	V1	0.7969381682141348
05	loggauss	NPCr	0.3070819788820079
05	linear	V1	0.7453367945164648
05	linear	NPCr	0.5128799916670785
05	session-shift	V1	0.7916485793826766
05	session-shift	NPCr	0.28607290317339057
06	loggauss	V1	0.8877118180807695
06	loggauss	NPCr	0.714818927536619
06	linear	V1	0.8789129994382981
06	linear	NPCr	0.5460380111045192
06	session-shift	V1	0.9217975583748121
06	session-shift	NPCr	0.4880463973873552
07	loggauss	V1	0.691590098558735
07	loggauss	NPCr	0.41988859422152514
07	linear	V1	0.706864849603752
07	linear	NPCr	0.3509324956620544
07	session-shift	V1	0.6779730125719153
07	session-shift	NPCr	0.43574840747438603
08	loggauss	V1	0.7965617661527402
08	loggauss	NPCr	0.5007690861463532
08	linear	V1	0.8049554931093605
08	linear	NPCr	0.48200208074033246
08	session-shift	V1	0.8356217682179563
08	session-shift	NPCr	0.5770055695287659
09	loggauss	V1	0.8287260392031335
09	loggauss	NPCr	0.536888023384563
09	linear	V1	0.7784957857550431
09	linear	NPCr	0.5250259773254756
09	session-shift	V1	0.8505662596783747
09	session-shift	NPCr	0.5239478856232285
10	loggauss	V1	0.5341178508711306
10	loggauss	NPCr	0.5684792313935323
10	linear	V1	0.5343986433057961
10	linear	NPCr	0.5711527447729127
10	session-shift	V1	0.5279744757972599
10	session-shift	NPCr	0.4672466493480194
11	loggauss	V1	0.8467410914335307
11	loggauss	NPCr	0.3817405126568983
11	linear	V1	0.8143512162210945
11	linear	NPCr	0.48706013656852654
11	session-shift	V1	0.8576509733158002
11	session-shift	NPCr	0.44184034409808537
12	loggauss	V1	0.7659022789505308
12	loggauss	NPCr	0.46312021071081366
12	linear	V1	0.7553636437804643
12	linear	NPCr	0.5550265402610219
12	session-shift	V1	0.7679570381858103
12	session-shift	NPCr	0.5364862099495702
13	loggauss	V1	0.42152565952746124
13	loggauss	NPCr	0.2676386415330032
13	linear	V1	0.6455682805597802
13	linear	NPCr	0.5470034701513921
13	session-shift	V1	0.5395740212447864
13	session-shift	NPCr	0.23485817548493187
14	loggauss	V1	0.5424267143530936
14	loggauss	NPCr	0.47239322612573076
14	linear	V1	0.4612847124545783
14	linear	NPCr	0.4491415998002772
14	session-shift	V1	0.6464202618247251
14	session-shift	NPCr	0.40969240238320986
15	loggauss	V1	0.6449604007914242
15	loggauss	NPCr	0.4048102973124636
15	linear	V1	0.6628275107547574
15	linear	NPCr	0.4128890972988186
15	session-shift	V1	0.5577989866498614
15	session-shift	NPCr	0.4503597499588564
16	loggauss	V1	0.5978367336008552
16	loggauss	NPCr	0.39370664909541686
16	linear	V1	0.6538587961264444
16	linear	NPCr	0.2953590840197303
16	session-shift	V1	0.6609674785419808
16	session-shift	NPCr	0.47190986705680643
17	loggauss	V1	0.6153049080257281
17	loggauss	NPCr	0.4321490937478338
17	linear	V1	0.6468517964986964
17	linear	NPCr	0.4371110274543828
17	session-shift	V1	0.6791300937082974
17	session-shift	NPCr	0.38732598976563093
18	loggauss	V1	0.6013139038211343
18	loggauss	NPCr	0.4368366202296641
18	linear	V1	0.6004935917157995
18	linear	NPCr	0.5151335911498626
18	session-shift	V1	0.6472606889959207
18	session-shift	NPCr	0.448751832512665
19	loggauss	V1	0.6089836448741941
19	loggauss	NPCr	0.3704366581485372
19	linear	V1	0.47159352706742547
19	linear	NPCr	0.3454783931601869
19	session-shift	V1	0.5786881319567319
19	session-shift	NPCr	0.48410123447750164
20	loggauss	V1	0.5018393130425767
20	loggauss	NPCr	0.41230434461757337
20	linear	V1	0.6618236924134527
20	linear	NPCr	0.3746343296941914
20	session-shift	V1	0.5689880451898894
20	session-shift	NPCr	0.49348236248825994
21	loggauss	V1	0.5099758571543749
21	loggauss	NPCr	0.41869359311032384
21	linear	V1	0.5665249169986941
21	linear	NPCr	0.3344498432388274
21	session-shift	V1	0.4887917728464081
21	session-shift	NPCr	0.39693081907761507
22	loggauss	V1	0.46481451058839574
22	loggauss	NPCr	0.3389701929643717
22	linear	V1	0.47001058444864624
22	linear	NPCr	0.4404706560726651
22	session-shift	V1	0.4967663086521667
22	session-shift	NPCr	0.41903774150683626
23	loggauss	V1	0.4768209559599791
23	loggauss	NPCr	0.3809549394386587
23	linear	V1	0.5634343107524664
23	linear	NPCr	0.39660705110948613
23	session-shift	V1	0.49018845446290904
