subject	n_A	n_B	r_pearson_A	r_spearman_A	median_shift_A	mean_cdf_A	mean_invcdf_A	r_pearson_B	r_spearman_B	median_shift_B	mean_cdf_B	mean_invcdf_B	variant
03	25	131	0.13888687	0.21307692307692308	5.77195930480957	18.066246032714844	19.938535690307617	0.14864558	0.13211445043506112	-2.3814563751220703	19.77445411682129	17.14655876159668	unsmoothed
04	157	233	0.2491185	0.4095814288106476	-7.728066444396973	18.075241088867188	11.845380783081055	0.2614031	0.39153793027553574	-6.107766151428223	19.195890426635742	14.043586730957031	unsmoothed
05	150	271	0.0159649	-0.015252233432597004	-11.24905014038086	29.003808975219727	19.073486328125	0.022452392	-0.05062706509418035	-8.766805648803711	26.827117919921875	19.149866104125977	unsmoothed
06	185	255	-0.015369672	-0.030535233690913918	-17.180465698242188	35.39827346801758	17.31671142578125	-0.017671937	-0.05133308244557666	-15.197042465209961	31.532995223999023	18.166873931884766	unsmoothed
07	35	134	-0.2147299	-0.3495798319327731	18.004104614257812	20.48078155517578	38.61997604370117	-0.10108405	-0.13214379231661244	9.062101364135742	22.24237060546875	32.2574348449707	unsmoothed
08	35	130	0.6441847	0.519327731092437	-5.239778995513916	18.92503547668457	14.412976264953613	0.26976997	0.2355596826393915	-1.3267240524291992	17.926843643188477	17.759952545166016	unsmoothed
09	127	202	0.32051587	0.47586239220097487	3.9340639114379883	15.479663848876953	19.32619285583496	0.26395857	0.34363300310620726	5.895752906799316	15.930726051330566	19.98007583618164	unsmoothed
10	68	186	0.15650271	0.132267053479406	-3.014890193939209	21.32981300354004	16.159137725830078	0.08519159	0.11020332044999977	0.8599842190742493	22.24753761291504	20.910463333129883	unsmoothed
11	96	261	0.468626	0.4215002712967987	-3.9726898670196533	19.07504653930664	17.735078811645508	0.37957457	0.3530537725852283	-4.872005462646484	20.95241928100586	16.98822593688965	unsmoothed
12	238	360	0.047224086	0.2212575581200039	1.6439080238342285	16.219879150390625	21.906951904296875	0.070318	0.2072149609703115	0.32712578773498535	17.656784057617188	22.15515899658203	unsmoothed
13	290	385	0.1613966	0.27518232821662153	-1.5862956047058105	19.19103240966797	18.569072723388672	0.22946599	0.32553306473319427	-0.7701492309570312	19.159692764282227	19.115478515625	unsmoothed
14	152	250	0.2837654	0.27436286469973137	-6.8186140060424805	26.054489135742188	17.541927337646484	0.2660738	0.27418384294148707	-4.935239791870117	24.111553192138672	18.042747497558594	unsmoothed
15	71	184	-0.040319495	0.005533199195171026	0.4051971435546875	22.213661193847656	22.537748336791992	0.065090634	0.08480476199649399	-2.3208603858947754	24.773574829101562	22.257972717285156	unsmoothed
16	13	73	-0.14268932	-0.03846153846153846	-2.6384918689727783	22.452016830444336	18.178546905517578	0.092178315	0.11690114772306555	0.49919891357421875	20.697216033935547	20.868511199951172	unsmoothed
17	45	148	0.3893423	0.15085638998682477	-3.232128143310547	23.513153076171875	19.578493118286133	0.23382765	0.13486502669487066	-2.941051483154297	21.449237823486328	20.643035888671875	unsmoothed
19	74	188	-0.020955633	0.021991854868567192	3.8039345741271973	20.366044998168945	23.73680877685547	-0.010195501	0.05632943054720276	1.3516521453857422	20.89374542236328	22.081512451171875	unsmoothed
20	29	106	0.3446141	0.5004926108374383	-4.205188751220703	14.510612487792969	12.726850509643555	0.4551848	0.4475854598584276	-0.19273918867111206	17.755046844482422	17.826200485229492	unsmoothed
21	39	143	0.092171915	0.15991902834008098	-3.1901535987854004	15.03609848022461	12.694182395935059	0.11429474	0.2667274040513477	8.716578483581543	14.650288581848145	21.146060943603516	unsmoothed
pil01	271	404	0.20038752	0.13612377300243592	-4.745183944702148	20.254968643188477	17.26454734802246	0.18799314	0.18427397743910037	-4.893471717834473	20.953290939331055	17.428937911987305	unsmoothed
pil02	142	234	-0.068684734	0.026394043475254144	2.887439727783203	24.76389503479004	23.015737533569336	-0.024269097	0.034669588774236766	0.25365352630615234	24.188426971435547	22.85260581970215	unsmoothed
03	23	175	-0.25009435	-0.32608695652173914	9.944948196411133	13.907380104064941	25.19831657409668	-0.008439928	-0.010243004047429002	0.06615066528320312	19.698436737060547	19.278696060180664	smoothed
