subject	criterion	condition	n	r	mae	variant
03	0	cdf	184	0.16172070585936238	9.367234351636105	unsmoothed
03	0	inverse_cdf	184	0.22623648831414744	10.0273067299083	unsmoothed
03	NG	cdf	184	0.2681322658780035	9.490152620984222	unsmoothed
03	NG	inverse_cdf	184	0.1423134293973264	11.94497451645924	unsmoothed
04	0	cdf	184	0.3979931090418839	8.348796240442242	unsmoothed
04	0	inverse_cdf	184	0.5503344208460512	8.170750146255214	unsmoothed
04	NG	cdf	184	0.3215220762501928	9.502536618717146	unsmoothed
04	NG	inverse_cdf	184	0.4803813926392345	9.338740628681402	unsmoothed
05	0	cdf	184	0.04009705933720904	9.648469137779959	unsmoothed
05	0	inverse_cdf	184	-0.016884482987923354	11.138888928439547	unsmoothed
05	NG	cdf	184	0.11149798675466914	10.534950205781586	unsmoothed
05	NG	inverse_cdf	184	0.08628734473859959	12.980382717802483	unsmoothed
06	0	cdf	184	0.43419867375635385	7.689317070299175	unsmoothed
06	0	inverse_cdf	184	0.6372778828726116	7.614266404807416	unsmoothed
06	NG	cdf	184	0.2300632974531609	9.829331241339974	unsmoothed
06	NG	inverse_cdf	184	0.358313355118434	10.396536288633687	unsmoothed
07	0	cdf	184	0.20178805751701961	9.041850815193863	unsmoothed
07	0	inverse_cdf	184	0.29259000596078444	9.638928441748584	unsmoothed
07	NG	cdf	184	0.15490789547731776	11.015495415440904	unsmoothed
07	NG	inverse_cdf	184	0.2502321113369931	11.866169688136393	unsmoothed
08	0	cdf	184	0.25282072979965114	8.782057378912379	unsmoothed
08	0	inverse_cdf	184	0.33829100507872467	9.546376052838168	unsmoothed
08	NG	cdf	184	0.23791611555863101	10.271408546911793	unsmoothed
08	NG	inverse_cdf	184	0.20950231949402534	11.328802048414893	unsmoothed
09	0	cdf	184	0.3984781503191605	8.335100038132346	unsmoothed
09	0	inverse_cdf	184	0.35639571550224597	9.640652634022558	unsmoothed
09	NG	cdf	184	0.34725540710253144	9.960925807292192	unsmoothed
09	NG	inverse_cdf	184	0.3737971563135583	9.999103030112709	unsmoothed
10	0	cdf	184	0.34360709811130197	8.29375353928066	unsmoothed
10	0	inverse_cdf	184	0.4083187603531695	9.287801686437637	unsmoothed
10	NG	cdf	184	0.32308159887299137	8.951868535495208	unsmoothed
10	NG	inverse_cdf	184	0.2586223064439659	10.878214271039338	unsmoothed
11	0	cdf	184	0.1582238745164391	9.463465915241068	unsmoothed
11	0	inverse_cdf	184	0.07398125617920716	11.053784525108496	unsmoothed
11	NG	cdf	184	0.23598490314072204	10.81203782023987	unsmoothed
11	NG	inverse_cdf	184	0.21732398883278942	12.243777571326607	unsmoothed
12	0	cdf	184	0.2491961953379312	9.286578592732232	unsmoothed
12	0	inverse_cdf	184	0.35097446463041815	10.012472042679576	unsmoothed
12	NG	cdf	184	0.3379758721825927	8.577051769389314	unsmoothed
12	NG	inverse_cdf	184	0.31837841375693254	10.42034070099878	unsmoothed
13	0	cdf	184	0.37592704431567703	8.516719658242224	unsmoothed
13	0	inverse_cdf	184	0.28809448206864885	10.393838462032248	unsmoothed
13	NG	cdf	184	0.2015919191208358	10.519632973347015	unsmoothed
13	NG	inverse_cdf	184	0.3263143010665593	10.67565474658375	unsmoothed
14	0	cdf	184	0.2537888905557043	8.811067937815801	unsmoothed
14	0	inverse_cdf	184	0.14695339378766736	10.915511546601357	unsmoothed
14	NG	cdf	184	0.2425508407557496	9.953007918496752	unsmoothed
14	NG	inverse_cdf	184	0.25192995564060183	10.870665890623798	unsmoothed
15	0	cdf	184	0.29211309598973745	8.594112182673966	unsmoothed
15	0	inverse_cdf	184	0.11416165061770675	10.328822468140803	unsmoothed
15	NG	cdf	184	0.2293388258021709	9.631292795583333	unsmoothed
15	NG	inverse_cdf	184	0.2772350584455704	10.869829903457456	unsmoothed
16	0	cdf	184	0.26563963522132633	8.573722784840573	unsmoothed
16	0	inverse_cdf	184	0.31171657643354955	9.572117405256583	unsmoothed
16	NG	cdf	184	0.1315263579254147	10.219977882900125	unsmoothed
16	NG	inverse_cdf	184	0.12579276489756558	11.546293347529451	unsmoothed
17	0	cdf	184	0.08358639737357243	9.568945600542888	unsmoothed
17	0	inverse_cdf	184	0.048831939719751416	10.147211275774909	unsmoothed
17	NG	cdf	184	0.25811457868247506	8.996471744491291	unsmoothed
17	NG	inverse_cdf	184	0.17607225225751516	10.32450655484775	unsmoothed
19	0	cdf	184	0.23177399183696154	8.996981602073076	unsmoothed
19	0	inverse_cdf	184	0.22644090049190446	9.79956649066222	unsmoothed
19	NG	cdf	184	0.1658449279504851	11.36574609940749	unsmoothed
19	NG	inverse_cdf	184	0.19794932591186162	12.160318998455692	unsmoothed
20	0	cdf	184	0.2552300640983012	8.925859926765805	unsmoothed
20	0	inverse_cdf	184	0.1458345586774049	10.684191587494208	unsmoothed
20	NG	cdf	184	0.3253451441032238	9.535013166356775	unsmoothed
20	NG	inverse_cdf	184	0.230645723013225	11.188762843512963	unsmoothed
21	0	cdf	184	-0.014044554420111259	10.221740088419386	unsmoothed
21	0	inverse_cdf	184	0.025897196042251325	10.677551495996072	unsmoothed
21	NG	cdf	184	0.16386873524394197	10.309108072236768	unsmoothed
21	NG	inverse_cdf	184	0.06239794529797239	12.95938448927828	unsmoothed
pil01	0	cdf	184	0.1740364280666982	10.544334799691375	unsmoothed
pil01	0	inverse_cdf	184	0.12673538221953662	10.892824565716865	unsmoothed
pil01	NG	cdf	184	0.12148255773223574	11.471859284248684	unsmoothed
pil01	NG	inverse_cdf	184	0.11630236581363995	11.666668184429668	unsmoothed
pil02	0	cdf	184	0.19568843683728362	9.360182241364196	unsmoothed
pil02	0	inverse_cdf	184	0.34415891027424483	9.929833504067442	unsmoothed
pil02	NG	cdf	184	0.2378157579309667	9.997872455108139	unsmoothed
pil02	NG	inverse_cdf	184	0.34174638388291945	10.273227984799947	unsmoothed
