subject	condition	orientation_deg	value	n_trials	sd_response	sd_error	mean_abs_error
1	cdf	7.5	5.5	6	0.27386127875258304	0.27386127875258304	0.25
1	cdf	15.0	8.0	8	1.1259916264596033	1.1259916264596033	0.75
1	cdf	22.5	10.0	7	1.3758114488755875	1.3758114488755873	1.0714285714285714
1	cdf	30.0	11.0	8	0.8345229603962802	0.8345229603962802	0.625
1	cdf	37.5	11.5	8	0.5629958132298016	0.5629958132298016	0.5625
1	cdf	45.0	12.0	8	0.44320263021395917	0.44320263021395917	0.875
1	cdf	52.5	12.5	8	0.37201190457142247	0.37201190457142247	0.3125
1	cdf	60.0	13.0	6	0.27386127875258304	0.27386127875258304	0.25
1	cdf	67.5	14.0	8	0.7763237542601484	0.7763237542601484	0.5625
1	cdf	75.0	16.0	8	1.2229209763045665	1.2229209763045665	0.8125
1	cdf	82.5	18.5	8	0.1767766952966369	0.1767766952966369	0.0625
1	cdf	90.0	22.0	8	0.2672612419124244	0.2672612419124244	0.125
1	cdf	97.5	25.5	7	1.4556948921555022	1.455694892155502	1.0714285714285714
1	cdf	105.0	28.0	8	0.8634441002668988	0.8634441002668988	0.5625
1	cdf	112.5	30.0	7	0.6267831705280087	0.6267831705280087	0.8571428571428571
1	cdf	120.0	31.0	8	0.6512350903146596	0.6512350903146596	0.5625
1	cdf	127.5	31.5	8	0.6408699444616557	0.6408699444616557	0.625
1	cdf	135.0	32.0	7	0.2672612419124244	0.26726124191242434	0.21428571428571427
1	cdf	142.5	32.5	8	0.7559289460184544	0.7559289460184544	0.625
1	cdf	150.0	33.0	8	0.9910312089651149	0.9910312089651149	0.875
1	cdf	157.5	34.0	7	1.1443442705426587	1.1443442705426587	1.5
1	cdf	165.0	36.0	7	1.2535663410560174	1.2535663410560174	1.4285714285714286
1	cdf	172.5	38.5	8	0.1767766952966369	0.1767766952966369	0.0625
1	inverse_cdf	7.5	2.5	6	0.2041241452319315	0.2041241452319315	0.08333333333333333
1	inverse_cdf	15.0	3.0	6	0.8215838362577492	0.8215838362577492	0.9166666666666666
1	inverse_cdf	22.5	4.0	8	0.7989949043284676	0.7989949043284676	0.5625
1	inverse_cdf	30.0	5.0	8	0.9234059624177068	0.9234059624177068	0.8125
1	inverse_cdf	37.5	7.5	7	1.4556948921555024	1.4556948921555024	1.0714285714285714
1	inverse_cdf	45.0	11.5	8	2.117107190754133	2.117107190754133	3.375
1	inverse_cdf	52.5	16.0	7	3.7177181941923156	3.717718194192315	3.5
1	inverse_cdf	60.0	18.5	7	1.0350983390135313	1.0350983390135313	1.7142857142857142
1	inverse_cdf	67.5	20.0	8	1.026436275942851	1.026436275942851	0.75
1	inverse_cdf	75.0	21.0	7	0.4755948656056709	0.47559486560567094	0.6428571428571429
1	inverse_cdf	82.5	21.5	8	0.49551560448255744	0.49551560448255744	0.4375
1	inverse_cdf	90.0	22.0	7	0.18898223650461363	0.18898223650461365	0.07142857142857142
1	inverse_cdf	97.5	22.5	6	0.5163977794943222	0.5163977794943222	0.6666666666666666
1	inverse_cdf	105.0	23.0	8	0.5629958132298016	0.5629958132298016	0.4375
1	inverse_cdf	112.5	24.0	8	2.548634087954902	2.548634087954902	3.6875
1	inverse_cdf	120.0	25.5	7	2.0788046015507495	2.07880460155075	4.285714285714286
1	inverse_cdf	127.5	28.0	7	2.2146697055682827	2.2146697055682827	4.285714285714286
1	inverse_cdf	135.0	32.5	7	2.563479777846623	2.563479777846623	2.0714285714285716
1	inverse_cdf	142.5	36.5	8	2.194758366133795	2.194758366133795	1.5625
1	inverse_cdf	150.0	39.0	7	1.2051476890327395	1.2051476890327395	0.8571428571428571
1	inverse_cdf	157.5	40.0	8	0.5938674695827104	0.5938674695827104	0.4375
1	inverse_cdf	165.0	41.0	7	0.4879500364742666	0.48795003647426666	0.7142857142857143
1	inverse_cdf	172.5	41.5	8	0.3535533905932738	0.3535533905932738	0.25
2	cdf	7.5	5.5	8	2.266802341877839	2.266802341877839	1.5625
2	cdf	15.0	8.0	8	1.2747548783981961	1.2747548783981961	1.375
2	cdf	22.5	10.0	8	0.9234059624177068	0.9234059624177068	0.9375
2	cdf	30.0	11.0	8	1.5338443765351724	1.5338443765351724	1.1875
2	cdf	37.5	11.5	8	0.5976143046671968	0.5976143046671968	0.75
2	cdf	45.0	12.0	8	0.5629958132298016	0.5629958132298016	0.4375
2	cdf	52.5	12.5	8	2.052872551885702	2.052872551885702	1.25
2	cdf	60.0	13.0	7	0.8521681032463466	0.8521681032463467	0.6428571428571429
2	cdf	67.5	14.0	8	2.655856063225458	2.655856063225458	1.625
2	cdf	75.0	16.0	8	1.6677080080157918	1.6677080080157918	1.1875
2	cdf	82.5	18.5	8	1.5797264681854624	1.5797264681854624	1.4375
2	cdf	90.0	22.0	8	0.8345229603962802	0.8345229603962802	0.625
2	cdf	97.5	25.5	8	2.2320714274285347	2.2320714274285347	1.375
2	cdf	105.0	28.0	8	2.8901000971296082	2.8901000971296082	2.4375
2	cdf	112.5	30.0	8	1.4376940862764531	1.4376940862764531	1.0625
2	cdf	120.0	31.0	8	1.8126539343499315	1.8126539343499315	1.25
2	cdf	127.5	31.5	8	1.5221577729375775	1.5221577729375775	1.1875
2	cdf	135.0	32.0	8	1.026436275942851	1.026436275942851	1.0
2	cdf	142.5	32.5	8	1.8468119248354136	1.8468119248354136	1.625
2	cdf	150.0	33.0	8	1.032939633141398	1.032939633141398	1.6875
2	cdf	157.5	34.0	7	1.4142135623730951	1.4142135623730951	1.7857142857142858
2	cdf	165.0	36.0	8	2.57390753524675	2.57390753524675	2.25
2	cdf	172.5	38.5	8	0.6232117273791125	0.6232117273791125	0.6875
2	inverse_cdf	7.5	2.5	7	0.7637626158259734	0.7637626158259734	0.6428571428571429
2	inverse_cdf	15.0	3.0	8	0.45806269065645216	0.45806269065645216	1.6875
2	inverse_cdf	22.5	4.0	8	0.8345229603962802	0.8345229603962802	2.125
2	inverse_cdf	30.0	5.0	7	0.5563486402641867	0.5563486402641868	2.142857142857143
2	inverse_cdf	37.5	7.5	8	3.50255009141299	3.50255009141299	3.125
2	inverse_cdf	45.0	11.5	7	0.6725927091345493	0.6725927091345493	0.5714285714285714
2	inverse_cdf	52.5	16.0	8	6.330199726029864	6.330199726029864	4.0
2	inverse_cdf	60.0	18.5	8	2.632217967526897	2.632217967526897	3.625
2	inverse_cdf	67.5	20.0	7	1.6583123951777	1.6583123951777	1.7857142857142858
2	inverse_cdf	75.0	21.0	8	0.6546536707079771	0.6546536707079771	1.25
2	inverse_cdf	82.5	21.5	7	0.9759000729485333	0.9759000729485333	0.8571428571428571
2	inverse_cdf	90.0	22.0	8	0.1767766952966369	0.1767766952966369	0.0625
2	inverse_cdf	97.5	22.5	7	0.37796447300922725	0.3779644730092272	0.2857142857142857
2	inverse_cdf	105.0	23.0	8	1.6690459207925603	1.6690459207925603	1.625
2	inverse_cdf	112.5	24.0	7	2.0788046015507495	2.07880460155075	1.5
2	inverse_cdf	120.0	25.5	8	1.6636878141217308	1.6636878141217308	2.625
2	inverse_cdf	127.5	28.0	8	1.2517844405944203	1.2517844405944203	1.1875
2	inverse_cdf	135.0	32.5	8	1.9074571704609404	1.9074571704609404	1.4375
2	inverse_cdf	142.5	36.5	8	1.9445436482630056	1.9445436482630056	2.0625
2	inverse_cdf	150.0	39.0	8	1.8126539343499315	1.8126539343499315	3.125
2	inverse_cdf	157.5	40.0	8	1.625686668105863	1.625686668105863	2.25
2	inverse_cdf	165.0	41.0	8	0.9038607667745545	0.9038607667745545	1.9375
2	inverse_cdf	172.5	41.5	8	0.7288689868556626	0.7288689868556626	0.9375
3	cdf	7.5	5.5	8	0.44320263021395917	0.44320263021395917	0.375
3	cdf	15.0	8.0	8	1.7100020885534446	1.7100020885534446	1.3125
3	cdf	22.5	10.0	7	2.1739803302216134	2.173980330221614	1.9285714285714286
3	cdf	30.0	11.0	7	1.679710859472121	1.679710859472121	1.2857142857142858
3	cdf	37.5	11.5	7	1.5197117521174233	1.5197117521174237	1.2857142857142858
3	cdf	45.0	12.0	6	1.0684880283216405	1.0684880283216405	0.9166666666666666
3	cdf	52.5	12.5	6	1.1690451944500122	1.1690451944500122	0.6666666666666666
3	cdf	60.0	13.0	6	1.6431676725154984	1.6431676725154984	1.1666666666666667
3	cdf	67.5	14.0	7	2.3350333942753263	2.3350333942753267	2.642857142857143
3	cdf	75.0	16.0	8	1.9445436482630056	1.9445436482630056	1.8125
3	cdf	82.5	18.5	7	1.632993161855452	1.632993161855452	1.1428571428571428
3	cdf	90.0	22.0	6	0.3763863263545405	0.37638632635454056	0.25
3	cdf	97.5	25.5	6	2.0655911179772892	2.0655911179772892	1.6666666666666667
3	cdf	105.0	28.0	8	3.218251521733946	3.218251521733946	2.625
3	cdf	112.5	30.0	8	3.401024005459868	3.401024005459868	4.0625
3	cdf	120.0	31.0	8	1.751275045706495	1.751275045706495	2.0625
3	cdf	127.5	31.5	8	1.4252192813739224	1.4252192813739224	2.9375
3	cdf	135.0	32.0	8	1.3627702877384937	1.3627702877384937	1.75
3	cdf	142.5	32.5	5	2.307596151842865	2.307596151842865	2.1
3	cdf	150.0	33.0	7	1.632993161855452	1.632993161855452	2.142857142857143
3	cdf	157.5	34.0	7	0.8864052604279183	0.8864052604279183	1.5714285714285714
3	cdf	165.0	36.0	8	8.319244041892954	8.319244041892954	3.8125
3	cdf	172.5	38.5	6	0.25819888974716115	0.25819888974716115	0.16666666666666666
3	inverse_cdf	7.5	2.5	7	0.809173593712687	0.809173593712687	0.8571428571428571
3	inverse_cdf	15.0	3.0	8	2.3745300286883837	2.3745300286883837	2.1875
