subject	condition	orientation_deg	value	n_trials	sd_response	sd_error	mean_abs_error
3	inverse_cdf	22.5	4.0	7	3.505098327538656	3.5050983275386565	3.5714285714285716
3	inverse_cdf	30.0	5.0	6	4.005204946899306	4.005204946899306	4.25
3	inverse_cdf	37.5	7.5	8	3.563204817496262	3.563204817496262	2.875
3	inverse_cdf	45.0	11.5	8	3.1622776601683795	3.1622776601683795	2.625
3	inverse_cdf	52.5	16.0	6	2.6076809620810595	2.6076809620810595	2.5
3	inverse_cdf	60.0	18.5	5	2.7064737205448717	2.7064737205448717	4.3
3	inverse_cdf	67.5	20.0	7	1.7728105208558367	1.7728105208558365	2.642857142857143
3	inverse_cdf	75.0	21.0	6	1.7795130420052185	1.7795130420052185	3.3333333333333335
3	inverse_cdf	82.5	21.5	7	0.3450327796711771	0.34503277967117707	0.42857142857142855
3	inverse_cdf	90.0	22.0	7	0.28867513459481287	0.28867513459481287	0.14285714285714285
3	inverse_cdf	97.5	22.5	6	0.8944271909999159	0.8944271909999159	0.8333333333333334
3	inverse_cdf	105.0	23.0	8	2.49284690951645	2.49284690951645	2.25
3	inverse_cdf	112.5	24.0	5	3.817721833764215	3.817721833764215	3.7
3	inverse_cdf	120.0	25.5	7	2.699206232527312	2.699206232527312	3.7142857142857144
3	inverse_cdf	127.5	28.0	8	1.751275045706495	1.751275045706495	5.3125
3	inverse_cdf	135.0	32.5	8	1.6021748611541393	1.6021748611541393	2.8125
3	inverse_cdf	142.5	36.5	6	2.2967368155711703	2.2967368155711703	2.25
3	inverse_cdf	150.0	39.0	7	1.8126539343499313	1.8126539343499315	3.0714285714285716
3	inverse_cdf	157.5	40.0	8	1.0999188281738923	1.0999188281738923	2.3125
3	inverse_cdf	165.0	41.0	7	2.2519832529192065	2.2519832529192065	2.5
3	inverse_cdf	172.5	41.5	8	0.7905694150420949	0.7905694150420949	0.875
4	cdf	7.5	5.5	8	1.3363062095621219	1.3363062095621219	1.25
4	cdf	15.0	8.0	7	0.1889822365046136	0.18898223650461363	2.0714285714285716
4	cdf	22.5	10.0	7	0.7867957924694431	0.7867957924694431	0.8571428571428571
4	cdf	30.0	11.0	8	0.44320263021395917	0.44320263021395917	0.375
4	cdf	37.5	11.5	8	0.49551560448255744	0.49551560448255744	0.4375
4	cdf	45.0	12.0	4	0.28867513459481287	0.28867513459481287	0.25
4	cdf	52.5	12.5	7	0.6725927091345493	0.6725927091345493	0.5
4	cdf	60.0	13.0	7	0.6267831705280087	0.6267831705280087	0.5
4	cdf	67.5	14.0	8	1.1572751247156894	1.1572751247156894	1.125
4	cdf	75.0	16.0	6	1.3291601358251257	1.3291601358251257	0.8333333333333334
4	cdf	82.5	18.5	7	1.2817398889233116	1.2817398889233116	1.1428571428571428
4	cdf	90.0	22.0	8	0.0	0.0	0.0
4	cdf	97.5	25.5	8	1.3363062095621219	1.3363062095621219	1.25
4	cdf	105.0	28.0	5	2.6362852652928135	2.6362852652928135	1.9
4	cdf	112.5	30.0	8	1.4820352800890306	1.4820352800890306	1.375
4	cdf	120.0	31.0	7	0.9322272357358045	0.9322272357358045	0.42857142857142855
4	cdf	127.5	31.5	7	0.5345224838248487	0.5345224838248487	0.35714285714285715
4	cdf	135.0	32.0	6	0.3763863263545405	0.3763863263545405	0.25
4	cdf	142.5	32.5	7	0.18898223650461363	0.18898223650461363	0.5714285714285714
4	cdf	150.0	33.0	6	0.408248290463863	0.408248290463863	0.6666666666666666
4	cdf	157.5	34.0	3	1.8929694486000912	1.8929694486000912	1.3333333333333333
4	cdf	165.0	36.0	7	1.9117431586805547	1.9117431586805549	0.9285714285714286
4	cdf	172.5	38.5	5	0.0	0.0	0.0
4	inverse_cdf	7.5	2.5	8	0.1767766952966369	0.1767766952966369	0.0625
4	inverse_cdf	15.0	3.0	7	0.7559289460184545	0.7559289460184545	0.2857142857142857
4	inverse_cdf	22.5	4.0	6	0.6123724356957945	0.6123724356957945	0.9166666666666666
4	inverse_cdf	30.0	5.0	8	1.5683817866104632	1.5683817866104632	1.4375
4	inverse_cdf	37.5	7.5	8	1.4142135623730951	1.4142135623730951	0.5
4	inverse_cdf	45.0	11.5	7	2.138089935299395	2.1380899352993947	1.7142857142857142
4	inverse_cdf	52.5	16.0	8	1.625686668105863	1.625686668105863	4.0
4	inverse_cdf	60.0	18.5	7	2.129721645125082	2.129721645125082	4.071428571428571
4	inverse_cdf	67.5	20.0	7	1.9790570145063195	1.9790570145063195	2.142857142857143
4	inverse_cdf	75.0	21.0	7	0.5345224838248488	0.5345224838248487	0.42857142857142855
4	inverse_cdf	82.5	21.5	7	0.18898223650461363	0.18898223650461363	0.07142857142857142
4	inverse_cdf	90.0	22.0	8	0.0	0.0	0.0
4	inverse_cdf	97.5	22.5	8	0.25877458475338283	0.25877458475338283	0.1875
4	inverse_cdf	105.0	23.0	8	0.7905694150420949	0.7905694150420949	0.875
4	inverse_cdf	112.5	24.0	8	2.2320714274285347	2.2320714274285347	1.625
4	inverse_cdf	120.0	25.5	8	3.4219616345849686	3.4219616345849686	4.3125
4	inverse_cdf	127.5	28.0	7	3.0802751886958477	3.0802751886958477	2.7857142857142856
4	inverse_cdf	135.0	32.5	8	1.7614421850939563	1.7614421850939563	1.0625
4	inverse_cdf	142.5	36.5	8	2.0777305613852546	2.0777305613852546	1.9375
4	inverse_cdf	150.0	39.0	7	1.3363062095621219	1.3363062095621219	1.4285714285714286
4	inverse_cdf	157.5	40.0	8	2.3895232638690564	2.3895232638690564	1.6875
4	inverse_cdf	165.0	41.0	8	1.6569658156660065	1.6569658156660065	1.6875
4	inverse_cdf	172.5	41.5	8	0.1767766952966369	0.1767766952966369	0.0625
5	cdf	7.5	5.5	8	0.1767766952966369	0.1767766952966369	0.0625
5	cdf	15.0	8.0	8	0.2672612419124244	0.2672612419124244	0.125
5	cdf	22.5	10.0	8	0.6232117273791125	0.6232117273791125	0.5625
5	cdf	30.0	11.0	8	0.7440238091428449	0.7440238091428449	0.625
5	cdf	37.5	11.5	8	0.5175491695067657	0.5175491695067657	0.375
5	cdf	45.0	12.0	8	0.32043497223082784	0.32043497223082784	0.4375
5	cdf	52.5	12.5	8	0.3779644730092272	0.3779644730092272	0.25
5	cdf	60.0	13.0	8	0.4629100498862757	0.4629100498862757	0.25
5	cdf	67.5	14.0	8	0.5976143046671968	0.5976143046671968	0.625
5	cdf	75.0	16.0	7	1.889822365046136	1.889822365046136	1.2142857142857142
5	cdf	82.5	18.5	8	0.49551560448255744	0.49551560448255744	0.3125
5	cdf	90.0	22.0	8	0.32043497223082784	0.32043497223082784	0.1875
5	cdf	97.5	25.5	7	0.9128709291752769	0.9128709291752769	0.5714285714285714
5	cdf	105.0	28.0	8	0.9161253813129043	0.9161253813129043	0.5
5	cdf	112.5	30.0	8	0.7529703086538577	0.7529703086538577	0.6875
5	cdf	120.0	31.0	8	1.1572751247156894	1.1572751247156894	0.625
5	cdf	127.5	31.5	8	0.8634441002668988	0.8634441002668988	0.6875
5	cdf	135.0	32.0	8	0.5175491695067657	0.5175491695067657	0.375
5	cdf	142.5	32.5	8	0.7905694150420949	0.7905694150420949	1.0
5	cdf	150.0	33.0	8	0.7529703086538577	0.7529703086538577	1.1875
5	cdf	157.5	34.0	8	1.093813773650968	1.093813773650968	1.25
5	cdf	165.0	36.0	8	0.5824823725107175	0.5824823725107175	0.25
5	cdf	172.5	38.5	8	0.0	0.0	0.0
5	inverse_cdf	7.5	2.5	8	0.5345224838248488	0.5345224838248488	0.375
5	inverse_cdf	15.0	3.0	6	1.9916492328386208	1.9916492328386206	1.3333333333333333
5	inverse_cdf	22.5	4.0	8	1.0999188281738923	1.0999188281738923	0.9375
5	inverse_cdf	30.0	5.0	7	1.2863754913562	1.2863754913562	1.2857142857142858
5	inverse_cdf	37.5	7.5	8	2.336626078038895	2.336626078038895	1.9375
5	inverse_cdf	45.0	11.5	7	3.074472467331746	3.074472467331746	2.357142857142857
5	inverse_cdf	52.5	16.0	8	3.453776401067595	3.453776401067595	3.375
5	inverse_cdf	60.0	18.5	8	2.295181287579947	2.295181287579947	3.0
5	inverse_cdf	67.5	20.0	8	2.555631037532609	2.555631037532609	2.0625
5	inverse_cdf	75.0	21.0	7	0.944911182523068	0.944911182523068	0.6428571428571429
5	inverse_cdf	82.5	21.5	8	0.37201190457142247	0.37201190457142247	0.3125
5	inverse_cdf	90.0	22.0	8	0.6781013409302687	0.6781013409302687	0.3125
5	inverse_cdf	97.5	22.5	7	0.5345224838248488	0.5345224838248488	0.35714285714285715
5	inverse_cdf	105.0	23.0	8	0.5303300858899106	0.5303300858899106	0.4375
5	inverse_cdf	112.5	24.0	8	1.0690449676496976	1.0690449676496976	0.75
5	inverse_cdf	120.0	25.5	8	2.5319388392523003	2.5319388392523003	2.25
5	inverse_cdf	127.5	28.0	7	2.3979157616563596	2.3979157616563596	2.0
5	inverse_cdf	135.0	32.5	8	2.866057521105554	2.866057521105554	1.875
5	inverse_cdf	142.5	36.5	7	3.679091502764546	3.679091502764546	2.0
5	inverse_cdf	150.0	39.0	8	1.1160357137142674	1.1160357137142674	1.0625
5	inverse_cdf	157.5	40.0	8	0.7905694150420949	0.7905694150420949	0.5
5	inverse_cdf	165.0	41.0	8	0.1767766952966369	0.1767766952966369	0.0625
5	inverse_cdf	172.5	41.5	8	0.6781013409302687	0.6781013409302687	0.4375
6	cdf	7.5	5.5	7	0.0	0.0	0.0
6	cdf	15.0	8.0	8	0.4172614801981401	0.4172614801981401	0.1875
6	cdf	22.5	10.0	7	1.1801936887041649	1.1801936887041649	1.6428571428571428
6	cdf	30.0	11.0	8	1.2817398889233114	1.2817398889233114	1.5
6	cdf	37.5	11.5	7	0.5	0.5	1.0
6	cdf	45.0	12.0	8	1.026436275942851	1.026436275942851	1.125
6	cdf	52.5	12.5	8	1.0350983390135313	1.0350983390135313	0.875
6	cdf	60.0	13.0	8	1.0350983390135313	1.0350983390135313	1.0
6	cdf	67.5	14.0	6	1.800462903440853	1.800462903440853	1.5833333333333333
6	cdf	75.0	16.0	8	1.2799972098183876	1.2799972098183876	0.8125
6	cdf	82.5	18.5	8	0.8762745818846641	0.8762745818846641	0.375
6	cdf	90.0	22.0	7	0.0	0.0	0.0
6	cdf	97.5	25.5	6	0.2041241452319315	0.2041241452319315	0.08333333333333333
6	cdf	105.0	28.0	7	1.7994708216848745	1.7994708216848745	1.2142857142857142
6	cdf	112.5	30.0	6	1.66332999331662	1.66332999331662	1.6666666666666667
6	cdf	120.0	31.0	7	1.0350983390135313	1.0350983390135313	0.5714285714285714
6	cdf	127.5	31.5	7	0.4879500364742666	0.4879500364742666	0.42857142857142855
6	cdf	135.0	32.0	7	1.0801234497346435	1.0801234497346435	0.9285714285714286
6	cdf	142.5	32.5	8	1.1019463300386794	1.1019463300386794	0.875
6	cdf	150.0	33.0	6	1.3291601358251257	1.3291601358251257	1.8333333333333333
6	cdf	157.5	34.0	6	0.8010409893798609	0.8010409893798611	1.5833333333333333
6	cdf	165.0	36.0	6	0.0	0.0	0.0
6	cdf	172.5	38.5	7	0.1889822365046136	0.18898223650461363	0.07142857142857142
6	inverse_cdf	7.5	2.5	7	0.2672612419124244	0.26726124191242434	0.21428571428571427
6	inverse_cdf	15.0	3.0	7	0.37796447300922725	0.37796447300922725	0.14285714285714285
6	inverse_cdf	22.5	4.0	8	0.45806269065645216	0.45806269065645216	0.6875
6	inverse_cdf	30.0	5.0	7	1.0350983390135313	1.0350983390135313	0.7857142857142857
6	inverse_cdf	37.5	7.5	8	1.741048534648015	1.741048534648015	1.0625
6	inverse_cdf	45.0	11.5	8	3.093772546815388	3.093772546815388	2.375
6	inverse_cdf	52.5	16.0	8	1.685018016012207	1.685018016012207	4.125
6	inverse_cdf	60.0	18.5	7	2.0788046015507495	2.0788046015507495	2.7857142857142856
6	inverse_cdf	67.5	20.0	7	1.5391710817994273	1.5391710817994275	0.7142857142857143
6	inverse_cdf	75.0	21.0	8	0.5345224838248488	0.5345224838248488	0.375
6	inverse_cdf	82.5	21.5	8	0.1767766952966369	0.1767766952966369	0.0625
6	inverse_cdf	90.0	22.0	8	0.3535533905932738	0.3535533905932738	0.125
6	inverse_cdf	97.5	22.5	8	0.0	0.0	0.5
6	inverse_cdf	105.0	23.0	8	0.7288689868556626	0.7288689868556626	0.5625
6	inverse_cdf	112.5	24.0	7	1.349603116263656	1.349603116263656	1.2857142857142858
6	inverse_cdf	120.0	25.5	6	1.0954451150103321	1.0954451150103321	0.6666666666666666
6	inverse_cdf	127.5	28.0	7	3.053101467594644	3.053101467594644	3.0714285714285716
6	inverse_cdf	135.0	32.5	7	3.696845502136472	3.696845502136472	3.2857142857142856
6	inverse_cdf	142.5	36.5	8	0.9161253813129043	0.9161253813129043	0.625
6	inverse_cdf	150.0	39.0	7	1.3801311186847083	1.3801311186847085	1.1428571428571428
6	inverse_cdf	157.5	40.0	8	0.6232117273791125	0.6232117273791125	0.6875
6	inverse_cdf	165.0	41.0	7	0.44986770542121873	0.4498677054212186	0.21428571428571427
6	inverse_cdf	172.5	41.5	8	0.23145502494313785	0.23145502494313785	0.125
7	cdf	7.5	5.5	8	0.7763237542601484	0.7763237542601484	0.5625
7	cdf	15.0	8.0	7	1.7251638983558857	1.7251638983558855	1.2857142857142858
7	cdf	22.5	10.0	7	0.9574271077563381	0.9574271077563381	0.7857142857142857
7	cdf	30.0	11.0	7	0.4755948656056709	0.475594865605671	0.2857142857142857
7	cdf	37.5	11.5	7	0.6454972243679028	0.6454972243679028	0.5
7	cdf	45.0	12.0	7	1.5923926292577113	1.5923926292577109	1.4285714285714286
7	cdf	52.5	12.5	7	0.6074928962939559	0.6074928962939559	0.42857142857142855
7	cdf	60.0	13.0	7	0.7867957924694432	0.7867957924694432	0.8571428571428571
7	cdf	67.5	14.0	7	1.6690459207925605	1.6690459207925605	1.0714285714285714
7	cdf	75.0	16.0	7	0.4755948656056709	0.475594865605671	0.2857142857142857
7	cdf	82.5	18.5	7	0.8521681032463466	0.8521681032463466	0.7857142857142857
7	cdf	90.0	22.0	8	0.3535533905932738	0.3535533905932738	0.375
7	cdf	97.5	25.5	7	0.408248290463863	0.408248290463863	0.5
7	cdf	105.0	28.0	8	0.7288689868556626	0.7288689868556626	0.5625
7	cdf	112.5	30.0	8	1.3822858914545448	1.3822858914545448	1.75
7	cdf	120.0	31.0	8	0.7989949043284676	0.7989949043284676	0.9375
7	cdf	127.5	31.5	8	0.7071067811865476	0.7071067811865476	0.5
7	cdf	135.0	32.0	8	0.5303300858899106	0.5303300858899106	0.4375
7	cdf	142.5	32.5	8	0.9425459443140463	0.9425459443140463	0.8125
7	cdf	150.0	33.0	7	0.5563486402641868	0.5563486402641867	0.7857142857142857
7	cdf	157.5	34.0	8	0.5345224838248488	0.5345224838248488	0.375
7	cdf	165.0	36.0	7	0.9128709291752769	0.9128709291752769	1.5
7	cdf	172.5	38.5	8	1.2174328963613794	1.2174328963613794	0.75
7	inverse_cdf	7.5	2.5	8	0.7905694150420949	0.7905694150420949	0.875
7	inverse_cdf	15.0	3.0	8	1.2799972098183876	1.2799972098183876	1.0625
7	inverse_cdf	22.5	4.0	7	1.0690449676496974	1.0690449676496974	0.7857142857142857
7	inverse_cdf	30.0	5.0	7	1.4719601443879744	1.4719601443879744	1.2142857142857142
7	inverse_cdf	37.5	7.5	8	1.9639610121239315	1.9639610121239315	1.5
7	inverse_cdf	45.0	11.5	7	1.409998311380279	1.409998311380279	3.2142857142857144
7	inverse_cdf	52.5	16.0	8	1.334634781503914	1.334634781503914	4.8125
7	inverse_cdf	60.0	18.5	8	2.6423744732991303	2.6423744732991303	6.125
7	inverse_cdf	67.5	20.0	8	2.220038609702865	2.220038609702865	7.25
7	inverse_cdf	75.0	21.0	8	2.6049403612586386	2.6049403612586386	7.0
7	inverse_cdf	82.5	21.5	7	1.7728105208558365	1.7728105208558365	6.142857142857143
7	inverse_cdf	90.0	22.0	8	0.45806269065645216	0.45806269065645216	2.8125
7	inverse_cdf	97.5	22.5	7	1.2817398889233116	1.2817398889233116	1.8571428571428572
7	inverse_cdf	105.0	23.0	8	0.7039429765866795	0.7039429765866795	1.3125
7	inverse_cdf	112.5	24.0	8	1.3363062095621219	1.3363062095621219	2.0
7	inverse_cdf	120.0	25.5	7	0.5669467095138409	0.5669467095138409	3.2857142857142856
7	inverse_cdf	127.5	28.0	8	2.0604697799981717	2.0604697799981717	3.4375
7	inverse_cdf	135.0	32.5	7	2.254624876411447	2.254624876411447	5.5
7	inverse_cdf	142.5	36.5	8	2.016671585983768	2.016671585983768	9.3125
7	inverse_cdf	150.0	39.0	8	2.9368350311176825	2.9368350311176825	8.375
7	inverse_cdf	157.5	40.0	7	2.1297216451250818	2.1297216451250818	7.428571428571429
7	inverse_cdf	165.0	41.0	8	2.659215781283755	2.659215781283755	5.5
7	inverse_cdf	172.5	41.5	8	1.3093073414159542	1.3093073414159542	4.75
8	cdf	7.5	5.5	8	6.281705296221038	6.281705296221038	3.1875
8	cdf	15.0	8.0	8	1.9594095320493148	1.9594095320493148	1.875
8	cdf	22.5	10.0	7	2.2253945610567474	2.225394561056747	2.0714285714285716
8	cdf	30.0	11.0	8	3.1024184114977142	3.1024184114977142	2.5
8	cdf	37.5	11.5	7	1.4556948921555022	1.4556948921555022	1.4285714285714286
8	cdf	45.0	12.0	7	1.752549163769328	1.7525491637693282	1.2142857142857142
8	cdf	52.5	12.5	7	1.7660825629193044	1.7660825629193044	1.3571428571428572
8	cdf	60.0	13.0	8	1.889822365046136	1.889822365046136	1.25
8	cdf	67.5	14.0	8	2.748376143938713	2.748376143938713	2.5
8	cdf	75.0	16.0	8	1.8407587721216643	1.8407587721216643	2.0625
8	cdf	82.5	18.5	8	1.1259916264596033	1.1259916264596033	0.875
8	cdf	90.0	22.0	7	0.4755948656056709	0.475594865605671	0.2857142857142857
8	cdf	97.5	25.5	7	1.0578504710249077	1.0578504710249075	0.8571428571428571
8	cdf	105.0	28.0	7	4.131758532565592	4.131758532565592	3.357142857142857
8	cdf	112.5	30.0	7	1.1801936887041646	1.1801936887041649	2.142857142857143
