subject	decoder	criterion	r
03	loggauss	50	0.25446074099422167
03	loggauss	100	0.28191071372946674
03	loggauss	fdr05	0.2266746907183293
03	loggauss	psig95	0.2266746907183293
03	weighted	50	0.2717377605443845
03	weighted	100	0.2975063802981791
03	weighted	fdr05	0.15639808502031421
03	weighted	psig95	0.15639808502031421
04	loggauss	50	0.5248672966764697
04	loggauss	100	0.5126352977219033
04	loggauss	fdr05	0.5102488362234647
04	loggauss	psig95	0.5013407386150355
04	weighted	50	0.5046941487249926
04	weighted	100	0.5069841355665586
04	weighted	fdr05	0.45536404705277855
04	weighted	psig95	0.45536404705277855
05	loggauss	50	0.08023696990276782
05	loggauss	100	0.09709947763036086
05	loggauss	fdr05	0.11977171111598368
05	loggauss	psig95	0.11977171111598368
05	weighted	50	0.15722025178077098
05	weighted	100	0.23459285404005153
05	weighted	fdr05	0.33124642899536727
05	weighted	psig95	0.33124642899536727
06	loggauss	50	0.5863631642869833
06	loggauss	100	0.5186223239407922
06	loggauss	fdr05	0.5322878614862898
06	loggauss	psig95	0.5122871921504297
06	weighted	50	0.6237260628929278
06	weighted	100	0.5081783022221656
06	weighted	fdr05	0.44868915778328733
06	weighted	psig95	0.44868915778328733
07	loggauss	50	0.19411049557108
07	loggauss	100	0.10412694419372576
08	loggauss	50	0.49124865928526984
08	loggauss	100	0.3379913383887201
08	loggauss	fdr05	0.28007222348702265
08	loggauss	psig95	0.2880786060684154
08	weighted	50	0.42145074082059963
08	weighted	100	0.32832588588328593
08	weighted	fdr05	0.40650662683190353
08	weighted	psig95	0.40650662683190353
09	loggauss	50	0.4296651595694401
09	loggauss	100	0.39377204622490125
09	loggauss	fdr05	0.3959927301222533
09	loggauss	psig95	0.3735940982366184
09	weighted	50	0.3482828400797584
09	weighted	100	0.2991643118778432
09	weighted	fdr05	0.3620295791101472
09	weighted	psig95	0.3620295791101472
10	loggauss	50	0.41095438991863886
10	loggauss	100	0.35297522084485156
pil01	loggauss	50	0.2177301681645818
pil01	loggauss	100	0.25618829655510955
pil01	loggauss	fdr05	0.2987637623240864
pil01	loggauss	psig95	0.2993731260023066
pil01	weighted	50	0.3368782150615546
pil01	weighted	100	0.31452024707341886
pil01	weighted	fdr05	0.30910688561381894
pil01	weighted	psig95	0.30910688561381894
pil02	loggauss	50	0.3575772719561957
pil02	loggauss	100	0.4210399718950054
pil02	loggauss	fdr05	0.4237266377933297
pil02	loggauss	psig95	0.4333189433223291
pil02	weighted	50	0.44976824394888115
pil02	weighted	100	0.32676114752833785
pil02	weighted	fdr05	0.33591261030633246
pil02	weighted	psig95	0.33591261030633246
