subject	mapping	beh_precision	neu_precision	measure
03	cdf	-2.704812924978159	-4.872671968380965	−mean σ_E (NPCr)
03	inverse_cdf	-3.3945696900348272	-5.5173401908950925	−mean σ_E (NPCr)
04	cdf	-1.230173379137391	-4.5739190605063476	−mean σ_E (NPCr)
04	inverse_cdf	-2.422996882532993	-4.821556680498306	−mean σ_E (NPCr)
05	cdf	-0.8493328798777774	-3.848621500574342	−mean σ_E (NPCr)
05	inverse_cdf	-2.1066992709406382	-4.648365676349107	−mean σ_E (NPCr)
06	cdf	-1.228688663270917	-4.743197427925396	−mean σ_E (NPCr)
06	inverse_cdf	-1.9062856366768777	-5.7050087144935695	−mean σ_E (NPCr)
07	cdf	-1.0203131243344008	-4.719201383056446	−mean σ_E (NPCr)
07	inverse_cdf	-3.275806632099808	-5.417959730726032	−mean σ_E (NPCr)
08	cdf	-2.4197495905877577	-4.872406047638203	−mean σ_E (NPCr)
08	inverse_cdf	-3.8189080213408118	-5.512752240358185	−mean σ_E (NPCr)
09	cdf	-1.6859383049443344	-4.541738709074694	−mean σ_E (NPCr)
09	inverse_cdf	-2.878971631265456	-5.440315837778471	−mean σ_E (NPCr)
10	cdf	-1.8232434680284115	-4.733689030864649	−mean σ_E (NPCr)
10	inverse_cdf	-3.151716137846687	-5.789356760598818	−mean σ_E (NPCr)
11	cdf	-0.9957783817875138	-4.840909281396775	−mean σ_E (NPCr)
11	inverse_cdf	-2.3169739978026307	-5.23118519342502	−mean σ_E (NPCr)
12	cdf	-0.8645373290209057	-4.2991141614782	−mean σ_E (NPCr)
12	inverse_cdf	-1.8541047678273352	-5.371102203789711	−mean σ_E (NPCr)
13	cdf	-0.6912043692046025	-4.521360681267297	−mean σ_E (NPCr)
13	inverse_cdf	-2.13972173212058	-5.1493787535146565	−mean σ_E (NPCr)
14	cdf	-0.7965163562093526	-4.532008221341917	−mean σ_E (NPCr)
14	inverse_cdf	-1.3038324212742478	-5.5720147349687865	−mean σ_E (NPCr)
15	cdf	-1.0901908551644528	-4.73594221652555	−mean σ_E (NPCr)
15	inverse_cdf	-2.8707050722270866	-5.745078114953916	−mean σ_E (NPCr)
16	cdf	-2.6549764284822546	-4.628291105424856	−mean σ_E (NPCr)
16	inverse_cdf	-3.215666173016612	-5.090284316274613	−mean σ_E (NPCr)
17	cdf	-2.0350359555850313	-3.7596524551775015	−mean σ_E (NPCr)
17	inverse_cdf	-4.6685599021469475	-3.851642851628815	−mean σ_E (NPCr)
18	cdf	-1.0332891982229269	-4.016573425398811	−mean σ_E (NPCr)
18	inverse_cdf	-2.3528703737496506	-4.738281745142096	−mean σ_E (NPCr)
19	cdf	-1.2724968261814402	-4.760817914671841	−mean σ_E (NPCr)
19	inverse_cdf	-1.8283429282509935	-5.6600260470792385	−mean σ_E (NPCr)
20	cdf	-0.9998269714139149	-4.5481752962793145	−mean σ_E (NPCr)
20	inverse_cdf	-1.3522427191584454	-5.218943121345676	−mean σ_E (NPCr)
21	cdf	-3.3120223178796246	-4.109034547059997	−mean σ_E (NPCr)
21	inverse_cdf	-5.613088806163005	-5.405456558891662	−mean σ_E (NPCr)
22	cdf	-3.186450979698611	-4.455127067584488	−mean σ_E (NPCr)
22	inverse_cdf	-3.8488444452398896	-5.345137489693452	−mean σ_E (NPCr)
23	cdf	-2.722880188951058	-4.71349033752198	−mean σ_E (NPCr)
23	inverse_cdf	-4.834198165112219	-4.950628497698183	−mean σ_E (NPCr)
24	cdf	-1.2745486634094858	-4.5063744903742124	−mean σ_E (NPCr)
24	inverse_cdf	-1.2802209160356424	-5.57119205834027	−mean σ_E (NPCr)
03	pooled (both mappings)	-3.0496913075064933	-5.195006079638029	−mean σ_E (NPCr)
04	pooled (both mappings)	-1.826585130835192	-4.697737870502326	−mean σ_E (NPCr)
05	pooled (both mappings)	-1.4780160754092078	-4.2484935884617245	−mean σ_E (NPCr)
06	pooled (both mappings)	-1.5674871499738974	-5.224103071209482	−mean σ_E (NPCr)
07	pooled (both mappings)	-2.1480598782171043	-5.06858055689124	−mean σ_E (NPCr)
08	pooled (both mappings)	-3.119328805964285	-5.192579143998194	−mean σ_E (NPCr)
09	pooled (both mappings)	-2.2824549681048953	-4.991027273426582	−mean σ_E (NPCr)
10	pooled (both mappings)	-2.4874798029375493	-5.2615228957317335	−mean σ_E (NPCr)
11	pooled (both mappings)	-1.6563761897950722	-5.036047237410898	−mean σ_E (NPCr)
12	pooled (both mappings)	-1.3593210484241205	-4.835108182633956	−mean σ_E (NPCr)
13	pooled (both mappings)	-1.4154630506625911	-4.835369717390977	−mean σ_E (NPCr)
