subject	nvoxels	metric	decoder	smoothing
03	0	0.34275675939119543	gabor	Unsmoothed
03	50	0.48482576956435564	gabor	Unsmoothed
03	100	0.32878187265192615	gabor	Unsmoothed
03	250	0.12073739940222164	gabor	Unsmoothed
03	500	0.1737261403118384	gabor	Unsmoothed
03	fdr05	0.22113153646496508	gabor	Unsmoothed
03	psig95	0.22113153646496508	gabor	Unsmoothed
04	0	0.24908385960093427	gabor	Unsmoothed
04	50	0.2556288277611386	gabor	Unsmoothed
04	100	0.16194930724557574	gabor	Unsmoothed
04	250	0.03167587107498884	gabor	Unsmoothed
04	500	0.16990095628449198	gabor	Unsmoothed
04	fdr05	0.1622850005407091	gabor	Unsmoothed
04	psig95	0.1622850005407091	gabor	Unsmoothed
05	0	0.3899044168058198	gabor	Unsmoothed
05	50	0.40164731020493016	gabor	Unsmoothed
05	100	0.4222032918882934	gabor	Unsmoothed
05	250	0.169700898952474	gabor	Unsmoothed
05	500	0.27392649922359974	gabor	Unsmoothed
05	fdr05	0.3379387534472732	gabor	Unsmoothed
05	psig95	0.3193349239229599	gabor	Unsmoothed
06	0	0.44231050990602655	gabor	Unsmoothed
06	50	0.5086912209439755	gabor	Unsmoothed
06	100	0.31118434830723063	gabor	Unsmoothed
06	250	0.3276862839856237	gabor	Unsmoothed
06	500	0.30454445023220295	gabor	Unsmoothed
06	fdr05	0.4498689654712484	gabor	Unsmoothed
06	psig95	0.3356083459279586	gabor	Unsmoothed
07	0	0.21944430326973596	gabor	Unsmoothed
07	50	0.4269858711303006	gabor	Unsmoothed
07	100	0.3311861282044286	gabor	Unsmoothed
07	250	0.08860091830832842	gabor	Unsmoothed
07	500	0.16880899819067474	gabor	Unsmoothed
07	fdr05	0.25380286063532514	gabor	Unsmoothed
08	0	0.33173923804938443	gabor	Unsmoothed
08	50	0.5006464310139134	gabor	Unsmoothed
08	100	0.32664249817872915	gabor	Unsmoothed
08	250	0.2657220675085279	gabor	Unsmoothed
08	500	-0.00713712299969327	gabor	Unsmoothed
08	fdr05	0.3383477397258223	gabor	Unsmoothed
08	psig95	0.3383477397258223	gabor	Unsmoothed
09	0	0.3257640042709539	gabor	Unsmoothed
09	50	0.1843041072905707	gabor	Unsmoothed
