subject	mask	nvoxels	noise	smoothed	lambda	decoder	n_trials	pearson_r	spearman_rho	label	unit
03	NPCr	0	full	False	0.1	value	368	0.24585762147716603	0.2247871277494716	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	0	full	False	0	value	368	0.24389289594865438	0.2294557590190938	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	0	full	True	0.1	value	368	0.15744707020374335	0.1650932085499208	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	0	full	True	0	value	368	0.09503472850581247	0.1289997263071473	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	100	full	False	0.1	value	368	0.2735410811358539	0.2771528857920613	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	100	full	False	0	value	368	0.2919700234245656	0.2942085665913002	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	100	full	True	0.1	value	368	0.27476135620078546	0.29687676885870656	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	100	full	True	0	value	368	0.13166317838427205	0.12854779894585672	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	250	full	False	0.1	value	368	0.0858266955271157	0.09588857920977745	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	250	full	False	0	value	368	0.2026890188306825	0.20120499915061438	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	250	full	True	0.1	value	368	0.19980506447702864	0.194541720465488	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	250	full	True	0	value	368	0.1632629099915775	0.1516991993346993	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	500	full	False	0.1	value	368	0.06710768762457055	0.0697172633619058	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	500	full	False	0	value	368	0.22177849457795729	0.2314773871725855	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	500	full	True	0.1	value	368	0.19520767201510214	0.19815135776910092	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	500	full	True	0	value	368	0.17506280548099	0.17362683053625183	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	50	full	False	0.1	value	368	0.2534099963019052	0.24796936326744273	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	50	full	False	0	value	368	0.26707301353629653	0.278792929222587	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	50	full	True	0.1	value	368	0.2698574681147017	0.2828487123007789	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	50	full	True	0	value	368	0.16319319092302215	0.15790091468068243	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	fdr05	full	False	0.1	value	368	0.2132921897741854	0.21076870716939664	NPCr value (aprf-session-shift, standard)	CHF
03	NPCr	psig95	full	False	0.1	value	368	0.2132921897741854	0.21076870716939664	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	0	full	False	0.1	value	368	0.4174830040003898	0.4072058244785063	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	0	full	False	0	value	368	0.386599821834514	0.3773391111241328	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	0	full	True	0.1	value	368	0.4002213684032664	0.3971882619028629	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	0	full	True	0	value	368	0.2803856514059879	0.28497729980843534	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	100	full	False	0.1	value	368	0.4957109793627586	0.4907719152102799	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	100	full	False	0	value	368	0.4613387788532259	0.453269653005445	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	100	full	True	0.1	value	368	0.5792943038598521	0.5755155224356507	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	100	full	True	0	value	368	0.18607900489938786	0.21167448908754832	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	250	full	False	0.1	value	368	0.3750318934760183	0.38194414493992734	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	250	full	False	0	value	368	0.3689394117973715	0.36866384026336746	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	250	full	True	0.1	value	368	0.3496310256247445	0.353477539167548	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	250	full	True	0	value	368	0.16818341064992098	0.16653378723889603	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	500	full	False	0.1	value	368	0.31947613226796145	0.330087166527959	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	500	full	False	0	value	368	0.28289000012158866	0.2730325416622565	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	500	full	True	0.1	value	368	0.38780911024521325	0.38938022904883846	NPCr value (aprf-session-shift, standard)	CHF
04	NPCr	500	full	True	0	value	368	0.16885302556203502	0.19072394604025722	NPCr value (aprf-session-shift, standard)	CHF
