subject	model	n_voxels	mean_r2	mean_cvr2
03	PRF	995	0.01385090123468907	-0.03778834689651901
03	Linear	995	0.002823027174676483	-0.02308606973020875
04	PRF	925	0.014584097604493838	-0.04113840128924395
04	Linear	925	0.0028635365898544724	-0.026804449006512358
05	PRF	1061	0.014633983570264264	-0.040857089888813584
05	Linear	1061	0.0022747149791052385	-0.027156132502476074
06	PRF	968	0.015522645524710664	-0.04309971762189934
06	Linear	968	0.002692364525696463	-0.029571143040541283
07	PRF	1066	0.014273814815070347	-0.039265781445306416
07	Linear	1066	0.002847212116892745	-0.02471367880268683
08	PRF	1078	0.015202253227552368	-0.04419267345876442
08	Linear	1078	0.003008852697259199	-0.02772926120346685
09	PRF	908	0.01571789810573477	-0.045041766760271815
09	Linear	908	0.003275401529236512	-0.03118947204120359
10	PRF	1040	0.014486808559069267	-0.04032100454116097
10	Linear	1040	0.0026990440029364365	-0.025408589349199946
11	PRF	1096	0.014121588455499524	-0.04103072467226073
11	Linear	1096	0.002495161046947006	-0.025804231772675133
12	PRF	873	0.01607344206529248	-0.038167529345787675
12	Linear	873	0.002636480986867164	-0.026987901979466346
13	PRF	980	0.011951534176359371	-0.03576125745110366
13	Linear	980	0.0019134413222877346	-0.022738037163353698
14	PRF	1018	0.015165930646810176	-0.041263152645765445
14	Linear	1018	0.0028010835113600335	-0.026525877533235345
15	PRF	824	0.013086092848222233	-0.04134278972316714
15	Linear	824	0.002061602560061853	-0.027951258858575405
16	PRF	603	0.011779727133154672	-0.02848434674354335
16	Linear	603	0.0024925956678627736	-0.018611084743963544
17	PRF	972	0.012558425527541234	-0.037664951748931357
17	Linear	972	0.002272874178219234	-0.02327883943010873
18	PRF	948	0.014118769815199486	-0.03876013125341832
18	Linear	948	0.003131916628608221	-0.02637922629225387
19	PRF	1150	0.01388208420380302	-0.041623431418253025
19	Linear	1150	0.0022474094059156337	-0.02770016259473303
20	PRF	898	0.014094333274327301	-0.05032044788511399
20	Linear	898	0.002305720125912027	-0.03345072542406403
21	PRF	1045	0.014374847218180387	-0.039326385519150915
21	Linear	1045	0.002676023193523644	-0.023781711643820175
22	PRF	759	0.014595684954928472	-0.04609437989210894
22	Linear	759	0.0028966365281458115	-0.027195839547553394
23	PRF	752	0.013553104581350976	-0.040191492234217994
23	Linear	752	0.0025887196051313523	-0.026108279878749176
24	PRF	994	0.012208792525278012	-0.03405123726058174
24	Linear	994	0.0020116214421193605	-0.021931358911022093
25	PRF	874	0.013136587031100381	-0.03840042902178022
25	Linear	874	0.0022291537007696296	-0.024116685217591662
pil01	PRF	871	0.011767236428200583	-0.031476547866717546
pil01	Linear	871	0.0019414499487586739	-0.020150677721207506
pil02	PRF	789	0.01440817314106853	-0.039515669997049675
pil02	Linear	789	0.002460983769521967	-0.02559564482179885
